,acc,loss,val_acc,val_loss
0,0.105,2.319,0.115,12.676
1,0.092,2.317,0.144,12.096
2,0.1,2.301,0.129,12.843
3,0.112,2.303,0.149,12.845
4,0.131,2.295,0.116,13.652
5,0.123,2.292,0.159,12.374
6,0.122,2.287,0.154,12.582
7,0.125,2.283,0.184,11.329
8,0.141,2.27,0.142,13.058
9,0.157,2.271,0.178,12.457
10,0.148,2.274,0.181,12.212
11,0.146,2.281,0.198,11.724
12,0.156,2.258,0.209,11.714
13,0.152,2.271,0.189,12.33
14,0.172,2.249,0.186,12.343
15,0.148,2.26,0.173,12.657
16,0.154,2.25,0.187,12.478
17,0.176,2.237,0.187,12.202
18,0.177,2.229,0.232,11.556
19,0.147,2.254,0.203,12.372
20,0.169,2.238,0.204,12.33
21,0.161,2.226,0.191,12.609
22,0.16,2.24,0.199,12.196
23,0.158,2.239,0.197,12.32
24,0.162,2.225,0.227,11.721
25,0.18,2.217,0.22,11.819
26,0.158,2.228,0.19,12.57
27,0.171,2.217,0.22,12.024
28,0.191,2.203,0.226,11.767
29,0.171,2.22,0.199,12.353
30,0.164,2.22,0.208,12.225
31,0.196,2.197,0.233,11.705
32,0.175,2.209,0.192,12.505
33,0.201,2.183,0.195,12.523
34,0.182,2.187,0.206,12.261
35,0.188,2.205,0.203,12.306
36,0.189,2.199,0.219,11.838
37,0.191,2.175,0.214,12.117
38,0.18,2.204,0.209,12.23
39,0.184,2.189,0.202,12.564
40,0.213,2.2,0.205,12.328
41,0.208,2.16,0.196,12.609
42,0.218,2.179,0.229,11.868
43,0.233,2.147,0.206,12.451
44,0.208,2.19,0.241,11.778
45,0.18,2.183,0.239,11.744
46,0.189,2.18,0.256,11.423
47,0.221,2.138,0.173,13.078
48,0.234,2.123,0.182,12.934
49,0.209,2.16,0.2,12.457
50,0.214,2.146,0.184,12.93
51,0.24,2.135,0.192,12.769
52,0.206,2.147,0.238,11.872
53,0.229,2.118,0.197,12.684
54,0.195,2.15,0.212,12.388
55,0.224,2.12,0.253,11.567
56,0.237,2.104,0.185,12.916
57,0.221,2.125,0.233,12.073
58,0.25,2.098,0.236,11.91
59,0.195,2.152,0.209,12.437
60,0.242,2.099,0.178,13.082
61,0.238,2.119,0.244,11.728
62,0.244,2.104,0.24,11.671
63,0.263,2.073,0.207,12.554
64,0.25,2.09,0.191,12.714
65,0.219,2.11,0.239,11.892
66,0.232,2.076,0.224,12.137
67,0.253,2.066,0.191,12.776
68,0.235,2.099,0.193,12.706
69,0.225,2.098,0.191,12.865
70,0.252,2.068,0.266,11.452
71,0.232,2.083,0.223,12.205
72,0.26,2.072,0.214,12.404
73,0.273,2.047,0.198,12.691
74,0.23,2.047,0.173,13.109
75,0.28,2.067,0.172,13.144
76,0.248,2.048,0.193,12.698
77,0.259,2.051,0.193,12.79
78,0.22,2.084,0.209,12.553
79,0.256,2.063,0.202,12.55
80,0.256,2.044,0.233,12.091
81,0.277,2.044,0.215,12.492
82,0.257,2.059,0.247,11.731
83,0.217,2.08,0.254,11.74
84,0.243,2.052,0.233,12.067
85,0.249,2.049,0.22,12.355
86,0.295,1.985,0.212,12.431
87,0.231,2.085,0.202,12.667
88,0.243,2.054,0.227,12.139
89,0.261,2.027,0.189,12.884
90,0.277,2.003,0.21,12.448
91,0.273,2.028,0.205,12.614
92,0.286,2.006,0.218,12.366
93,0.268,2.016,0.183,12.955
94,0.275,1.995,0.247,11.8
95,0.288,1.988,0.21,12.441
96,0.338,1.914,0.206,12.508
97,0.307,1.908,0.224,12.246
98,0.275,2.005,0.204,12.657
99,0.282,2.005,0.258,11.712
100,0.306,1.929,0.24,12.059
101,0.307,1.942,0.243,11.984
102,0.26,2.037,0.236,11.973
103,0.271,2.044,0.23,12.234
104,0.27,1.994,0.239,12.028
105,0.306,1.918,0.19,12.88
106,0.271,2.031,0.224,12.239
107,0.259,2.017,0.212,12.538
108,0.29,1.984,0.225,12.184
109,0.32,1.887,0.224,12.354
110,0.271,1.974,0.235,12.132
111,0.299,1.942,0.253,11.883
112,0.292,1.952,0.227,12.159
113,0.286,1.974,0.254,11.8
114,0.252,2.032,0.264,11.527
115,0.263,1.985,0.255,11.704
116,0.323,1.905,0.226,12.276
117,0.287,1.977,0.238,12.105
118,0.317,1.914,0.268,11.592
119,0.305,1.921,0.237,12.065
