,acc,loss,val_acc,val_loss
0,0.107,2.309,0.079,13.971
1,0.106,2.304,0.123,11.8
2,0.098,2.305,0.126,11.936
3,0.109,2.3,0.121,12.77
4,0.131,2.287,0.119,13.035
5,0.127,2.291,0.117,13.342
6,0.127,2.291,0.122,13.3
7,0.115,2.289,0.118,13.564
8,0.153,2.278,0.117,13.828
9,0.104,2.287,0.127,13.106
10,0.135,2.282,0.129,13.128
11,0.129,2.282,0.134,13.021
12,0.151,2.276,0.127,13.242
13,0.157,2.271,0.12,13.709
14,0.148,2.273,0.134,13.11
15,0.162,2.267,0.142,12.895
16,0.163,2.268,0.135,12.932
17,0.179,2.25,0.131,13.207
18,0.165,2.246,0.137,13.14
19,0.169,2.259,0.136,13.069
20,0.172,2.259,0.136,13.326
21,0.144,2.26,0.152,12.676
22,0.15,2.255,0.143,13.195
23,0.192,2.23,0.134,13.464
24,0.173,2.237,0.161,12.939
25,0.177,2.228,0.134,13.599
26,0.195,2.216,0.146,13.24
27,0.17,2.231,0.137,13.314
28,0.194,2.209,0.133,13.793
29,0.19,2.197,0.138,13.562
30,0.199,2.205,0.136,13.586
31,0.189,2.174,0.138,13.576
32,0.182,2.211,0.142,13.669
33,0.188,2.214,0.136,13.661
34,0.192,2.171,0.144,13.515
35,0.218,2.155,0.149,13.415
36,0.195,2.181,0.137,13.644
37,0.186,2.158,0.146,13.48
38,0.194,2.163,0.184,12.523
39,0.204,2.149,0.146,13.507
40,0.224,2.11,0.135,13.734
41,0.222,2.155,0.141,13.673
42,0.179,2.206,0.164,13.117
43,0.241,2.115,0.142,13.657
44,0.185,2.17,0.137,13.628
45,0.231,2.113,0.141,13.64
46,0.225,2.085,0.167,13.113
47,0.206,2.159,0.156,13.297
48,0.24,2.086,0.184,12.783
49,0.205,2.118,0.162,13.134
50,0.219,2.104,0.154,13.396
51,0.23,2.134,0.17,13.001
52,0.23,2.097,0.16,13.274
53,0.234,2.081,0.166,13.229
54,0.203,2.106,0.178,12.912
55,0.24,2.07,0.169,13.137
56,0.213,2.174,0.208,12.421
57,0.228,2.11,0.178,12.951
58,0.211,2.117,0.184,12.852
59,0.258,2.059,0.157,13.347
60,0.239,2.066,0.162,13.253
61,0.229,2.053,0.22,12.185
62,0.227,2.072,0.182,12.9
63,0.241,2.055,0.157,13.316
64,0.223,2.13,0.168,13.166
65,0.246,2.083,0.202,12.527
66,0.231,2.084,0.18,12.917
67,0.225,2.13,0.192,12.645
68,0.248,2.112,0.201,12.6
69,0.253,2.086,0.205,12.418
70,0.203,2.127,0.203,12.524
71,0.249,2.037,0.202,12.597
72,0.269,2.023,0.191,12.837
73,0.248,2.06,0.199,12.601
74,0.278,2.008,0.197,12.676
75,0.241,2.019,0.186,12.849
76,0.247,2.053,0.201,12.656
77,0.228,2.098,0.189,12.87
78,0.224,2.153,0.189,12.787
79,0.254,2.049,0.235,12.066
80,0.257,1.996,0.204,12.607
81,0.248,2.081,0.204,12.598
82,0.246,2.07,0.208,12.567
83,0.267,2.012,0.187,12.845
84,0.257,2.044,0.215,12.465
85,0.276,1.99,0.213,12.473
86,0.239,2.033,0.227,12.231
87,0.267,1.989,0.215,12.371
88,0.252,2.049,0.212,12.392
89,0.261,2.019,0.224,12.21
90,0.248,2.088,0.199,12.619
91,0.241,2.083,0.229,12.062
92,0.288,2.009,0.198,12.683
93,0.306,1.996,0.201,12.578
94,0.258,2.051,0.224,12.283
95,0.269,2.047,0.219,12.417
96,0.298,1.978,0.195,12.798
97,0.278,1.954,0.202,12.679
98,0.276,2.018,0.187,12.89
99,0.252,2.045,0.201,12.732
100,0.288,1.984,0.182,13.004
101,0.291,1.979,0.234,12.01
102,0.28,1.964,0.226,12.186
103,0.281,2.002,0.212,12.436
104,0.273,2.019,0.179,13.072
105,0.263,2.012,0.203,12.573
106,0.27,2.021,0.209,12.498
107,0.283,1.99,0.197,12.74
108,0.282,1.985,0.202,12.687
109,0.283,1.989,0.194,12.7
110,0.305,1.932,0.204,12.614
111,0.263,2.016,0.199,12.732
112,0.288,2.013,0.195,12.647
113,0.324,1.925,0.214,12.451
114,0.285,2.021,0.207,12.638
115,0.308,1.927,0.202,12.695
116,0.28,2.005,0.207,12.639
117,0.279,1.954,0.222,12.344
118,0.283,1.98,0.214,12.443
119,0.276,1.978,0.214,12.469
