,acc,loss,val_acc,val_loss
0,0.113,2.322,0.131,12.396
1,0.099,2.312,0.134,11.572
2,0.117,2.316,0.152,11.535
3,0.118,2.297,0.161,11.486
4,0.132,2.291,0.173,11.767
5,0.115,2.3,0.191,11.746
6,0.125,2.295,0.185,11.645
7,0.137,2.288,0.189,11.752
8,0.134,2.285,0.191,11.974
9,0.157,2.275,0.18,12.257
10,0.144,2.276,0.184,12.174
11,0.148,2.283,0.193,11.96
12,0.158,2.271,0.195,12.061
13,0.179,2.257,0.194,11.855
14,0.17,2.259,0.214,11.55
15,0.166,2.246,0.185,12.477
16,0.16,2.25,0.193,12.224
17,0.151,2.267,0.23,11.644
18,0.185,2.248,0.234,11.659
19,0.163,2.254,0.226,11.921
20,0.176,2.247,0.247,11.476
21,0.176,2.253,0.211,12.058
22,0.202,2.215,0.17,12.882
23,0.192,2.214,0.155,13.158
24,0.181,2.227,0.191,12.557
25,0.214,2.183,0.179,12.708
26,0.185,2.212,0.183,12.688
27,0.195,2.189,0.212,12.083
28,0.191,2.176,0.219,12.066
29,0.203,2.198,0.23,11.891
30,0.206,2.171,0.211,12.303
31,0.214,2.16,0.244,11.72
32,0.186,2.211,0.191,12.645
33,0.194,2.192,0.181,12.865
34,0.204,2.135,0.189,12.7
35,0.219,2.173,0.232,11.984
36,0.179,2.216,0.196,12.541
37,0.21,2.152,0.213,12.296
38,0.193,2.178,0.237,11.752
39,0.22,2.169,0.171,13.055
40,0.21,2.135,0.202,12.512
41,0.244,2.098,0.174,13.037
42,0.186,2.156,0.158,13.33
43,0.191,2.193,0.165,13.092
44,0.212,2.161,0.211,12.309
45,0.244,2.113,0.169,13.129
46,0.25,2.1,0.206,12.406
47,0.217,2.197,0.196,12.474
48,0.256,2.09,0.216,12.163
49,0.238,2.129,0.181,12.712
50,0.219,2.116,0.17,12.998
51,0.224,2.162,0.173,13.035
52,0.244,2.093,0.174,13.006
53,0.252,2.084,0.225,12.229
54,0.241,2.076,0.177,13.021
55,0.238,2.088,0.179,13.028
56,0.217,2.148,0.216,12.282
57,0.22,2.14,0.194,12.605
58,0.25,2.107,0.191,12.689
59,0.247,2.095,0.184,12.842
60,0.246,2.089,0.182,12.895
61,0.225,2.078,0.19,12.839
62,0.241,2.092,0.183,12.947
63,0.219,2.15,0.193,12.643
64,0.275,2.043,0.242,11.843
65,0.24,2.098,0.183,12.925
66,0.246,2.042,0.226,12.198
67,0.257,2.078,0.174,13.075
68,0.286,2.018,0.204,12.525
69,0.243,2.064,0.241,11.903
70,0.242,2.085,0.211,12.393
71,0.268,2.048,0.185,12.888
72,0.275,1.988,0.234,12.028
73,0.25,2.062,0.182,12.965
74,0.281,1.99,0.185,12.906
75,0.276,1.999,0.192,12.782
76,0.269,2.023,0.215,12.301
77,0.249,2.033,0.248,11.786
78,0.232,2.182,0.202,12.509
79,0.277,1.961,0.217,12.327
80,0.263,2.068,0.225,12.172
81,0.258,2.1,0.231,12.054
82,0.273,2.065,0.199,12.701
83,0.317,1.942,0.199,12.57
84,0.269,2.069,0.193,12.855
85,0.292,2.06,0.221,12.321
86,0.307,1.962,0.214,12.411
87,0.283,2.038,0.204,12.62
88,0.304,1.959,0.209,12.594
89,0.301,1.898,0.19,12.808
90,0.268,2.0,0.174,13.169
91,0.316,1.892,0.204,12.617
92,0.316,1.909,0.195,12.749
93,0.261,2.051,0.223,12.238
94,0.272,2.041,0.219,12.361
95,0.288,2.046,0.23,12.114
96,0.275,1.995,0.216,12.419
97,0.273,2.125,0.237,11.998
98,0.314,1.994,0.222,12.282
99,0.306,1.956,0.222,12.365
100,0.285,1.98,0.23,12.109
101,0.297,2.009,0.218,12.339
102,0.285,1.999,0.253,11.757
103,0.296,2.023,0.195,12.724
104,0.286,1.981,0.215,12.431
105,0.294,1.964,0.216,12.459
106,0.292,2.006,0.248,11.79
107,0.309,2.016,0.206,12.565
108,0.304,2.029,0.211,12.514
109,0.33,1.932,0.248,11.895
110,0.273,2.052,0.235,12.145
111,0.288,1.954,0.222,12.229
112,0.315,1.9,0.233,12.136
113,0.328,1.88,0.218,12.386
114,0.27,2.023,0.233,12.159
115,0.318,1.954,0.207,12.621
116,0.306,1.962,0.207,12.552
117,0.321,1.943,0.206,12.658
118,0.302,2.012,0.227,12.211
119,0.298,2.011,0.242,12.014
