,acc,loss,val_acc,val_loss
0,0.103,2.313,0.105,13.619
1,0.095,2.309,0.112,13.73
2,0.115,2.301,0.124,13.648
3,0.114,2.293,0.162,12.264
4,0.126,2.282,0.141,12.973
5,0.131,2.284,0.146,12.858
6,0.138,2.283,0.166,12.143
7,0.142,2.277,0.188,12.03
8,0.161,2.259,0.192,12.024
9,0.154,2.271,0.2,11.969
10,0.174,2.251,0.189,12.263
11,0.17,2.243,0.192,12.085
12,0.183,2.234,0.185,12.429
13,0.169,2.238,0.197,12.116
14,0.185,2.225,0.197,12.153
15,0.165,2.248,0.202,12.079
16,0.17,2.222,0.197,12.303
17,0.166,2.231,0.202,11.936
18,0.175,2.215,0.217,11.839
19,0.2,2.182,0.231,11.722
20,0.188,2.209,0.206,12.248
21,0.171,2.207,0.209,12.045
22,0.211,2.178,0.206,12.362
23,0.202,2.197,0.21,12.319
24,0.202,2.155,0.215,12.082
25,0.186,2.173,0.192,12.639
26,0.198,2.149,0.185,12.902
27,0.211,2.138,0.19,12.715
28,0.2,2.135,0.19,12.814
29,0.212,2.143,0.201,12.569
30,0.232,2.115,0.236,11.851
31,0.204,2.141,0.231,12.094
32,0.199,2.13,0.182,12.905
33,0.228,2.106,0.189,12.879
34,0.217,2.096,0.211,12.4
35,0.223,2.111,0.177,12.971
36,0.228,2.104,0.221,12.122
37,0.223,2.115,0.217,12.241
38,0.221,2.11,0.199,12.651
39,0.233,2.114,0.213,12.298
40,0.242,2.084,0.189,12.805
41,0.232,2.062,0.167,13.157
42,0.223,2.134,0.184,12.801
43,0.234,2.056,0.202,12.49
44,0.259,2.097,0.18,12.839
45,0.265,2.07,0.194,12.781
46,0.247,2.046,0.2,12.664
47,0.247,2.058,0.197,12.717
48,0.28,2.012,0.171,13.142
49,0.246,2.043,0.168,13.176
50,0.218,2.087,0.196,12.785
51,0.259,2.019,0.233,12.043
52,0.265,2.053,0.21,12.393
53,0.261,2.001,0.202,12.652
54,0.26,2.026,0.245,11.803
55,0.27,2.007,0.182,12.972
56,0.261,2.014,0.252,11.748
57,0.24,2.028,0.214,12.447
58,0.241,2.061,0.198,12.686
59,0.26,2.032,0.172,13.169
60,0.281,2.023,0.187,12.921
61,0.239,2.033,0.203,12.65
62,0.301,2.026,0.217,12.438
63,0.289,1.956,0.219,12.373
64,0.296,1.971,0.208,12.588
65,0.321,1.924,0.218,12.387
66,0.266,2.002,0.267,11.489
67,0.285,2.019,0.201,12.707
68,0.277,1.991,0.214,12.492
69,0.288,1.985,0.225,12.283
70,0.28,1.98,0.267,11.519
71,0.26,2.005,0.195,12.816
72,0.28,1.981,0.188,12.941
73,0.28,1.98,0.199,12.691
74,0.329,1.91,0.217,12.387
75,0.299,1.919,0.208,12.535
76,0.279,1.964,0.212,12.543
77,0.275,2.012,0.233,12.028
78,0.296,1.917,0.24,11.995
79,0.3,1.937,0.19,12.884
80,0.291,1.995,0.203,12.635
81,0.305,1.935,0.227,12.178
82,0.31,1.962,0.206,12.629
83,0.321,1.932,0.208,12.583
84,0.304,1.922,0.208,12.64
85,0.27,2.034,0.2,12.722
86,0.289,1.928,0.2,12.745
87,0.301,1.942,0.211,12.562
88,0.32,1.935,0.215,12.382
89,0.318,1.917,0.224,12.284
90,0.298,1.931,0.215,12.505
91,0.324,1.953,0.253,11.833
92,0.279,1.987,0.204,12.595
93,0.333,1.893,0.235,12.071
94,0.338,1.897,0.201,12.691
95,0.34,1.869,0.247,11.907
96,0.298,1.903,0.235,12.16
97,0.32,1.921,0.26,11.625
98,0.323,1.9,0.21,12.577
99,0.353,1.848,0.212,12.577
100,0.329,1.868,0.208,12.627
101,0.329,1.876,0.262,11.692
102,0.304,1.897,0.212,12.555
103,0.325,1.876,0.226,12.353
104,0.318,1.873,0.22,12.399
105,0.334,1.856,0.212,12.563
106,0.349,1.847,0.225,12.314
107,0.35,1.856,0.238,12.068
108,0.346,1.821,0.225,12.3
109,0.348,1.876,0.234,12.215
110,0.318,1.897,0.208,12.585
111,0.359,1.829,0.209,12.576
112,0.339,1.828,0.219,12.412
113,0.367,1.825,0.233,12.245
114,0.31,1.916,0.217,12.447
115,0.315,1.89,0.207,12.641
116,0.35,1.857,0.209,12.603
117,0.369,1.837,0.196,12.868
118,0.356,1.817,0.204,12.733
119,0.369,1.803,0.241,12.119
