,acc,loss,val_acc,val_loss
0,0.106,2.325,0.132,12.119
1,0.108,2.304,0.139,12.628
2,0.136,2.295,0.151,12.021
3,0.129,2.293,0.167,11.442
4,0.14,2.286,0.176,11.642
5,0.124,2.28,0.186,11.349
6,0.15,2.265,0.176,11.91
7,0.143,2.272,0.188,11.784
8,0.165,2.249,0.192,11.949
9,0.166,2.256,0.182,12.168
10,0.173,2.236,0.177,12.454
11,0.164,2.238,0.2,11.729
12,0.169,2.226,0.209,12.001
13,0.186,2.208,0.212,11.84
14,0.184,2.217,0.211,12.102
15,0.198,2.194,0.216,11.716
16,0.18,2.193,0.203,12.207
17,0.162,2.177,0.205,12.172
18,0.211,2.146,0.213,12.098
19,0.199,2.161,0.201,12.428
20,0.205,2.127,0.228,11.787
21,0.21,2.122,0.224,12.181
22,0.209,2.114,0.216,12.213
23,0.212,2.111,0.194,12.615
24,0.203,2.124,0.201,12.514
25,0.22,2.095,0.194,12.529
26,0.228,2.074,0.229,12.082
27,0.235,2.069,0.23,11.946
28,0.217,2.084,0.247,11.67
29,0.234,2.061,0.233,11.961
30,0.177,2.1,0.241,11.79
31,0.228,2.05,0.225,12.211
32,0.249,2.042,0.2,12.583
33,0.239,2.05,0.218,12.326
34,0.238,2.034,0.197,12.647
35,0.228,2.042,0.23,12.05
36,0.253,2.028,0.226,12.197
37,0.273,1.982,0.211,12.366
38,0.23,2.047,0.221,12.296
39,0.259,2.002,0.212,12.433
40,0.28,1.99,0.254,11.675
41,0.266,1.996,0.211,12.401
42,0.258,2.034,0.221,12.374
43,0.271,1.989,0.216,12.393
44,0.296,1.967,0.236,12.074
45,0.254,2.025,0.195,12.786
46,0.283,1.966,0.222,12.263
47,0.269,1.988,0.216,12.437
48,0.289,2.006,0.28,11.169
49,0.292,1.951,0.237,11.946
50,0.287,1.944,0.234,12.12
51,0.283,1.968,0.249,11.781
52,0.26,1.995,0.244,11.923
53,0.306,1.961,0.226,12.298
54,0.277,1.963,0.194,12.857
55,0.294,1.943,0.227,12.194
56,0.295,1.941,0.214,12.386
57,0.305,1.926,0.232,12.189
58,0.31,1.916,0.24,12.061
59,0.29,1.936,0.245,11.971
60,0.318,1.905,0.228,12.256
61,0.3,1.952,0.219,12.386
62,0.296,1.912,0.221,12.307
63,0.299,1.935,0.203,12.719
64,0.305,1.909,0.21,12.583
65,0.326,1.9,0.21,12.577
66,0.316,1.933,0.243,11.917
67,0.314,1.89,0.236,12.137
68,0.333,1.885,0.229,12.19
69,0.305,1.953,0.236,12.156
70,0.33,1.881,0.229,12.23
71,0.327,1.858,0.206,12.576
72,0.31,1.893,0.244,11.961
73,0.338,1.879,0.215,12.53
74,0.334,1.851,0.234,12.187
75,0.329,1.869,0.224,12.25
76,0.34,1.882,0.252,11.9
77,0.355,1.845,0.262,11.679
78,0.342,1.842,0.224,12.38
79,0.344,1.851,0.205,12.535
80,0.36,1.829,0.251,11.91
81,0.356,1.825,0.247,11.915
82,0.345,1.856,0.231,12.264
83,0.335,1.836,0.229,12.221
84,0.328,1.827,0.225,12.371
85,0.331,1.869,0.221,12.374
86,0.35,1.871,0.22,12.378
87,0.339,1.831,0.242,12.066
88,0.328,1.839,0.221,12.429
89,0.34,1.873,0.226,12.333
90,0.354,1.796,0.257,11.778
91,0.346,1.816,0.26,11.755
92,0.357,1.812,0.238,12.114
93,0.378,1.791,0.254,11.834
94,0.353,1.829,0.254,11.875
95,0.382,1.779,0.279,11.396
96,0.379,1.775,0.233,12.197
97,0.336,1.814,0.246,12.015
98,0.36,1.803,0.259,11.713
99,0.357,1.77,0.277,11.402
100,0.364,1.829,0.227,12.275
101,0.414,1.722,0.232,12.163
102,0.364,1.758,0.284,11.34
103,0.348,1.795,0.253,11.79
104,0.358,1.793,0.251,11.848
105,0.375,1.772,0.248,11.921
106,0.364,1.786,0.226,12.298
107,0.36,1.778,0.251,11.842
108,0.358,1.81,0.227,12.258
109,0.394,1.736,0.219,12.432
110,0.381,1.741,0.258,11.749
111,0.411,1.697,0.273,11.507
112,0.377,1.72,0.254,11.907
113,0.386,1.729,0.261,11.77
114,0.396,1.69,0.234,12.218
115,0.356,1.77,0.242,12.038
116,0.391,1.733,0.245,11.984
117,0.387,1.719,0.256,11.837
118,0.365,1.738,0.245,12.015
119,0.384,1.755,0.24,12.108
