,acc,loss,val_acc,val_loss
0,0.116,2.309,0.156,11.42
1,0.088,2.311,0.128,13.281
2,0.117,2.301,0.138,13.176
3,0.128,2.283,0.115,13.675
4,0.129,2.28,0.142,13.278
5,0.106,2.291,0.149,13.03
6,0.135,2.282,0.146,12.984
7,0.143,2.28,0.147,13.06
8,0.138,2.279,0.171,12.494
9,0.145,2.278,0.15,13.048
10,0.156,2.267,0.166,12.668
11,0.145,2.264,0.191,12.321
12,0.153,2.266,0.178,12.516
13,0.141,2.27,0.177,12.552
14,0.154,2.243,0.195,12.344
15,0.165,2.249,0.199,12.211
16,0.137,2.262,0.197,12.2
17,0.18,2.245,0.198,12.267
18,0.144,2.237,0.189,12.564
19,0.147,2.255,0.201,12.261
20,0.171,2.226,0.185,12.718
21,0.181,2.221,0.181,12.75
22,0.166,2.207,0.181,12.618
23,0.181,2.205,0.189,12.718
24,0.184,2.209,0.213,12.335
25,0.181,2.205,0.189,12.637
26,0.199,2.186,0.179,12.9
27,0.189,2.203,0.186,12.909
28,0.194,2.209,0.188,12.827
29,0.185,2.19,0.2,12.597
30,0.198,2.197,0.194,12.741
31,0.183,2.2,0.219,12.119
32,0.189,2.197,0.191,12.774
33,0.234,2.15,0.189,12.719
34,0.211,2.171,0.206,12.497
35,0.202,2.154,0.224,12.064
36,0.209,2.145,0.189,12.812
37,0.195,2.176,0.173,13.076
38,0.224,2.13,0.198,12.826
39,0.215,2.135,0.207,12.525
40,0.246,2.108,0.2,12.685
41,0.195,2.152,0.179,13.033
42,0.198,2.147,0.192,12.746
43,0.233,2.131,0.191,12.91
44,0.249,2.087,0.188,12.969
45,0.249,2.112,0.195,12.879
46,0.233,2.118,0.163,13.387
47,0.217,2.109,0.195,12.825
48,0.251,2.086,0.186,12.996
49,0.241,2.094,0.189,12.774
50,0.241,2.065,0.186,12.993
51,0.247,2.08,0.181,13.087
52,0.251,2.082,0.181,13.025
53,0.244,2.083,0.194,12.835
54,0.246,2.068,0.188,12.946
55,0.248,2.069,0.177,13.197
56,0.25,2.064,0.183,13.02
57,0.232,2.088,0.194,12.835
58,0.246,2.104,0.186,12.937
59,0.271,2.01,0.207,12.645
60,0.258,2.036,0.206,12.65
61,0.276,1.984,0.179,13.03
62,0.271,2.035,0.189,12.908
63,0.266,1.981,0.187,12.973
64,0.257,2.055,0.183,13.052
65,0.247,2.059,0.209,12.656
66,0.271,2.03,0.193,12.829
67,0.292,1.975,0.207,12.627
68,0.265,1.999,0.185,12.965
69,0.243,2.072,0.198,12.786
70,0.251,2.071,0.178,13.07
71,0.275,2.009,0.177,13.071
72,0.288,1.971,0.185,12.978
73,0.233,2.052,0.246,11.878
74,0.279,2.006,0.201,12.79
75,0.244,2.001,0.195,12.83
76,0.272,2.021,0.198,12.781
77,0.28,2.006,0.199,12.689
78,0.265,2.002,0.205,12.702
79,0.282,2.009,0.204,12.746
80,0.304,1.964,0.186,12.934
81,0.273,2.012,0.221,12.406
82,0.275,2.012,0.204,12.661
83,0.306,1.956,0.217,12.444
84,0.26,2.017,0.205,12.634
85,0.304,1.937,0.21,12.549
86,0.314,1.921,0.197,12.773
87,0.32,1.942,0.191,12.912
88,0.31,1.944,0.223,12.379
89,0.318,1.898,0.199,12.767
90,0.296,1.958,0.203,12.639
91,0.306,1.962,0.201,12.76
92,0.316,1.943,0.235,12.109
93,0.269,2.05,0.233,12.1
94,0.311,1.9,0.198,12.804
95,0.286,2.018,0.216,12.414
96,0.281,1.985,0.247,11.936
97,0.297,1.933,0.221,12.313
98,0.327,1.961,0.278,11.357
99,0.28,2.006,0.227,12.251
100,0.317,1.941,0.196,12.819
101,0.31,1.928,0.232,12.233
102,0.302,1.97,0.216,12.518
103,0.286,1.984,0.198,12.846
104,0.362,1.867,0.231,12.212
105,0.335,1.902,0.203,12.756
106,0.304,1.978,0.252,11.867
107,0.326,1.902,0.207,12.596
108,0.337,1.865,0.22,12.372
109,0.29,1.98,0.208,12.619
110,0.336,1.889,0.205,12.645
111,0.324,1.856,0.191,12.893
112,0.321,1.872,0.208,12.636
113,0.302,1.927,0.209,12.611
114,0.325,1.864,0.246,12.019
115,0.329,1.849,0.208,12.647
116,0.306,1.989,0.244,11.989
117,0.315,1.94,0.243,12.087
118,0.326,1.867,0.223,12.418
119,0.331,1.902,0.203,12.632
