,acc,loss,val_acc,val_loss
0,0.106,2.314,0.127,12.242
1,0.109,2.309,0.172,10.729
2,0.113,2.296,0.155,11.209
3,0.126,2.299,0.141,12.469
4,0.127,2.296,0.146,12.562
5,0.114,2.287,0.151,12.75
6,0.118,2.293,0.146,12.724
7,0.148,2.282,0.124,13.487
8,0.131,2.288,0.124,13.53
9,0.127,2.28,0.123,13.575
10,0.14,2.274,0.124,13.529
11,0.145,2.284,0.133,13.342
12,0.136,2.275,0.135,13.134
13,0.144,2.271,0.145,13.087
14,0.143,2.27,0.137,13.174
15,0.137,2.268,0.158,12.865
16,0.156,2.261,0.157,12.982
17,0.158,2.257,0.169,12.82
18,0.183,2.237,0.163,12.89
19,0.171,2.248,0.169,12.935
20,0.174,2.239,0.17,12.95
21,0.181,2.229,0.172,12.999
22,0.195,2.227,0.168,12.967
23,0.18,2.218,0.167,12.948
24,0.181,2.217,0.167,13.063
25,0.189,2.195,0.162,13.186
26,0.198,2.187,0.167,13.187
27,0.213,2.196,0.159,13.195
28,0.192,2.188,0.168,13.096
29,0.185,2.189,0.184,12.761
30,0.203,2.166,0.169,13.077
31,0.212,2.151,0.177,12.988
32,0.21,2.135,0.166,13.22
33,0.205,2.172,0.16,13.31
34,0.219,2.139,0.174,13.009
35,0.19,2.146,0.163,13.312
36,0.219,2.126,0.178,12.997
37,0.241,2.117,0.171,13.178
38,0.229,2.084,0.172,13.133
39,0.249,2.089,0.173,13.19
40,0.252,2.096,0.182,13.039
41,0.238,2.085,0.185,12.888
42,0.229,2.086,0.178,13.092
43,0.243,2.057,0.192,12.74
44,0.232,2.058,0.184,12.9
45,0.252,2.057,0.173,13.064
46,0.263,2.057,0.191,12.833
47,0.25,2.047,0.174,13.236
48,0.24,2.077,0.174,13.129
49,0.254,2.015,0.189,12.773
50,0.241,2.034,0.18,13.05
51,0.227,2.044,0.164,13.342
52,0.231,2.076,0.166,13.255
53,0.244,2.017,0.16,13.33
54,0.256,2.008,0.227,12.157
55,0.232,2.068,0.225,12.295
56,0.271,1.995,0.156,13.421
57,0.252,2.009,0.142,13.628
58,0.26,2.038,0.174,13.139
59,0.277,2.002,0.195,12.801
60,0.27,2.008,0.173,13.19
61,0.289,1.97,0.169,13.271
62,0.294,2.028,0.179,13.036
63,0.262,1.986,0.189,12.956
64,0.292,1.997,0.188,12.959
65,0.259,1.972,0.244,11.994
66,0.277,1.937,0.23,12.209
67,0.277,1.955,0.187,12.968
68,0.295,1.966,0.182,13.026
69,0.279,1.945,0.181,13.039
70,0.277,1.947,0.217,12.459
71,0.283,1.968,0.201,12.661
72,0.298,1.939,0.222,12.384
73,0.282,1.945,0.21,12.496
74,0.294,1.942,0.206,12.601
75,0.323,1.902,0.169,13.267
76,0.307,1.945,0.182,13.025
77,0.307,1.94,0.222,12.361
78,0.302,1.914,0.213,12.534
79,0.335,1.891,0.16,13.405
80,0.302,1.917,0.212,12.5
81,0.302,1.932,0.186,12.938
82,0.301,1.934,0.19,12.857
83,0.286,1.902,0.175,13.103
84,0.318,1.877,0.195,12.824
85,0.315,1.888,0.187,12.998
86,0.271,1.984,0.198,12.684
87,0.32,1.889,0.208,12.634
88,0.321,1.905,0.215,12.532
89,0.314,1.882,0.224,12.375
90,0.306,1.947,0.228,12.239
91,0.326,1.896,0.224,12.304
92,0.333,1.875,0.229,12.281
93,0.331,1.857,0.197,12.797
94,0.335,1.819,0.243,12.057
95,0.314,1.875,0.215,12.453
96,0.349,1.871,0.22,12.314
97,0.34,1.862,0.237,12.148
98,0.339,1.846,0.218,12.453
99,0.317,1.869,0.221,12.388
100,0.334,1.877,0.234,12.132
101,0.338,1.846,0.202,12.629
102,0.324,1.858,0.2,12.767
103,0.33,1.868,0.251,11.833
104,0.357,1.83,0.212,12.54
105,0.325,1.861,0.213,12.497
106,0.345,1.824,0.211,12.569
107,0.345,1.873,0.234,12.186
108,0.345,1.836,0.204,12.669
109,0.362,1.844,0.194,12.78
110,0.343,1.855,0.236,12.178
111,0.355,1.833,0.211,12.535
112,0.319,1.876,0.235,12.198
113,0.382,1.825,0.224,12.383
114,0.354,1.812,0.215,12.439
115,0.325,1.821,0.21,12.533
116,0.358,1.817,0.219,12.443
117,0.348,1.821,0.209,12.531
118,0.334,1.801,0.197,12.763
119,0.395,1.776,0.178,13.129
