,acc,loss,val_acc,val_loss
0,0.099,2.318,0.14,12.56
1,0.102,2.31,0.133,12.493
2,0.116,2.307,0.145,11.926
3,0.102,2.307,0.156,12.623
4,0.127,2.289,0.177,12.389
5,0.124,2.282,0.149,13.311
6,0.125,2.285,0.165,12.878
7,0.126,2.266,0.147,13.421
8,0.104,2.28,0.16,13.072
9,0.135,2.271,0.178,12.652
10,0.165,2.26,0.193,12.383
11,0.137,2.281,0.189,12.103
12,0.142,2.268,0.211,11.674
13,0.147,2.249,0.195,12.213
14,0.175,2.232,0.178,12.741
15,0.146,2.263,0.2,12.312
16,0.162,2.237,0.196,12.306
17,0.164,2.249,0.207,12.185
18,0.158,2.227,0.188,12.506
19,0.162,2.232,0.196,12.391
20,0.194,2.191,0.171,13.026
21,0.179,2.231,0.227,11.833
22,0.183,2.216,0.196,12.291
23,0.177,2.18,0.194,12.497
24,0.162,2.25,0.192,12.463
25,0.173,2.213,0.213,11.873
26,0.171,2.207,0.208,12.232
27,0.18,2.207,0.202,12.417
28,0.186,2.208,0.177,12.942
29,0.192,2.184,0.224,11.94
30,0.223,2.166,0.224,12.003
31,0.198,2.187,0.193,12.61
32,0.19,2.225,0.22,11.874
33,0.232,2.137,0.209,12.323
34,0.21,2.127,0.21,12.35
35,0.248,2.088,0.213,12.323
36,0.229,2.134,0.201,12.552
37,0.175,2.193,0.257,11.44
38,0.196,2.186,0.236,11.784
39,0.208,2.151,0.246,11.536
40,0.2,2.159,0.25,11.616
41,0.235,2.16,0.249,11.501
42,0.202,2.177,0.24,11.646
43,0.22,2.106,0.214,12.272
44,0.215,2.132,0.212,12.403
45,0.217,2.191,0.249,11.577
46,0.227,2.107,0.203,12.504
47,0.202,2.215,0.252,11.623
48,0.244,2.072,0.213,12.367
49,0.212,2.109,0.271,11.294
50,0.21,2.13,0.245,11.732
51,0.244,2.051,0.218,12.296
52,0.242,2.061,0.244,11.786
53,0.213,2.072,0.255,11.741
54,0.238,2.089,0.232,12.05
55,0.224,2.18,0.255,11.55
56,0.217,2.12,0.256,11.634
57,0.243,2.065,0.22,12.347
58,0.22,2.166,0.255,11.458
59,0.251,2.113,0.246,11.781
60,0.262,2.073,0.249,11.708
61,0.278,2.044,0.232,12.037
62,0.209,2.166,0.234,11.948
63,0.219,2.105,0.231,12.011
64,0.249,2.051,0.241,11.865
65,0.251,2.08,0.248,11.621
66,0.246,2.14,0.262,11.38
67,0.21,2.143,0.233,12.029
68,0.262,2.038,0.229,12.142
69,0.248,2.11,0.22,12.155
70,0.232,2.141,0.248,11.672
71,0.237,2.118,0.239,11.823
72,0.267,2.084,0.229,12.079
73,0.256,2.044,0.243,11.844
74,0.258,2.076,0.227,12.11
75,0.259,2.076,0.223,12.222
76,0.249,2.118,0.251,11.551
77,0.283,1.98,0.237,11.981
78,0.259,2.04,0.238,11.985
79,0.259,2.018,0.236,11.94
80,0.175,2.26,0.27,11.056
81,0.25,2.114,0.25,11.677
82,0.275,2.093,0.253,11.677
83,0.291,1.995,0.259,11.644
84,0.288,2.004,0.214,12.385
85,0.257,2.024,0.215,12.336
86,0.272,1.969,0.241,11.982
87,0.287,2.069,0.225,12.297
88,0.248,2.077,0.248,11.912
89,0.285,2.008,0.243,11.824
90,0.273,2.044,0.237,12.077
91,0.27,2.079,0.243,11.914
92,0.263,2.079,0.227,12.236
93,0.279,2.024,0.249,11.677
94,0.286,1.974,0.239,11.942
95,0.321,1.91,0.215,12.463
96,0.286,2.015,0.241,12.017
97,0.265,2.09,0.234,12.072
98,0.287,2.039,0.232,12.156
99,0.278,2.026,0.24,11.901
100,0.308,1.931,0.245,11.767
101,0.289,2.032,0.201,12.605
102,0.278,2.022,0.237,11.954
103,0.304,1.955,0.225,12.091
104,0.233,2.107,0.229,12.063
105,0.27,2.041,0.236,12.045
106,0.299,1.964,0.243,11.979
107,0.318,1.96,0.243,11.999
108,0.321,1.928,0.287,11.226
109,0.272,2.048,0.254,11.773
110,0.309,1.986,0.255,11.706
111,0.272,2.041,0.266,11.646
112,0.287,2.014,0.227,12.259
113,0.346,1.923,0.235,12.165
114,0.304,1.999,0.245,11.912
115,0.334,1.895,0.227,12.274
116,0.288,2.006,0.227,12.264
117,0.294,2.005,0.252,11.827
118,0.283,2.024,0.254,11.617
119,0.299,2.03,0.25,11.736
