,acc,loss,val_acc,val_loss
0,0.102,2.331,0.101,13.918
1,0.096,2.329,0.098,13.708
2,0.113,2.306,0.127,12.577
3,0.089,2.325,0.148,11.039
4,0.102,2.305,0.139,12.49
5,0.132,2.293,0.153,12.507
6,0.105,2.306,0.135,12.373
7,0.129,2.295,0.158,11.619
8,0.098,2.313,0.18,9.902
9,0.1,2.307,0.162,10.037
10,0.11,2.295,0.198,9.876
11,0.102,2.303,0.167,10.611
12,0.127,2.297,0.198,10.176
13,0.133,2.294,0.192,10.129
14,0.104,2.306,0.186,9.59
15,0.121,2.291,0.188,9.727
16,0.118,2.298,0.192,9.541
17,0.136,2.29,0.18,10.511
18,0.122,2.295,0.189,10.489
19,0.133,2.3,0.21,9.95
20,0.142,2.295,0.217,9.909
21,0.14,2.286,0.218,10.076
22,0.121,2.302,0.202,9.924
23,0.121,2.3,0.211,9.63
24,0.134,2.293,0.222,9.707
25,0.107,2.311,0.172,10.456
26,0.142,2.282,0.227,9.932
27,0.155,2.286,0.19,10.952
28,0.177,2.275,0.158,12.182
29,0.14,2.282,0.201,11.152
30,0.147,2.285,0.21,10.719
31,0.166,2.273,0.193,11.306
32,0.114,2.301,0.242,10.353
33,0.157,2.284,0.208,10.568
34,0.163,2.28,0.208,10.673
35,0.131,2.296,0.244,10.327
36,0.146,2.291,0.236,10.414
37,0.133,2.288,0.23,10.776
38,0.131,2.296,0.235,10.611
39,0.121,2.297,0.231,9.798
40,0.155,2.268,0.211,10.583
41,0.153,2.267,0.174,11.97
42,0.114,2.301,0.199,10.643
43,0.154,2.272,0.216,10.511
44,0.172,2.25,0.196,11.583
45,0.164,2.269,0.215,10.632
46,0.106,2.311,0.226,10.31
47,0.155,2.27,0.217,11.111
48,0.172,2.261,0.212,11.283
49,0.123,2.311,0.244,10.203
50,0.183,2.267,0.241,10.71
51,0.153,2.275,0.219,10.742
52,0.163,2.266,0.225,11.216
53,0.173,2.261,0.198,11.716
54,0.16,2.278,0.212,11.521
55,0.185,2.258,0.208,11.882
56,0.196,2.236,0.199,12.286
57,0.172,2.246,0.193,12.241
58,0.161,2.252,0.187,12.318
59,0.18,2.25,0.236,11.393
60,0.166,2.247,0.213,11.961
61,0.117,2.312,0.254,10.753
62,0.163,2.277,0.231,11.344
63,0.167,2.261,0.241,10.987
64,0.185,2.246,0.234,11.538
65,0.166,2.258,0.221,11.713
66,0.186,2.231,0.192,12.46
67,0.22,2.221,0.186,12.407
68,0.201,2.21,0.184,12.584
69,0.169,2.23,0.176,12.62
70,0.148,2.284,0.244,11.114
71,0.182,2.236,0.204,12.026
72,0.151,2.268,0.211,11.791
73,0.16,2.278,0.249,11.189
74,0.212,2.204,0.232,11.656
75,0.132,2.286,0.234,11.653
76,0.122,2.31,0.244,10.935
77,0.155,2.265,0.24,10.983
78,0.184,2.232,0.217,11.788
79,0.163,2.259,0.228,11.474
80,0.191,2.225,0.239,11.458
81,0.145,2.285,0.259,10.585
82,0.174,2.257,0.238,10.707
83,0.145,2.262,0.244,10.671
84,0.211,2.2,0.229,11.579
85,0.181,2.24,0.215,11.726
86,0.161,2.255,0.235,11.51
87,0.224,2.191,0.229,11.831
88,0.161,2.246,0.223,11.879
89,0.164,2.254,0.213,12.055
90,0.177,2.219,0.184,12.656
91,0.212,2.2,0.203,12.352
92,0.172,2.234,0.211,12.142
93,0.177,2.242,0.212,12.1
94,0.176,2.264,0.217,11.809
95,0.17,2.26,0.185,12.155
96,0.198,2.198,0.207,11.97
97,0.19,2.209,0.195,12.268
98,0.224,2.172,0.197,12.499
99,0.204,2.182,0.181,12.785
100,0.164,2.251,0.222,11.945
101,0.177,2.219,0.218,11.792
102,0.16,2.251,0.213,11.442
103,0.174,2.239,0.198,11.998
104,0.235,2.164,0.227,11.632
105,0.195,2.202,0.187,12.394
106,0.193,2.205,0.217,12.009
107,0.21,2.168,0.179,12.743
108,0.18,2.208,0.223,11.84
109,0.221,2.142,0.195,12.688
110,0.251,2.124,0.187,12.739
111,0.19,2.207,0.19,12.701
112,0.243,2.125,0.187,12.692
113,0.157,2.252,0.197,12.344
114,0.188,2.192,0.215,12.026
115,0.191,2.215,0.211,12.192
116,0.22,2.144,0.184,12.735
117,0.195,2.188,0.196,12.549
118,0.262,2.127,0.2,12.532
119,0.227,2.154,0.197,12.533
