,acc,loss,val_acc,val_loss
0,0.098,2.309,0.127,12.555
1,0.119,2.301,0.134,12.222
2,0.107,2.307,0.138,12.732
3,0.108,2.299,0.133,12.361
4,0.114,2.299,0.14,12.006
5,0.133,2.295,0.148,11.979
6,0.143,2.289,0.137,12.385
7,0.126,2.303,0.162,11.127
8,0.11,2.297,0.155,12.013
9,0.118,2.295,0.162,11.909
10,0.126,2.292,0.171,11.63
11,0.126,2.289,0.175,11.989
12,0.125,2.293,0.172,11.941
13,0.143,2.293,0.199,11.567
14,0.129,2.291,0.19,11.556
15,0.119,2.296,0.193,11.142
16,0.15,2.281,0.18,11.741
17,0.136,2.287,0.177,12.057
18,0.16,2.279,0.18,11.99
19,0.147,2.284,0.183,11.713
20,0.144,2.272,0.173,12.324
21,0.116,2.286,0.189,11.866
22,0.15,2.281,0.195,11.862
23,0.153,2.277,0.18,12.035
24,0.142,2.279,0.178,12.309
25,0.176,2.266,0.17,12.533
26,0.175,2.277,0.195,12.082
27,0.158,2.282,0.187,12.201
28,0.18,2.258,0.193,12.218
29,0.148,2.266,0.19,12.281
30,0.142,2.279,0.191,12.226
31,0.177,2.26,0.186,12.464
32,0.148,2.274,0.195,12.36
33,0.167,2.264,0.189,12.469
34,0.179,2.252,0.187,12.461
35,0.141,2.27,0.186,12.413
36,0.176,2.266,0.186,12.537
37,0.16,2.247,0.184,12.497
38,0.175,2.243,0.183,12.677
39,0.172,2.253,0.182,12.515
40,0.175,2.242,0.194,12.209
41,0.189,2.228,0.171,12.809
42,0.173,2.259,0.199,12.192
43,0.188,2.233,0.183,12.562
44,0.186,2.205,0.183,12.559
45,0.172,2.233,0.188,12.477
46,0.164,2.237,0.183,12.668
47,0.173,2.259,0.192,12.498
48,0.175,2.228,0.171,13.006
49,0.164,2.255,0.174,12.88
50,0.198,2.216,0.178,12.785
51,0.188,2.215,0.169,13.041
52,0.177,2.211,0.187,12.738
53,0.158,2.262,0.182,12.728
54,0.193,2.21,0.201,12.322
55,0.18,2.204,0.195,12.635
56,0.204,2.198,0.196,12.639
57,0.199,2.22,0.181,12.895
58,0.193,2.199,0.236,11.85
59,0.214,2.15,0.189,12.781
60,0.191,2.202,0.191,12.757
61,0.217,2.148,0.205,12.47
62,0.21,2.244,0.19,12.679
63,0.213,2.202,0.196,12.633
64,0.186,2.229,0.187,12.704
65,0.201,2.215,0.193,12.646
66,0.238,2.166,0.214,12.244
67,0.235,2.169,0.216,12.217
68,0.212,2.166,0.238,11.884
69,0.2,2.213,0.204,12.545
70,0.222,2.14,0.228,12.009
71,0.195,2.201,0.211,12.316
72,0.177,2.191,0.214,12.278
73,0.263,2.118,0.204,12.473
74,0.206,2.163,0.193,12.757
75,0.213,2.141,0.206,12.525
76,0.231,2.14,0.199,12.654
77,0.246,2.103,0.208,12.443
78,0.208,2.199,0.197,12.618
79,0.244,2.119,0.206,12.447
80,0.228,2.15,0.194,12.768
81,0.209,2.15,0.2,12.595
82,0.217,2.193,0.203,12.423
83,0.225,2.172,0.236,11.931
84,0.242,2.115,0.21,12.398
85,0.235,2.182,0.216,12.243
86,0.224,2.167,0.214,12.435
87,0.225,2.157,0.214,12.438
88,0.261,2.055,0.215,12.255
89,0.211,2.203,0.23,12.043
90,0.233,2.146,0.245,11.957
91,0.214,2.155,0.201,12.67
92,0.209,2.218,0.236,11.851
93,0.258,2.089,0.217,12.291
94,0.249,2.103,0.231,12.107
95,0.231,2.109,0.205,12.641
96,0.252,2.084,0.208,12.525
97,0.218,2.194,0.263,11.486
98,0.244,2.109,0.238,11.905
99,0.234,2.151,0.232,12.055
100,0.233,2.139,0.257,11.455
101,0.248,2.135,0.212,12.403
102,0.234,2.132,0.228,12.113
103,0.272,2.06,0.224,12.262
104,0.234,2.136,0.235,11.972
105,0.185,2.223,0.253,11.582
106,0.263,2.09,0.235,12.021
107,0.258,2.061,0.229,12.078
108,0.266,2.08,0.234,12.024
109,0.22,2.187,0.285,11.119
110,0.261,2.07,0.229,12.042
111,0.211,2.163,0.222,12.183
112,0.25,2.102,0.269,11.4
113,0.237,2.104,0.213,12.489
114,0.267,2.1,0.215,12.355
115,0.263,2.067,0.259,11.559
116,0.242,2.124,0.235,12.062
117,0.234,2.184,0.243,11.884
118,0.235,2.174,0.272,11.368
119,0.279,2.066,0.237,12.062
