,acc,loss,val_acc,val_loss
0,0.109,2.33,0.147,12.365
1,0.122,2.309,0.152,12.873
2,0.11,2.302,0.154,12.762
3,0.119,2.281,0.149,12.956
4,0.123,2.283,0.143,13.272
5,0.14,2.28,0.168,12.726
6,0.15,2.274,0.175,12.342
7,0.133,2.277,0.184,12.09
8,0.132,2.266,0.182,12.213
9,0.152,2.255,0.183,12.162
10,0.14,2.253,0.169,12.512
11,0.164,2.243,0.168,12.917
12,0.154,2.243,0.184,12.518
13,0.184,2.222,0.154,13.079
14,0.15,2.242,0.165,12.972
15,0.171,2.219,0.179,12.689
16,0.164,2.218,0.182,12.789
17,0.186,2.213,0.182,12.565
18,0.182,2.212,0.156,13.235
19,0.186,2.206,0.174,12.882
20,0.177,2.206,0.157,13.304
21,0.175,2.195,0.18,12.775
22,0.202,2.172,0.16,13.251
23,0.209,2.167,0.156,13.261
24,0.188,2.163,0.178,12.704
25,0.186,2.178,0.159,13.186
26,0.184,2.16,0.154,13.366
27,0.198,2.174,0.158,13.273
28,0.231,2.137,0.142,13.572
29,0.191,2.17,0.197,12.646
30,0.195,2.147,0.166,13.146
31,0.204,2.125,0.173,13.06
32,0.238,2.116,0.178,12.922
33,0.231,2.093,0.153,13.504
34,0.229,2.116,0.162,13.334
35,0.186,2.112,0.168,13.155
36,0.232,2.077,0.173,13.061
37,0.21,2.079,0.169,13.172
38,0.222,2.08,0.151,13.563
39,0.198,2.131,0.214,12.25
40,0.211,2.087,0.177,12.99
41,0.228,2.066,0.219,12.316
42,0.213,2.164,0.253,11.689
43,0.232,2.109,0.241,11.853
44,0.252,2.051,0.18,12.922
45,0.206,2.118,0.171,13.107
46,0.246,2.051,0.173,13.088
47,0.25,2.084,0.264,11.517
48,0.238,2.046,0.178,12.95
49,0.232,2.052,0.187,12.744
50,0.228,2.094,0.197,12.695
51,0.224,2.065,0.191,12.801
52,0.239,2.087,0.197,12.64
53,0.251,2.027,0.188,12.818
54,0.258,2.025,0.162,13.184
55,0.237,2.066,0.188,12.772
56,0.253,2.031,0.171,13.036
57,0.262,1.999,0.202,12.568
58,0.287,1.967,0.192,12.845
59,0.257,2.057,0.267,11.514
60,0.268,2.026,0.192,12.83
61,0.268,2.024,0.22,12.417
62,0.267,1.973,0.164,13.344
63,0.243,2.049,0.257,11.64
64,0.272,2.037,0.201,12.657
65,0.254,2.01,0.213,12.514
66,0.268,2.011,0.212,12.4
67,0.281,2.011,0.188,12.872
68,0.278,2.049,0.23,12.11
69,0.282,1.972,0.217,12.5
70,0.287,2.019,0.189,12.832
71,0.282,1.989,0.213,12.404
72,0.277,2.004,0.198,12.714
73,0.283,1.99,0.198,12.705
74,0.27,1.95,0.239,11.952
75,0.259,1.995,0.19,12.957
76,0.311,1.916,0.214,12.471
77,0.292,1.956,0.196,12.771
78,0.282,1.969,0.207,12.603
79,0.29,1.945,0.193,12.743
80,0.272,2.032,0.197,12.802
81,0.299,1.93,0.175,13.115
82,0.309,1.917,0.214,12.426
83,0.307,1.948,0.198,12.675
84,0.292,1.956,0.207,12.568
85,0.267,1.99,0.224,12.258
86,0.272,1.968,0.216,12.449
87,0.288,1.946,0.238,12.012
88,0.311,1.941,0.265,11.59
89,0.283,1.944,0.209,12.542
90,0.278,1.98,0.229,12.214
91,0.314,1.94,0.25,11.869
92,0.275,1.995,0.216,12.399
93,0.295,1.963,0.198,12.706
94,0.292,1.944,0.203,12.653
95,0.327,1.884,0.2,12.77
96,0.294,1.984,0.224,12.324
97,0.281,1.977,0.2,12.647
98,0.295,1.94,0.195,12.804
99,0.319,1.903,0.258,11.801
100,0.294,1.906,0.219,12.452
101,0.325,1.89,0.218,12.391
102,0.338,1.889,0.213,12.567
103,0.304,1.905,0.217,12.411
104,0.314,1.865,0.254,11.712
105,0.316,1.901,0.221,12.283
106,0.307,1.928,0.217,12.422
107,0.31,1.891,0.221,12.35
108,0.324,1.923,0.214,12.457
109,0.31,1.9,0.206,12.563
110,0.308,1.897,0.229,12.195
111,0.305,1.908,0.239,12.071
112,0.299,1.887,0.218,12.36
113,0.31,1.944,0.244,11.908
114,0.294,1.914,0.244,11.912
115,0.31,1.914,0.256,11.824
116,0.31,1.902,0.197,12.743
117,0.31,1.932,0.286,11.286
118,0.324,1.897,0.242,11.992
119,0.331,1.865,0.233,12.229
