,acc,loss,val_acc,val_loss
0,0.115,2.324,0.094,12.954
1,0.104,2.323,0.104,12.044
2,0.094,2.316,0.112,12.161
3,0.102,2.305,0.105,12.437
4,0.094,2.31,0.11,12.515
5,0.109,2.3,0.151,12.019
6,0.112,2.31,0.132,12.319
7,0.116,2.304,0.13,12.486
8,0.1,2.299,0.139,12.024
9,0.089,2.31,0.145,11.786
10,0.116,2.301,0.149,12.238
11,0.116,2.299,0.142,11.94
12,0.121,2.295,0.132,11.624
13,0.116,2.295,0.154,11.278
14,0.121,2.299,0.163,11.549
15,0.121,2.296,0.147,11.816
16,0.114,2.29,0.158,11.919
17,0.123,2.297,0.167,11.624
18,0.119,2.294,0.158,11.716
19,0.137,2.294,0.166,11.717
20,0.146,2.281,0.165,11.624
21,0.144,2.283,0.183,11.333
22,0.155,2.283,0.192,10.837
23,0.14,2.29,0.188,11.203
24,0.141,2.287,0.193,11.121
25,0.15,2.288,0.195,10.994
26,0.131,2.284,0.198,11.347
27,0.126,2.284,0.192,11.404
28,0.136,2.285,0.192,11.814
29,0.151,2.277,0.194,11.819
30,0.112,2.301,0.197,11.295
31,0.141,2.284,0.199,11.293
32,0.15,2.281,0.186,11.425
33,0.1,2.31,0.194,11.171
34,0.185,2.257,0.192,11.423
35,0.163,2.266,0.186,11.75
36,0.153,2.278,0.188,11.849
37,0.14,2.285,0.197,11.374
38,0.191,2.262,0.189,11.904
39,0.127,2.281,0.19,11.841
40,0.164,2.281,0.201,11.504
41,0.157,2.286,0.199,11.453
42,0.194,2.242,0.181,11.89
43,0.163,2.259,0.188,11.759
44,0.173,2.263,0.206,11.588
45,0.158,2.277,0.197,12.017
46,0.143,2.277,0.196,11.832
47,0.173,2.262,0.189,11.99
48,0.165,2.254,0.168,12.545
49,0.113,2.306,0.203,11.927
50,0.143,2.283,0.185,12.208
51,0.153,2.282,0.215,11.637
52,0.135,2.286,0.223,11.045
53,0.171,2.261,0.206,11.597
54,0.186,2.252,0.194,12.003
55,0.152,2.274,0.187,12.225
56,0.169,2.26,0.217,11.468
57,0.167,2.264,0.206,11.604
58,0.196,2.243,0.195,11.896
59,0.212,2.217,0.162,12.676
60,0.16,2.274,0.192,11.941
61,0.158,2.272,0.226,11.081
62,0.198,2.215,0.213,11.38
63,0.196,2.232,0.201,11.853
64,0.133,2.297,0.208,11.348
65,0.156,2.266,0.203,11.319
66,0.208,2.233,0.194,11.875
67,0.195,2.238,0.196,12.098
68,0.16,2.262,0.18,12.288
69,0.184,2.254,0.187,11.989
70,0.158,2.254,0.187,11.888
71,0.203,2.227,0.199,11.902
72,0.18,2.245,0.178,12.402
73,0.17,2.27,0.177,12.388
74,0.162,2.257,0.173,12.66
75,0.198,2.224,0.175,12.533
76,0.183,2.256,0.166,12.788
77,0.241,2.188,0.165,12.916
78,0.138,2.279,0.152,13.026
79,0.252,2.16,0.166,12.846
80,0.193,2.219,0.162,12.817
81,0.215,2.207,0.172,12.611
82,0.184,2.221,0.177,12.39
83,0.17,2.232,0.202,11.766
84,0.198,2.204,0.183,12.271
85,0.179,2.262,0.203,11.76
86,0.253,2.158,0.183,12.428
87,0.194,2.219,0.193,12.174
88,0.16,2.261,0.193,12.067
89,0.165,2.257,0.212,11.776
90,0.19,2.228,0.225,11.418
91,0.219,2.201,0.222,11.431
92,0.212,2.213,0.182,12.364
93,0.179,2.233,0.201,11.943
94,0.269,2.128,0.221,11.786
95,0.23,2.149,0.195,12.317
96,0.22,2.171,0.186,12.381
97,0.184,2.227,0.184,12.612
98,0.228,2.137,0.182,12.61
99,0.215,2.184,0.181,12.646
100,0.213,2.184,0.204,12.103
101,0.174,2.233,0.186,12.386
102,0.225,2.178,0.196,12.086
103,0.205,2.217,0.2,12.241
104,0.224,2.18,0.189,12.608
105,0.19,2.24,0.208,11.949
106,0.174,2.231,0.204,12.016
107,0.165,2.259,0.23,11.353
108,0.252,2.143,0.22,11.966
109,0.242,2.155,0.216,11.961
110,0.212,2.194,0.207,12.253
111,0.244,2.139,0.202,12.337
112,0.217,2.179,0.21,12.116
113,0.214,2.163,0.201,12.09
114,0.19,2.197,0.207,12.203
115,0.237,2.129,0.202,12.167
116,0.201,2.183,0.227,11.884
117,0.184,2.208,0.199,12.421
118,0.227,2.15,0.194,12.44
119,0.267,2.13,0.203,12.272
