,acc,loss,val_acc,val_loss
0,0.095,2.311,0.097,12.708
1,0.119,2.304,0.116,11.305
2,0.104,2.299,0.151,11.15
3,0.109,2.296,0.157,11.438
4,0.106,2.296,0.141,11.75
5,0.141,2.293,0.159,11.423
6,0.147,2.284,0.17,11.461
7,0.14,2.286,0.164,11.409
8,0.134,2.284,0.173,11.259
9,0.171,2.272,0.166,11.561
10,0.158,2.266,0.17,11.589
11,0.136,2.278,0.189,11.597
12,0.165,2.261,0.214,11.289
13,0.148,2.26,0.19,11.552
14,0.173,2.261,0.203,11.544
15,0.177,2.237,0.184,11.711
16,0.167,2.253,0.194,11.522
17,0.179,2.242,0.183,11.885
18,0.183,2.249,0.197,11.909
19,0.205,2.211,0.204,11.859
20,0.184,2.225,0.195,12.223
21,0.203,2.177,0.205,12.115
22,0.198,2.167,0.21,11.908
23,0.183,2.218,0.199,12.231
24,0.202,2.188,0.22,11.64
25,0.218,2.142,0.192,12.537
26,0.194,2.164,0.209,12.085
27,0.214,2.128,0.201,12.37
28,0.228,2.114,0.205,12.32
29,0.196,2.141,0.215,12.177
30,0.202,2.109,0.233,11.805
31,0.22,2.102,0.192,12.602
32,0.225,2.095,0.22,12.216
33,0.219,2.1,0.207,12.352
34,0.228,2.131,0.211,12.205
35,0.203,2.128,0.21,12.33
36,0.229,2.106,0.183,12.834
37,0.222,2.097,0.199,12.542
38,0.256,2.067,0.196,12.689
39,0.219,2.089,0.202,12.532
40,0.239,2.093,0.196,12.588
41,0.215,2.091,0.211,12.351
42,0.229,2.065,0.221,12.203
43,0.219,2.127,0.255,11.435
44,0.244,2.052,0.208,12.493
45,0.244,2.066,0.214,12.2
46,0.206,2.095,0.204,12.515
47,0.257,2.084,0.216,12.337
48,0.263,2.036,0.216,12.333
49,0.23,2.09,0.265,11.39
50,0.27,2.009,0.214,12.441
51,0.273,2.026,0.226,12.171
52,0.211,2.106,0.221,12.384
53,0.253,2.076,0.219,12.268
54,0.253,2.033,0.196,12.712
55,0.269,2.023,0.225,12.301
56,0.285,1.984,0.22,12.213
57,0.267,1.995,0.211,12.369
58,0.301,1.944,0.269,11.35
59,0.312,1.946,0.212,12.416
60,0.238,2.093,0.273,11.406
61,0.249,2.026,0.21,12.504
62,0.265,2.021,0.25,11.776
63,0.304,1.949,0.222,12.167
64,0.311,1.938,0.26,11.592
65,0.248,2.077,0.277,11.452
66,0.256,2.052,0.23,12.106
67,0.32,1.91,0.235,12.038
68,0.291,1.958,0.221,12.283
69,0.306,1.934,0.263,11.568
70,0.277,2.002,0.247,11.706
71,0.325,1.919,0.201,12.735
72,0.283,1.969,0.227,12.133
73,0.31,1.908,0.28,11.355
74,0.281,1.992,0.24,12.045
75,0.294,1.981,0.233,12.143
76,0.316,1.938,0.247,11.832
77,0.31,1.933,0.248,11.912
78,0.321,1.927,0.251,11.851
79,0.292,1.957,0.243,11.921
80,0.309,1.966,0.267,11.548
81,0.316,1.963,0.229,12.268
82,0.325,1.901,0.276,11.323
83,0.305,1.926,0.212,12.483
84,0.334,1.888,0.25,11.808
85,0.348,1.838,0.244,11.988
86,0.33,1.903,0.245,11.961
87,0.308,1.933,0.238,12.101
88,0.358,1.838,0.258,11.776
89,0.315,1.898,0.274,11.413
90,0.282,1.996,0.251,11.781
91,0.294,1.954,0.255,11.738
92,0.348,1.879,0.247,11.97
93,0.344,1.855,0.273,11.508
94,0.307,1.937,0.254,11.844
95,0.335,1.857,0.273,11.521
96,0.342,1.857,0.234,12.118
97,0.331,1.856,0.236,12.118
98,0.335,1.91,0.254,11.816
99,0.306,1.964,0.235,12.129
100,0.342,1.855,0.244,12.039
101,0.365,1.797,0.267,11.571
102,0.378,1.778,0.256,11.808
103,0.339,1.798,0.273,11.508
104,0.336,1.875,0.248,11.909
105,0.343,1.832,0.252,11.887
106,0.352,1.821,0.265,11.665
107,0.295,1.9,0.26,11.751
108,0.369,1.84,0.24,12.031
109,0.325,1.923,0.274,11.477
110,0.354,1.817,0.258,11.796
111,0.357,1.826,0.289,11.269
112,0.362,1.811,0.251,11.857
113,0.333,1.871,0.281,11.375
114,0.372,1.834,0.262,11.735
115,0.372,1.824,0.246,11.954
116,0.36,1.804,0.254,11.798
117,0.317,1.875,0.24,11.985
118,0.35,1.828,0.256,11.821
119,0.392,1.782,0.244,11.935
