,acc,loss,val_acc,val_loss
0,0.107,2.318,0.124,12.988
1,0.109,2.309,0.146,12.114
2,0.105,2.302,0.148,12.069
3,0.133,2.298,0.162,11.385
4,0.122,2.281,0.15,12.754
5,0.126,2.297,0.158,12.28
6,0.135,2.285,0.136,13.109
7,0.123,2.29,0.17,12.274
8,0.127,2.283,0.176,11.897
9,0.144,2.278,0.173,12.295
10,0.146,2.284,0.187,12.359
11,0.137,2.266,0.167,12.58
12,0.175,2.266,0.146,13.122
13,0.141,2.258,0.158,12.968
14,0.165,2.266,0.187,12.188
15,0.156,2.271,0.197,11.916
16,0.162,2.263,0.204,11.621
17,0.132,2.268,0.18,12.18
18,0.196,2.258,0.174,12.579
19,0.166,2.241,0.145,13.268
20,0.173,2.238,0.146,13.329
21,0.152,2.259,0.18,12.331
22,0.17,2.242,0.182,12.313
23,0.174,2.241,0.179,12.399
24,0.179,2.25,0.199,12.09
25,0.195,2.203,0.148,13.302
26,0.165,2.249,0.198,12.197
27,0.208,2.203,0.183,12.571
28,0.167,2.226,0.156,13.213
29,0.233,2.165,0.158,13.143
30,0.19,2.186,0.191,12.608
31,0.172,2.239,0.194,12.394
32,0.228,2.154,0.203,12.394
33,0.16,2.252,0.22,12.011
34,0.177,2.215,0.18,12.72
35,0.183,2.206,0.173,12.802
36,0.228,2.162,0.174,12.88
37,0.19,2.232,0.197,12.39
38,0.218,2.155,0.164,13.013
39,0.195,2.164,0.197,12.583
40,0.209,2.156,0.181,12.789
41,0.221,2.142,0.175,12.908
42,0.202,2.179,0.198,12.492
43,0.213,2.168,0.169,13.029
44,0.175,2.168,0.191,12.67
45,0.205,2.126,0.205,12.341
46,0.209,2.144,0.176,12.862
47,0.251,2.074,0.181,12.865
48,0.176,2.212,0.21,12.331
49,0.185,2.168,0.197,12.641
50,0.24,2.092,0.184,12.812
51,0.232,2.094,0.219,12.176
52,0.202,2.168,0.152,13.353
53,0.219,2.127,0.21,12.431
54,0.202,2.146,0.234,11.933
55,0.205,2.143,0.195,12.621
56,0.257,2.108,0.226,11.983
57,0.271,2.069,0.19,12.851
58,0.239,2.035,0.169,13.205
59,0.225,2.139,0.184,12.899
60,0.266,2.044,0.156,13.341
61,0.237,2.137,0.168,13.229
62,0.235,2.11,0.185,12.932
63,0.26,2.044,0.175,13.068
64,0.23,2.109,0.245,11.695
65,0.215,2.113,0.203,12.451
66,0.21,2.15,0.162,13.275
67,0.251,2.048,0.181,13.007
68,0.214,2.124,0.238,11.881
69,0.279,2.041,0.208,12.46
70,0.235,2.087,0.247,11.847
71,0.21,2.148,0.21,12.428
72,0.253,2.071,0.197,12.642
73,0.235,2.063,0.217,12.255
74,0.242,2.102,0.199,12.594
75,0.269,2.072,0.259,11.557
76,0.277,2.06,0.233,12.183
77,0.259,2.03,0.173,13.11
78,0.232,2.105,0.208,12.54
79,0.238,2.077,0.251,11.686
80,0.248,2.071,0.199,12.614
81,0.266,2.047,0.2,12.669
82,0.256,2.063,0.188,12.729
83,0.261,2.041,0.213,12.441
84,0.282,1.987,0.194,12.795
85,0.259,2.072,0.213,12.396
86,0.277,2.02,0.23,12.092
87,0.278,2.054,0.223,12.215
88,0.316,1.981,0.231,12.026
89,0.307,1.938,0.217,12.354
90,0.227,2.093,0.215,12.397
91,0.254,2.02,0.197,12.689
92,0.324,1.945,0.236,12.095
93,0.241,2.095,0.218,12.382
94,0.267,2.058,0.204,12.542
95,0.277,2.034,0.254,11.814
96,0.26,2.023,0.169,13.182
97,0.297,1.975,0.206,12.573
98,0.315,1.902,0.229,12.136
99,0.306,1.962,0.206,12.561
100,0.301,1.903,0.222,12.33
101,0.254,2.095,0.233,12.149
102,0.278,1.989,0.231,12.237
103,0.266,2.031,0.238,11.992
104,0.297,1.974,0.217,12.361
105,0.304,1.964,0.219,12.415
106,0.273,2.021,0.24,11.998
107,0.317,1.942,0.266,11.637
108,0.327,1.933,0.228,12.155
109,0.283,1.996,0.234,12.182
110,0.269,2.032,0.227,12.329
111,0.327,1.881,0.226,12.311
112,0.278,2.033,0.232,12.14
113,0.295,1.961,0.218,12.401
114,0.291,1.96,0.216,12.396
115,0.309,1.949,0.231,12.25
116,0.307,1.958,0.244,11.956
117,0.334,1.87,0.238,12.022
118,0.305,1.96,0.24,12.045
119,0.297,1.96,0.243,12.011
