,acc,loss,val_acc,val_loss
0,0.092,2.331,0.13,11.693
1,0.11,2.313,0.155,12.765
2,0.122,2.296,0.138,13.219
3,0.107,2.305,0.15,12.815
4,0.114,2.297,0.15,12.716
5,0.119,2.296,0.143,12.925
6,0.128,2.292,0.156,12.617
7,0.147,2.279,0.172,12.371
8,0.115,2.301,0.169,12.304
9,0.11,2.303,0.19,11.852
10,0.121,2.288,0.195,11.572
11,0.133,2.28,0.183,11.993
12,0.119,2.295,0.186,11.878
13,0.146,2.275,0.181,12.455
14,0.145,2.283,0.162,12.664
15,0.166,2.27,0.164,12.608
16,0.171,2.262,0.179,12.121
17,0.144,2.295,0.209,11.539
18,0.164,2.259,0.177,12.4
19,0.175,2.264,0.212,11.611
20,0.192,2.233,0.165,12.744
21,0.133,2.286,0.19,12.154
22,0.157,2.245,0.206,12.091
23,0.147,2.274,0.206,11.895
24,0.174,2.253,0.197,11.936
25,0.162,2.272,0.222,11.518
26,0.141,2.28,0.223,11.717
27,0.152,2.258,0.198,11.973
28,0.155,2.252,0.194,12.147
29,0.169,2.253,0.179,12.256
30,0.192,2.237,0.18,12.517
31,0.176,2.244,0.212,11.871
32,0.19,2.223,0.206,12.01
33,0.127,2.311,0.239,11.28
34,0.183,2.229,0.22,11.754
35,0.176,2.218,0.204,12.193
36,0.176,2.242,0.199,12.217
37,0.17,2.238,0.206,12.23
38,0.155,2.273,0.235,11.385
39,0.158,2.277,0.227,11.625
40,0.212,2.186,0.196,12.419
41,0.188,2.223,0.24,11.525
42,0.156,2.259,0.205,12.013
43,0.181,2.22,0.208,12.188
44,0.23,2.165,0.188,12.513
45,0.162,2.305,0.208,12.121
46,0.202,2.182,0.203,12.414
47,0.177,2.197,0.209,12.249
48,0.201,2.202,0.227,12.008
49,0.223,2.188,0.188,12.663
50,0.172,2.225,0.215,12.087
51,0.201,2.156,0.195,12.584
52,0.188,2.226,0.227,12.0
53,0.22,2.195,0.234,11.846
54,0.196,2.223,0.253,11.559
55,0.19,2.228,0.187,12.618
56,0.185,2.274,0.189,12.54
57,0.218,2.164,0.211,12.123
58,0.213,2.165,0.192,12.597
59,0.195,2.194,0.213,12.198
60,0.241,2.129,0.197,12.553
61,0.165,2.311,0.24,11.581
62,0.247,2.194,0.226,12.016
63,0.257,2.105,0.198,12.586
64,0.225,2.144,0.19,12.604
65,0.222,2.163,0.22,12.051
66,0.217,2.197,0.199,12.558
67,0.198,2.229,0.22,12.213
68,0.211,2.19,0.221,12.109
69,0.237,2.093,0.22,12.151
70,0.235,2.163,0.214,12.146
71,0.208,2.203,0.212,12.309
72,0.218,2.205,0.21,12.342
73,0.239,2.137,0.209,12.469
74,0.203,2.221,0.197,12.581
75,0.242,2.112,0.213,12.343
76,0.249,2.065,0.198,12.706
77,0.231,2.119,0.199,12.677
78,0.186,2.278,0.216,12.304
79,0.266,2.087,0.223,12.141
80,0.194,2.212,0.217,12.308
81,0.194,2.251,0.196,12.678
82,0.252,2.119,0.222,12.224
83,0.176,2.271,0.228,12.074
84,0.24,2.16,0.221,12.206
85,0.267,2.066,0.216,12.32
86,0.202,2.232,0.224,12.134
87,0.253,2.104,0.216,12.372
88,0.248,2.108,0.217,12.357
89,0.259,2.113,0.215,12.34
90,0.25,2.152,0.195,12.694
91,0.253,2.129,0.197,12.624
92,0.215,2.137,0.218,12.25
93,0.238,2.117,0.2,12.731
94,0.232,2.117,0.2,12.635
95,0.227,2.196,0.216,12.242
96,0.27,2.071,0.227,12.228
97,0.247,2.045,0.212,12.517
98,0.233,2.151,0.23,12.058
99,0.26,2.094,0.23,12.142
100,0.275,2.078,0.204,12.689
101,0.215,2.198,0.217,12.261
102,0.215,2.194,0.215,12.435
103,0.301,1.999,0.192,12.774
104,0.316,1.985,0.224,12.252
105,0.212,2.231,0.217,12.317
106,0.271,2.046,0.224,12.264
107,0.252,2.081,0.228,12.2
108,0.259,2.105,0.217,12.345
109,0.283,2.06,0.192,12.913
110,0.259,2.091,0.225,12.176
111,0.263,2.078,0.231,12.092
112,0.229,2.14,0.226,12.21
113,0.301,1.985,0.227,12.271
114,0.257,2.025,0.214,12.488
115,0.328,1.948,0.221,12.326
116,0.256,2.064,0.222,12.29
117,0.259,2.136,0.245,11.913
118,0.272,2.102,0.218,12.361
119,0.263,2.065,0.223,12.266
