,acc,loss,val_acc,val_loss
0,0.109,2.32,0.101,12.838
1,0.107,2.306,0.112,14.035
2,0.106,2.303,0.106,14.24
3,0.126,2.292,0.11,14.033
4,0.121,2.289,0.115,13.882
5,0.132,2.28,0.152,12.895
6,0.143,2.276,0.159,12.544
7,0.156,2.267,0.157,12.79
8,0.173,2.261,0.169,12.57
9,0.158,2.259,0.151,13.13
10,0.158,2.245,0.15,13.305
11,0.175,2.231,0.16,13.019
12,0.174,2.232,0.165,13.021
13,0.184,2.224,0.163,13.013
14,0.181,2.223,0.168,12.986
15,0.189,2.196,0.192,12.4
16,0.204,2.19,0.181,12.789
17,0.205,2.182,0.174,12.895
18,0.199,2.171,0.16,13.29
19,0.21,2.157,0.181,12.865
20,0.206,2.153,0.17,13.082
21,0.2,2.142,0.16,13.255
22,0.209,2.15,0.188,12.749
23,0.212,2.127,0.159,13.231
24,0.21,2.115,0.194,12.562
25,0.191,2.124,0.166,13.042
26,0.22,2.093,0.176,12.999
27,0.219,2.071,0.17,13.082
28,0.22,2.075,0.198,12.702
29,0.23,2.096,0.191,12.653
30,0.219,2.076,0.195,12.672
31,0.242,2.057,0.192,12.711
32,0.232,2.073,0.169,13.046
33,0.232,2.036,0.223,12.189
34,0.233,2.087,0.174,13.036
35,0.254,2.052,0.187,12.906
36,0.247,2.044,0.205,12.599
37,0.256,2.04,0.2,12.605
38,0.249,2.008,0.219,12.255
39,0.24,2.035,0.176,12.99
40,0.271,2.022,0.22,12.27
41,0.235,2.054,0.187,12.91
42,0.239,2.06,0.237,11.972
43,0.265,2.008,0.183,12.94
44,0.276,1.984,0.228,12.183
45,0.297,1.965,0.203,12.581
46,0.258,2.029,0.21,12.436
47,0.273,1.974,0.195,12.685
48,0.258,2.011,0.222,12.264
49,0.252,1.989,0.254,11.701
50,0.233,2.014,0.187,12.85
51,0.265,1.981,0.243,11.927
52,0.276,1.984,0.198,12.637
53,0.275,1.988,0.21,12.342
54,0.285,1.993,0.23,12.083
55,0.305,1.95,0.229,12.196
56,0.272,1.985,0.224,12.279
57,0.278,1.956,0.218,12.304
58,0.273,1.973,0.253,11.658
59,0.237,1.994,0.196,12.849
60,0.292,1.948,0.222,12.265
61,0.281,1.949,0.268,11.524
62,0.272,1.959,0.216,12.396
63,0.276,1.937,0.236,12.004
64,0.29,1.959,0.245,11.882
65,0.294,1.913,0.233,12.105
66,0.295,1.944,0.242,12.012
67,0.294,1.958,0.24,11.964
68,0.273,1.958,0.245,11.899
69,0.291,1.943,0.212,12.471
70,0.295,1.93,0.214,12.403
71,0.288,1.947,0.231,12.168
72,0.268,1.953,0.232,12.101
73,0.288,1.931,0.223,12.297
74,0.297,1.948,0.25,11.77
75,0.31,1.914,0.232,12.094
76,0.32,1.924,0.207,12.497
77,0.337,1.886,0.26,11.603
78,0.308,1.932,0.27,11.545
79,0.328,1.892,0.246,11.88
80,0.304,1.904,0.24,12.028
81,0.283,1.932,0.231,12.253
82,0.329,1.856,0.24,12.043
83,0.326,1.878,0.236,12.069
84,0.29,1.886,0.244,12.067
85,0.317,1.884,0.251,11.884
86,0.319,1.87,0.257,11.607
87,0.309,1.877,0.292,11.139
88,0.295,1.931,0.253,11.761
89,0.331,1.886,0.267,11.56
90,0.329,1.847,0.256,11.771
91,0.337,1.848,0.239,12.07
92,0.345,1.86,0.301,11.031
93,0.345,1.847,0.235,12.169
94,0.331,1.844,0.276,11.447
95,0.348,1.832,0.262,11.577
96,0.333,1.87,0.265,11.61
97,0.334,1.842,0.261,11.637
98,0.334,1.835,0.247,11.931
99,0.345,1.868,0.253,11.765
100,0.35,1.822,0.244,11.948
101,0.331,1.855,0.247,11.921
102,0.344,1.823,0.241,12.07
103,0.356,1.815,0.277,11.442
104,0.336,1.828,0.269,11.643
105,0.32,1.876,0.288,11.247
106,0.35,1.829,0.235,12.104
107,0.356,1.797,0.233,12.171
108,0.359,1.801,0.249,11.934
109,0.345,1.809,0.276,11.425
110,0.373,1.788,0.265,11.678
111,0.362,1.782,0.251,11.932
112,0.353,1.798,0.26,11.787
113,0.375,1.783,0.281,11.339
114,0.36,1.767,0.266,11.577
115,0.372,1.772,0.25,11.96
116,0.344,1.822,0.253,11.791
117,0.348,1.816,0.251,11.918
118,0.369,1.805,0.224,12.326
119,0.357,1.794,0.251,11.981
