,acc,loss,val_acc,val_loss
0,0.116,2.309,0.125,13.246
1,0.119,2.299,0.138,12.759
2,0.114,2.298,0.13,12.89
3,0.129,2.288,0.125,13.278
4,0.137,2.287,0.142,13.015
5,0.148,2.284,0.124,13.709
6,0.151,2.279,0.16,12.733
7,0.151,2.279,0.155,13.027
8,0.166,2.266,0.147,13.177
9,0.164,2.263,0.155,13.197
10,0.177,2.252,0.155,13.078
11,0.17,2.253,0.175,12.863
12,0.17,2.26,0.185,12.406
13,0.178,2.255,0.186,12.399
14,0.183,2.246,0.166,13.128
15,0.191,2.255,0.145,13.467
16,0.213,2.216,0.177,12.84
17,0.2,2.228,0.178,12.731
18,0.2,2.22,0.231,11.747
19,0.189,2.247,0.209,12.284
20,0.203,2.221,0.173,13.083
21,0.224,2.184,0.157,13.439
22,0.232,2.174,0.187,12.796
23,0.212,2.203,0.186,12.92
24,0.219,2.192,0.19,12.679
25,0.229,2.18,0.171,13.102
26,0.206,2.221,0.214,12.089
27,0.198,2.237,0.237,11.666
28,0.242,2.167,0.214,12.397
29,0.246,2.152,0.197,12.695
30,0.23,2.168,0.197,12.614
31,0.259,2.119,0.181,12.882
32,0.201,2.205,0.236,11.774
33,0.234,2.181,0.226,12.177
34,0.246,2.139,0.203,12.6
35,0.221,2.18,0.207,12.435
36,0.223,2.152,0.238,11.771
37,0.269,2.108,0.226,12.15
38,0.265,2.1,0.24,11.766
39,0.273,2.069,0.224,12.267
40,0.27,2.073,0.211,12.511
41,0.263,2.105,0.246,11.833
42,0.248,2.117,0.224,12.155
43,0.276,2.079,0.224,12.338
44,0.271,2.079,0.22,12.311
45,0.246,2.123,0.259,11.483
46,0.267,2.087,0.267,11.412
47,0.304,1.993,0.252,11.778
48,0.278,2.062,0.237,12.04
49,0.278,2.067,0.239,11.96
50,0.324,1.943,0.244,11.971
51,0.291,2.032,0.249,11.801
52,0.295,2.033,0.252,11.678
53,0.277,2.053,0.268,11.358
54,0.304,1.984,0.23,12.172
55,0.31,1.97,0.246,11.973
56,0.279,2.044,0.279,11.371
57,0.292,2.015,0.276,11.393
58,0.288,2.033,0.287,11.251
59,0.303,2.005,0.292,11.085
60,0.333,1.926,0.246,11.993
61,0.311,1.971,0.274,11.446
62,0.288,2.012,0.312,10.776
63,0.295,2.0,0.315,10.795
64,0.308,1.962,0.322,10.598
65,0.289,1.998,0.316,10.637
66,0.317,1.951,0.319,10.644
67,0.323,1.935,0.282,11.264
68,0.309,1.958,0.307,10.888
69,0.28,2.017,0.323,10.54
70,0.308,1.956,0.306,10.897
71,0.277,2.025,0.31,10.775
72,0.307,1.973,0.32,10.723
73,0.314,1.946,0.324,10.606
74,0.302,1.976,0.329,10.415
75,0.326,1.913,0.342,10.328
76,0.346,1.871,0.311,10.806
77,0.328,1.924,0.339,10.287
78,0.336,1.901,0.305,10.88
79,0.341,1.876,0.328,10.653
80,0.311,1.937,0.343,10.226
81,0.33,1.904,0.343,10.31
82,0.325,1.897,0.343,10.296
83,0.326,1.897,0.336,10.489
84,0.337,1.888,0.349,10.107
85,0.349,1.834,0.327,10.619
86,0.317,1.943,0.333,10.392
87,0.386,1.785,0.332,10.572
88,0.36,1.821,0.347,10.287
89,0.34,1.862,0.334,10.497
90,0.34,1.877,0.332,10.431
91,0.364,1.805,0.345,10.308
92,0.349,1.842,0.349,10.224
93,0.378,1.779,0.324,10.697
94,0.349,1.834,0.357,10.214
95,0.363,1.811,0.356,10.181
96,0.372,1.801,0.347,10.234
97,0.34,1.874,0.354,10.032
98,0.372,1.793,0.345,10.222
99,0.399,1.731,0.349,10.298
100,0.351,1.842,0.357,10.041
101,0.348,1.842,0.334,10.49
102,0.401,1.729,0.35,10.239
103,0.379,1.773,0.359,10.126
104,0.392,1.746,0.358,10.167
105,0.358,1.814,0.354,10.127
106,0.372,1.779,0.373,9.895
107,0.366,1.784,0.389,9.684
108,0.379,1.758,0.375,9.699
109,0.356,1.806,0.378,9.688
110,0.374,1.783,0.357,10.142
111,0.394,1.711,0.385,9.607
112,0.421,1.688,0.361,10.093
113,0.388,1.712,0.338,10.492
114,0.396,1.71,0.378,9.745
115,0.385,1.759,0.375,9.726
116,0.403,1.687,0.354,10.15
117,0.388,1.725,0.399,9.448
118,0.369,1.755,0.39,9.544
119,0.383,1.738,0.375,9.787
