,acc,loss,val_acc,val_loss
0,0.115,2.305,0.144,13.303
1,0.129,2.291,0.131,13.457
2,0.143,2.279,0.169,12.808
3,0.159,2.272,0.144,13.339
4,0.169,2.259,0.165,12.75
5,0.182,2.245,0.182,12.848
6,0.185,2.23,0.162,13.183
7,0.189,2.214,0.208,12.363
8,0.194,2.197,0.21,12.475
9,0.206,2.182,0.24,11.929
10,0.218,2.16,0.201,12.61
11,0.215,2.159,0.196,12.684
12,0.234,2.13,0.222,12.269
13,0.228,2.132,0.246,11.827
14,0.238,2.105,0.244,12.002
15,0.26,2.08,0.193,12.789
16,0.247,2.083,0.26,11.701
17,0.247,2.089,0.224,12.335
18,0.254,2.058,0.233,12.132
19,0.248,2.073,0.238,12.041
20,0.263,2.058,0.237,12.117
21,0.259,2.056,0.281,11.368
22,0.278,2.022,0.22,12.363
23,0.268,2.028,0.22,12.345
24,0.277,2.012,0.246,11.965
25,0.263,2.048,0.252,11.859
26,0.284,2.012,0.286,11.276
27,0.286,2.012,0.301,11.034
28,0.277,2.018,0.289,11.256
29,0.284,2.012,0.294,11.038
30,0.277,2.004,0.251,11.877
31,0.287,1.995,0.293,11.235
32,0.302,1.982,0.277,11.418
33,0.3,1.965,0.277,11.389
34,0.296,1.975,0.284,11.24
35,0.301,1.961,0.265,11.583
36,0.297,1.979,0.319,10.637
37,0.299,1.971,0.332,10.435
38,0.298,1.97,0.319,10.748
39,0.311,1.943,0.317,10.848
40,0.304,1.954,0.287,11.22
41,0.327,1.912,0.338,10.421
42,0.319,1.929,0.335,10.464
43,0.317,1.928,0.337,10.491
44,0.326,1.927,0.331,10.559
45,0.318,1.918,0.339,10.466
46,0.335,1.916,0.354,10.081
47,0.318,1.929,0.348,10.17
48,0.334,1.891,0.369,9.992
49,0.332,1.886,0.333,10.468
50,0.326,1.891,0.351,10.25
51,0.336,1.872,0.364,10.014
52,0.348,1.869,0.34,10.43
53,0.34,1.857,0.336,10.539
54,0.346,1.869,0.338,10.5
55,0.347,1.856,0.343,10.454
56,0.347,1.851,0.376,9.742
57,0.353,1.84,0.359,10.077
58,0.357,1.833,0.355,10.125
59,0.351,1.829,0.344,10.368
60,0.352,1.848,0.34,10.414
61,0.351,1.854,0.354,10.215
62,0.353,1.823,0.37,9.89
63,0.364,1.802,0.363,10.011
64,0.356,1.823,0.365,9.997
65,0.355,1.819,0.375,9.844
66,0.35,1.839,0.358,10.044
67,0.355,1.831,0.374,9.781
68,0.376,1.779,0.374,9.997
69,0.363,1.813,0.363,10.053
70,0.365,1.827,0.375,9.821
71,0.379,1.774,0.401,9.437
72,0.363,1.789,0.378,9.809
73,0.38,1.765,0.372,9.897
74,0.374,1.79,0.378,9.721
75,0.394,1.741,0.371,9.867
76,0.383,1.762,0.378,9.762
77,0.38,1.769,0.394,9.579
78,0.38,1.766,0.396,9.548
79,0.392,1.736,0.388,9.656
80,0.378,1.767,0.352,10.261
81,0.382,1.741,0.374,9.912
82,0.396,1.743,0.354,10.26
83,0.4,1.71,0.381,9.778
84,0.396,1.714,0.367,9.947
85,0.4,1.72,0.403,9.504
86,0.396,1.715,0.367,9.967
87,0.39,1.704,0.363,10.083
88,0.394,1.711,0.375,9.854
89,0.385,1.748,0.378,9.795
90,0.404,1.688,0.37,9.894
91,0.403,1.709,0.38,9.755
92,0.417,1.681,0.39,9.661
93,0.406,1.706,0.382,9.753
94,0.4,1.706,0.356,10.242
95,0.421,1.676,0.409,9.353
96,0.411,1.694,0.357,10.118
97,0.414,1.659,0.382,9.689
98,0.41,1.676,0.397,9.528
99,0.419,1.664,0.384,9.758
100,0.444,1.626,0.398,9.554
101,0.421,1.631,0.402,9.46
102,0.431,1.649,0.388,9.668
103,0.415,1.661,0.396,9.545
104,0.416,1.64,0.385,9.63
105,0.438,1.622,0.406,9.381
106,0.423,1.639,0.414,9.304
107,0.439,1.603,0.363,10.044
108,0.44,1.607,0.395,9.454
109,0.45,1.58,0.396,9.575
110,0.436,1.6,0.399,9.555
111,0.431,1.598,0.41,9.341
112,0.434,1.621,0.392,9.633
113,0.447,1.578,0.418,9.18
114,0.443,1.599,0.424,9.065
115,0.462,1.566,0.391,9.603
116,0.446,1.582,0.407,9.381
117,0.449,1.567,0.383,9.748
118,0.444,1.572,0.414,9.272
119,0.446,1.581,0.376,9.886
