,acc,loss,val_acc,val_loss
0,0.114,2.306,0.112,13.855
1,0.142,2.284,0.109,14.124
2,0.165,2.266,0.105,14.206
3,0.178,2.252,0.124,13.856
4,0.174,2.231,0.12,13.918
5,0.194,2.214,0.125,13.864
6,0.204,2.173,0.123,13.999
7,0.202,2.169,0.126,13.993
8,0.227,2.138,0.154,13.382
9,0.225,2.125,0.137,13.709
10,0.237,2.109,0.149,13.494
11,0.236,2.098,0.135,13.849
12,0.238,2.084,0.126,13.937
13,0.25,2.07,0.142,13.74
14,0.257,2.047,0.16,13.403
15,0.251,2.049,0.19,12.929
16,0.259,2.052,0.141,13.697
17,0.261,2.044,0.197,12.829
18,0.264,2.039,0.16,13.369
19,0.277,2.031,0.169,13.335
20,0.275,2.008,0.164,13.397
21,0.278,2.007,0.177,13.083
22,0.284,1.976,0.173,13.258
23,0.286,1.99,0.22,12.467
24,0.288,1.986,0.208,12.618
25,0.29,1.968,0.226,12.321
26,0.297,1.959,0.211,12.501
27,0.292,1.987,0.194,12.773
28,0.291,1.956,0.231,12.213
29,0.308,1.942,0.171,13.275
30,0.299,1.952,0.17,13.336
31,0.297,1.959,0.19,12.942
32,0.302,1.95,0.243,12.084
33,0.309,1.927,0.179,13.068
34,0.308,1.932,0.245,11.914
35,0.324,1.899,0.246,11.915
36,0.303,1.937,0.182,12.962
37,0.32,1.905,0.18,13.094
38,0.32,1.914,0.198,12.759
39,0.319,1.891,0.191,12.894
40,0.312,1.911,0.207,12.658
41,0.32,1.902,0.208,12.611
42,0.32,1.895,0.214,12.49
43,0.326,1.883,0.242,12.087
44,0.333,1.853,0.258,11.751
45,0.342,1.848,0.229,12.242
46,0.331,1.874,0.203,12.742
47,0.341,1.847,0.204,12.779
48,0.333,1.872,0.244,12.07
49,0.346,1.817,0.241,12.127
50,0.36,1.81,0.209,12.664
51,0.365,1.798,0.235,12.209
52,0.36,1.799,0.257,11.808
53,0.328,1.847,0.236,12.216
54,0.352,1.814,0.239,12.135
55,0.346,1.823,0.239,12.153
56,0.359,1.811,0.261,11.792
57,0.363,1.792,0.264,11.747
58,0.362,1.78,0.232,12.259
59,0.352,1.807,0.224,12.416
60,0.353,1.798,0.239,12.165
61,0.37,1.767,0.239,12.209
62,0.391,1.728,0.225,12.407
63,0.37,1.759,0.248,12.016
64,0.388,1.737,0.235,12.224
65,0.38,1.759,0.249,12.008
66,0.372,1.747,0.243,12.097
67,0.376,1.754,0.249,12.041
68,0.366,1.767,0.254,11.952
69,0.374,1.747,0.25,11.976
70,0.401,1.71,0.273,11.583
71,0.381,1.729,0.29,11.341
72,0.376,1.755,0.215,12.515
73,0.373,1.752,0.244,12.098
74,0.384,1.713,0.273,11.634
75,0.398,1.687,0.285,11.454
76,0.375,1.743,0.283,11.529
77,0.386,1.73,0.279,11.543
78,0.391,1.698,0.263,11.745
79,0.384,1.708,0.275,11.548
80,0.394,1.688,0.283,11.387
81,0.384,1.715,0.274,11.582
82,0.392,1.691,0.307,11.085
83,0.404,1.678,0.305,11.093
84,0.399,1.686,0.266,11.768
85,0.388,1.703,0.289,11.347
86,0.404,1.705,0.272,11.61
87,0.415,1.67,0.273,11.598
88,0.395,1.684,0.252,11.959
89,0.421,1.651,0.269,11.691
90,0.376,1.706,0.257,11.881
91,0.409,1.67,0.288,11.378
92,0.393,1.689,0.292,11.279
93,0.407,1.658,0.27,11.653
94,0.405,1.658,0.276,11.558
95,0.407,1.66,0.288,11.351
96,0.42,1.621,0.301,11.185
97,0.425,1.603,0.288,11.408
98,0.409,1.643,0.276,11.625
99,0.422,1.621,0.288,11.392
100,0.434,1.586,0.286,11.421
101,0.424,1.615,0.265,11.746
102,0.41,1.626,0.273,11.645
103,0.416,1.613,0.292,11.363
104,0.451,1.548,0.281,11.484
105,0.421,1.641,0.314,11.0
106,0.433,1.588,0.288,11.353
107,0.425,1.604,0.278,11.557
108,0.426,1.616,0.282,11.496
109,0.425,1.607,0.301,11.207
110,0.453,1.539,0.272,11.645
111,0.452,1.567,0.284,11.463
112,0.463,1.509,0.284,11.448
113,0.446,1.54,0.297,11.255
114,0.449,1.542,0.252,11.99
115,0.459,1.512,0.279,11.552
116,0.453,1.555,0.29,11.335
117,0.458,1.525,0.277,11.506
118,0.442,1.568,0.286,11.393
119,0.443,1.558,0.28,11.516
