,acc,loss,val_acc,val_loss
0,0.113,2.305,0.103,14.135
1,0.118,2.291,0.102,14.321
2,0.122,2.29,0.105,14.088
3,0.131,2.279,0.123,13.712
4,0.153,2.27,0.129,13.626
5,0.152,2.261,0.141,13.47
6,0.163,2.255,0.149,13.174
7,0.16,2.264,0.148,13.411
8,0.179,2.244,0.168,12.95
9,0.192,2.224,0.163,12.981
10,0.202,2.211,0.152,13.337
11,0.193,2.216,0.156,13.189
12,0.198,2.196,0.145,13.531
13,0.219,2.172,0.161,13.386
14,0.205,2.186,0.174,13.084
15,0.231,2.148,0.164,13.149
16,0.206,2.184,0.206,12.443
17,0.221,2.164,0.177,13.117
18,0.221,2.153,0.167,13.272
19,0.25,2.12,0.158,13.429
20,0.232,2.136,0.177,13.087
21,0.226,2.187,0.199,12.546
22,0.234,2.121,0.171,13.176
23,0.233,2.145,0.157,13.487
24,0.241,2.112,0.211,12.502
25,0.247,2.106,0.165,13.281
26,0.245,2.125,0.236,11.99
27,0.245,2.12,0.179,13.022
28,0.245,2.135,0.207,12.481
29,0.266,2.073,0.217,12.307
30,0.261,2.086,0.189,12.86
31,0.249,2.101,0.189,12.88
32,0.27,2.071,0.235,12.102
33,0.254,2.093,0.206,12.581
34,0.267,2.086,0.191,12.835
35,0.262,2.093,0.21,12.468
36,0.264,2.09,0.25,11.815
37,0.272,2.061,0.218,12.317
38,0.272,2.038,0.224,12.335
39,0.275,2.053,0.229,12.147
40,0.27,2.063,0.212,12.556
41,0.276,2.069,0.215,12.373
42,0.277,2.022,0.21,12.513
43,0.288,2.014,0.255,11.843
44,0.274,2.06,0.227,12.131
45,0.29,2.026,0.244,11.978
46,0.284,2.03,0.271,11.396
47,0.259,2.075,0.26,11.618
48,0.3,2.0,0.221,12.379
49,0.288,2.005,0.226,12.392
50,0.286,2.03,0.246,11.945
51,0.309,1.985,0.243,11.951
52,0.296,2.007,0.277,11.379
53,0.315,1.935,0.215,12.426
54,0.299,1.986,0.257,11.672
55,0.31,1.981,0.255,11.761
56,0.312,1.979,0.268,11.542
57,0.308,1.977,0.294,11.228
58,0.285,2.001,0.252,11.82
59,0.327,1.932,0.291,11.196
60,0.319,1.953,0.229,12.233
61,0.312,1.951,0.271,11.497
62,0.299,1.995,0.287,11.267
63,0.318,1.961,0.313,10.808
64,0.317,1.935,0.298,11.146
65,0.331,1.901,0.272,11.54
66,0.315,1.972,0.264,11.601
67,0.318,1.952,0.301,11.083
68,0.32,1.939,0.311,10.82
69,0.319,1.92,0.271,11.523
70,0.333,1.894,0.303,10.949
71,0.33,1.9,0.28,11.474
72,0.325,1.907,0.274,11.453
73,0.335,1.891,0.308,10.937
74,0.327,1.938,0.299,11.07
75,0.341,1.886,0.271,11.662
76,0.348,1.878,0.268,11.622
77,0.351,1.866,0.304,11.037
78,0.349,1.881,0.311,10.938
79,0.342,1.883,0.307,11.0
80,0.321,1.931,0.3,11.083
81,0.32,1.908,0.294,11.14
82,0.326,1.895,0.31,10.889
83,0.345,1.857,0.285,11.366
84,0.336,1.897,0.308,10.904
85,0.339,1.887,0.298,11.131
86,0.345,1.857,0.309,10.978
87,0.32,1.923,0.329,10.617
88,0.365,1.823,0.316,10.775
89,0.37,1.827,0.308,11.01
90,0.369,1.779,0.299,11.076
91,0.353,1.816,0.313,10.906
92,0.357,1.848,0.327,10.633
93,0.351,1.85,0.332,10.583
94,0.367,1.791,0.303,11.054
95,0.355,1.828,0.327,10.651
96,0.366,1.788,0.318,10.843
97,0.366,1.79,0.352,10.268
98,0.381,1.786,0.305,10.981
99,0.387,1.762,0.331,10.543
100,0.364,1.801,0.331,10.623
101,0.392,1.738,0.341,10.443
102,0.366,1.8,0.308,10.977
103,0.365,1.814,0.319,10.767
104,0.378,1.807,0.35,10.311
105,0.383,1.776,0.328,10.664
106,0.377,1.78,0.326,10.589
107,0.397,1.707,0.342,10.409
108,0.396,1.721,0.364,10.082
109,0.384,1.737,0.343,10.426
110,0.381,1.751,0.34,10.459
111,0.414,1.684,0.343,10.423
112,0.403,1.733,0.351,10.222
113,0.375,1.771,0.362,10.052
114,0.382,1.789,0.363,9.994
115,0.389,1.739,0.376,9.799
116,0.367,1.799,0.379,9.675
117,0.387,1.742,0.373,9.889
118,0.402,1.717,0.349,10.236
119,0.403,1.699,0.369,10.01
