,acc,loss,val_acc,val_loss
0,0.1,2.308,0.124,13.54
1,0.121,2.292,0.138,13.143
2,0.128,2.289,0.139,13.29
3,0.148,2.272,0.144,13.459
4,0.146,2.273,0.139,13.615
5,0.159,2.254,0.167,13.091
6,0.152,2.261,0.184,12.959
7,0.182,2.226,0.144,13.66
8,0.17,2.234,0.167,13.171
9,0.166,2.229,0.169,13.059
10,0.193,2.19,0.163,13.322
11,0.189,2.193,0.149,13.628
12,0.198,2.181,0.161,13.246
13,0.196,2.2,0.155,13.496
14,0.203,2.171,0.162,13.286
15,0.211,2.154,0.18,13.007
16,0.216,2.165,0.181,13.056
17,0.21,2.169,0.202,12.701
18,0.237,2.131,0.192,12.758
19,0.231,2.125,0.193,12.83
20,0.24,2.138,0.187,12.915
21,0.246,2.12,0.169,13.25
22,0.232,2.145,0.198,12.747
23,0.235,2.115,0.222,12.253
24,0.233,2.121,0.21,12.5
25,0.248,2.084,0.22,12.242
26,0.248,2.101,0.18,13.044
27,0.253,2.097,0.216,12.284
28,0.267,2.053,0.204,12.57
29,0.242,2.114,0.186,12.967
30,0.257,2.1,0.22,12.362
31,0.253,2.094,0.206,12.63
32,0.268,2.075,0.222,12.358
33,0.276,2.037,0.198,12.791
34,0.26,2.083,0.224,12.284
35,0.267,2.066,0.215,12.449
36,0.272,2.057,0.263,11.601
37,0.291,2.015,0.265,11.59
38,0.275,2.047,0.227,12.203
39,0.284,2.036,0.29,11.157
40,0.288,2.009,0.25,11.85
41,0.28,2.017,0.24,11.997
42,0.281,2.012,0.265,11.633
43,0.288,2.014,0.215,12.528
44,0.286,2.004,0.205,12.656
45,0.289,2.014,0.268,11.626
46,0.304,1.984,0.224,12.326
47,0.296,1.992,0.256,11.714
48,0.275,2.026,0.279,11.503
49,0.309,1.952,0.238,12.09
50,0.274,2.036,0.251,11.871
51,0.282,2.016,0.279,11.368
52,0.316,1.935,0.237,12.124
53,0.293,1.955,0.24,12.007
54,0.288,2.01,0.289,11.225
55,0.302,1.972,0.26,11.821
56,0.309,1.972,0.293,11.176
57,0.319,1.931,0.281,11.405
58,0.314,1.934,0.302,11.069
59,0.312,1.943,0.287,11.262
60,0.313,1.928,0.296,11.098
61,0.319,1.933,0.32,10.789
62,0.319,1.924,0.273,11.537
63,0.342,1.893,0.281,11.37
64,0.323,1.908,0.294,11.176
65,0.306,1.957,0.331,10.671
66,0.332,1.887,0.242,12.08
67,0.334,1.901,0.31,10.937
68,0.315,1.911,0.34,10.409
69,0.339,1.874,0.32,10.795
70,0.331,1.892,0.337,10.437
71,0.351,1.855,0.33,10.571
72,0.329,1.899,0.294,11.175
73,0.331,1.877,0.272,11.539
74,0.352,1.833,0.306,11.006
75,0.34,1.866,0.333,10.622
76,0.349,1.849,0.328,10.657
77,0.357,1.841,0.337,10.525
78,0.347,1.875,0.318,10.808
79,0.37,1.799,0.329,10.673
80,0.343,1.861,0.311,10.881
81,0.371,1.781,0.356,10.226
82,0.351,1.827,0.307,10.967
83,0.349,1.836,0.347,10.415
84,0.37,1.829,0.368,10.073
85,0.366,1.813,0.379,9.839
86,0.373,1.778,0.331,10.657
87,0.369,1.784,0.379,9.748
88,0.351,1.839,0.352,10.224
89,0.359,1.802,0.338,10.519
90,0.366,1.777,0.326,10.642
91,0.399,1.743,0.359,10.111
92,0.379,1.78,0.359,10.091
93,0.377,1.756,0.345,10.344
94,0.364,1.803,0.343,10.434
95,0.39,1.705,0.39,9.616
96,0.393,1.726,0.394,9.507
97,0.375,1.765,0.362,10.07
98,0.387,1.726,0.395,9.631
99,0.397,1.689,0.366,10.018
100,0.398,1.729,0.364,10.044
101,0.389,1.749,0.376,9.905
102,0.389,1.729,0.376,9.936
103,0.383,1.721,0.361,10.15
104,0.396,1.713,0.371,9.947
105,0.406,1.7,0.376,9.927
106,0.422,1.659,0.374,9.963
107,0.414,1.69,0.359,10.251
108,0.405,1.694,0.359,10.12
109,0.422,1.649,0.371,9.978
110,0.399,1.68,0.382,9.771
111,0.42,1.623,0.369,9.988
112,0.412,1.676,0.375,9.932
113,0.41,1.689,0.394,9.519
114,0.405,1.687,0.399,9.604
115,0.413,1.653,0.41,9.279
116,0.426,1.671,0.404,9.473
117,0.439,1.589,0.379,9.863
118,0.407,1.69,0.395,9.6
119,0.427,1.633,0.392,9.63
