,acc,loss,val_acc,val_loss
0,0.1,2.304,0.116,13.646
1,0.14,2.288,0.122,13.692
2,0.143,2.281,0.123,13.879
3,0.161,2.263,0.128,13.854
4,0.163,2.238,0.128,13.855
5,0.177,2.231,0.133,13.72
6,0.191,2.195,0.195,12.592
7,0.19,2.177,0.144,13.617
8,0.212,2.157,0.169,13.086
9,0.184,2.169,0.141,13.688
10,0.204,2.155,0.193,12.492
11,0.221,2.138,0.175,12.998
12,0.231,2.105,0.183,12.824
13,0.224,2.116,0.215,12.373
14,0.242,2.095,0.175,13.038
15,0.242,2.086,0.195,12.738
16,0.256,2.045,0.217,12.24
17,0.27,2.03,0.219,12.323
18,0.279,2.01,0.214,12.419
19,0.275,2.045,0.21,12.537
20,0.294,1.996,0.208,12.619
21,0.276,2.02,0.243,12.037
22,0.273,2.024,0.246,11.865
23,0.295,1.971,0.238,12.095
24,0.281,2.012,0.256,11.806
25,0.295,1.965,0.255,11.82
26,0.314,1.948,0.214,12.528
27,0.302,1.955,0.242,11.961
28,0.309,1.953,0.257,11.71
29,0.332,1.907,0.231,12.213
30,0.292,1.966,0.242,11.951
31,0.339,1.863,0.24,12.053
32,0.306,1.963,0.263,11.661
33,0.307,1.934,0.246,12.01
34,0.317,1.931,0.25,11.885
35,0.325,1.884,0.251,11.859
36,0.312,1.931,0.282,11.353
37,0.317,1.914,0.26,11.679
38,0.33,1.872,0.275,11.518
39,0.34,1.853,0.276,11.46
40,0.338,1.842,0.284,11.341
41,0.337,1.88,0.258,11.714
42,0.314,1.916,0.279,11.449
43,0.314,1.917,0.266,11.637
44,0.338,1.877,0.296,11.146
45,0.346,1.834,0.271,11.678
46,0.336,1.851,0.284,11.306
47,0.346,1.841,0.282,11.413
48,0.346,1.831,0.322,10.706
49,0.346,1.828,0.267,11.698
50,0.337,1.863,0.281,11.454
51,0.347,1.826,0.297,11.17
52,0.355,1.824,0.317,10.912
53,0.38,1.762,0.318,10.854
54,0.377,1.77,0.34,10.492
55,0.361,1.811,0.301,11.148
56,0.34,1.832,0.299,11.12
57,0.373,1.775,0.29,11.284
58,0.389,1.706,0.309,10.946
59,0.351,1.847,0.317,10.852
60,0.361,1.781,0.336,10.533
61,0.397,1.711,0.337,10.577
62,0.387,1.746,0.325,10.648
63,0.401,1.704,0.344,10.317
64,0.371,1.775,0.29,11.326
65,0.41,1.675,0.339,10.528
66,0.415,1.661,0.328,10.65
67,0.362,1.793,0.333,10.573
68,0.385,1.73,0.36,10.119
69,0.379,1.742,0.339,10.448
70,0.417,1.662,0.32,10.756
71,0.403,1.696,0.316,10.799
72,0.35,1.811,0.338,10.505
73,0.403,1.673,0.357,10.221
74,0.402,1.707,0.354,10.239
75,0.407,1.706,0.363,10.029
76,0.417,1.666,0.334,10.535
77,0.39,1.711,0.351,10.278
78,0.411,1.689,0.355,10.248
79,0.423,1.629,0.375,9.863
80,0.431,1.604,0.334,10.482
81,0.414,1.654,0.333,10.608
82,0.434,1.604,0.33,10.595
83,0.411,1.652,0.336,10.557
84,0.427,1.634,0.341,10.408
85,0.406,1.695,0.337,10.569
86,0.441,1.584,0.356,10.23
87,0.417,1.637,0.345,10.407
88,0.405,1.674,0.359,10.195
89,0.419,1.648,0.364,10.036
90,0.446,1.586,0.371,10.047
91,0.428,1.605,0.385,9.751
92,0.441,1.604,0.371,9.989
93,0.443,1.565,0.38,9.829
94,0.44,1.597,0.36,10.116
95,0.412,1.684,0.398,9.554
96,0.435,1.607,0.378,9.792
97,0.47,1.536,0.359,10.172
98,0.436,1.59,0.375,9.899
99,0.476,1.483,0.387,9.745
100,0.436,1.579,0.337,10.51
101,0.466,1.515,0.374,9.973
102,0.467,1.501,0.362,10.133
103,0.462,1.532,0.325,10.751
104,0.443,1.574,0.395,9.581
105,0.453,1.547,0.352,10.28
106,0.438,1.576,0.393,9.616
107,0.463,1.522,0.38,9.88
108,0.492,1.482,0.403,9.469
109,0.459,1.547,0.383,9.873
110,0.451,1.544,0.391,9.603
111,0.484,1.477,0.385,9.732
112,0.476,1.5,0.383,9.772
113,0.464,1.512,0.356,10.205
114,0.461,1.539,0.38,9.796
115,0.475,1.506,0.368,10.104
116,0.492,1.458,0.38,9.866
117,0.472,1.493,0.392,9.706
118,0.438,1.592,0.396,9.577
119,0.454,1.546,0.382,9.761
