,acc,loss,val_acc,val_loss
0,0.112,2.304,0.116,13.366
1,0.128,2.294,0.103,14.145
2,0.137,2.28,0.117,13.984
3,0.156,2.269,0.128,13.672
4,0.17,2.256,0.131,13.575
5,0.19,2.227,0.137,13.607
6,0.194,2.215,0.148,13.404
7,0.186,2.226,0.146,13.636
8,0.213,2.204,0.142,13.738
9,0.223,2.159,0.18,13.008
10,0.203,2.218,0.145,13.463
11,0.219,2.175,0.179,12.868
12,0.223,2.165,0.158,13.314
13,0.238,2.145,0.214,12.313
14,0.234,2.15,0.154,13.312
15,0.249,2.108,0.208,12.468
16,0.244,2.115,0.206,12.376
17,0.264,2.101,0.196,12.651
18,0.275,2.091,0.214,12.417
19,0.274,2.061,0.176,13.044
20,0.271,2.072,0.215,12.449
21,0.277,2.084,0.222,12.216
22,0.271,2.059,0.201,12.65
23,0.293,2.014,0.213,12.396
24,0.274,2.062,0.22,12.301
25,0.287,2.029,0.203,12.602
26,0.296,2.01,0.243,11.927
27,0.296,2.018,0.206,12.575
28,0.291,2.014,0.236,12.009
29,0.281,2.07,0.204,12.648
30,0.299,2.001,0.23,12.133
31,0.311,1.964,0.215,12.421
32,0.294,2.027,0.248,11.867
33,0.303,2.016,0.235,12.086
34,0.301,1.984,0.242,11.982
35,0.299,2.02,0.247,11.89
36,0.311,1.988,0.269,11.475
37,0.313,1.976,0.258,11.658
38,0.32,1.962,0.252,11.817
39,0.321,1.931,0.248,11.932
40,0.313,1.962,0.241,12.028
41,0.321,1.95,0.237,11.969
42,0.338,1.926,0.276,11.396
43,0.332,1.92,0.256,11.873
44,0.354,1.853,0.237,12.118
45,0.335,1.918,0.247,11.938
46,0.346,1.888,0.304,11.041
47,0.311,1.969,0.252,11.848
48,0.353,1.858,0.259,11.73
49,0.316,1.971,0.282,11.393
50,0.338,1.903,0.259,11.681
51,0.368,1.831,0.262,11.681
52,0.332,1.922,0.304,11.018
53,0.362,1.86,0.276,11.435
54,0.357,1.873,0.295,11.198
55,0.354,1.843,0.306,10.917
56,0.372,1.815,0.287,11.255
57,0.331,1.894,0.317,10.809
58,0.361,1.834,0.276,11.557
59,0.352,1.85,0.302,10.924
60,0.376,1.806,0.284,11.373
61,0.353,1.876,0.319,10.799
62,0.381,1.784,0.316,10.857
63,0.367,1.814,0.309,10.885
64,0.383,1.769,0.286,11.317
65,0.378,1.792,0.326,10.612
66,0.371,1.833,0.311,10.883
67,0.387,1.749,0.311,10.828
68,0.392,1.751,0.304,11.052
69,0.393,1.75,0.323,10.725
70,0.392,1.753,0.337,10.453
71,0.353,1.859,0.307,10.929
72,0.401,1.751,0.333,10.463
73,0.404,1.73,0.319,10.817
74,0.414,1.703,0.37,9.898
75,0.4,1.738,0.322,10.702
76,0.402,1.711,0.333,10.551
77,0.412,1.696,0.374,9.885
78,0.398,1.74,0.337,10.491
79,0.403,1.706,0.316,10.804
80,0.39,1.773,0.344,10.333
81,0.407,1.698,0.342,10.443
82,0.402,1.707,0.35,10.297
83,0.421,1.679,0.358,10.241
84,0.387,1.755,0.353,10.22
85,0.403,1.732,0.358,10.158
86,0.434,1.637,0.338,10.363
87,0.45,1.604,0.361,10.076
88,0.422,1.664,0.387,9.788
89,0.445,1.628,0.346,10.404
90,0.435,1.657,0.356,10.253
91,0.418,1.681,0.384,9.775
92,0.427,1.658,0.368,9.994
93,0.439,1.614,0.368,10.043
94,0.429,1.628,0.35,10.366
95,0.413,1.687,0.375,9.864
96,0.433,1.62,0.348,10.232
97,0.444,1.595,0.346,10.399
98,0.45,1.576,0.355,10.29
99,0.433,1.651,0.39,9.655
100,0.428,1.649,0.362,10.127
101,0.464,1.556,0.372,10.003
102,0.446,1.588,0.371,9.942
103,0.45,1.598,0.386,9.786
104,0.435,1.654,0.373,9.955
105,0.465,1.571,0.363,9.959
106,0.469,1.549,0.365,10.084
107,0.46,1.548,0.365,10.118
108,0.432,1.621,0.384,9.707
109,0.458,1.578,0.388,9.689
110,0.453,1.593,0.393,9.576
111,0.447,1.58,0.358,10.206
112,0.451,1.584,0.381,9.833
113,0.446,1.575,0.377,9.844
114,0.463,1.554,0.378,9.789
115,0.447,1.615,0.373,9.838
116,0.46,1.577,0.389,9.678
117,0.46,1.57,0.403,9.377
118,0.473,1.503,0.404,9.37
119,0.463,1.543,0.395,9.596
