,acc,loss,val_acc,val_loss
0,0.114,2.301,0.118,12.603
1,0.124,2.294,0.152,12.057
2,0.142,2.286,0.157,12.68
3,0.15,2.277,0.166,12.719
4,0.153,2.274,0.147,13.138
5,0.158,2.26,0.171,12.697
6,0.166,2.253,0.148,13.325
7,0.184,2.231,0.189,12.659
8,0.18,2.223,0.183,12.625
9,0.198,2.206,0.157,13.311
10,0.205,2.193,0.168,12.939
11,0.218,2.184,0.162,13.269
12,0.221,2.164,0.175,13.011
13,0.209,2.192,0.18,12.907
14,0.216,2.18,0.187,12.787
15,0.227,2.153,0.183,12.77
16,0.224,2.154,0.197,12.726
17,0.238,2.146,0.174,13.085
18,0.241,2.124,0.176,12.981
19,0.252,2.106,0.186,12.819
20,0.244,2.117,0.188,12.8
21,0.253,2.127,0.189,12.897
22,0.26,2.081,0.21,12.431
23,0.262,2.094,0.218,12.411
24,0.278,2.05,0.237,12.001
25,0.26,2.089,0.235,12.089
26,0.269,2.075,0.164,13.411
27,0.268,2.055,0.247,11.936
28,0.283,2.034,0.225,12.327
29,0.303,1.987,0.235,12.154
30,0.289,2.028,0.233,12.089
31,0.309,1.996,0.237,12.053
32,0.308,1.983,0.202,12.664
33,0.293,2.024,0.236,12.108
34,0.306,1.988,0.24,12.059
35,0.318,1.946,0.216,12.524
36,0.323,1.95,0.239,12.151
37,0.312,1.966,0.244,11.902
38,0.33,1.911,0.254,11.776
39,0.307,1.992,0.264,11.655
40,0.319,1.93,0.26,11.73
41,0.311,1.963,0.258,11.691
42,0.319,1.946,0.273,11.517
43,0.319,1.935,0.249,11.851
44,0.329,1.925,0.288,11.23
45,0.327,1.915,0.291,11.159
46,0.327,1.911,0.268,11.55
47,0.334,1.9,0.315,10.876
48,0.345,1.867,0.298,11.199
49,0.348,1.853,0.291,11.201
50,0.362,1.809,0.32,10.773
51,0.335,1.89,0.292,11.246
52,0.346,1.87,0.297,11.081
53,0.353,1.831,0.378,9.736
54,0.367,1.811,0.315,10.891
55,0.363,1.813,0.324,10.665
56,0.379,1.775,0.322,10.737
57,0.368,1.797,0.353,10.222
58,0.373,1.787,0.327,10.645
59,0.347,1.851,0.359,10.127
60,0.365,1.805,0.326,10.717
61,0.371,1.787,0.339,10.477
62,0.383,1.762,0.326,10.657
63,0.374,1.779,0.315,10.874
64,0.383,1.757,0.366,10.008
65,0.383,1.753,0.338,10.512
66,0.386,1.735,0.33,10.628
67,0.379,1.761,0.371,9.993
68,0.387,1.763,0.361,10.122
69,0.391,1.745,0.379,9.838
70,0.38,1.734,0.343,10.384
71,0.397,1.707,0.328,10.692
72,0.398,1.697,0.334,10.565
73,0.384,1.745,0.366,10.016
74,0.411,1.693,0.34,10.411
75,0.412,1.674,0.344,10.428
76,0.412,1.669,0.361,10.137
77,0.395,1.702,0.33,10.641
78,0.421,1.631,0.313,10.926
79,0.413,1.664,0.361,10.108
80,0.428,1.635,0.35,10.34
81,0.422,1.664,0.351,10.298
82,0.433,1.623,0.358,10.183
83,0.419,1.657,0.371,9.962
84,0.431,1.655,0.368,10.014
85,0.426,1.624,0.365,10.058
86,0.424,1.625,0.386,9.703
87,0.457,1.574,0.362,10.135
88,0.432,1.608,0.332,10.626
89,0.432,1.636,0.368,10.059
90,0.418,1.657,0.371,9.94
91,0.429,1.628,0.396,9.612
92,0.447,1.588,0.359,10.113
93,0.452,1.588,0.379,9.882
94,0.438,1.613,0.383,9.667
95,0.421,1.635,0.355,10.252
96,0.443,1.624,0.402,9.417
97,0.443,1.583,0.406,9.406
98,0.458,1.541,0.397,9.581
99,0.458,1.559,0.39,9.677
100,0.462,1.534,0.381,9.836
101,0.438,1.609,0.377,9.931
102,0.457,1.533,0.354,10.305
103,0.459,1.561,0.389,9.668
104,0.457,1.569,0.379,9.863
105,0.45,1.557,0.387,9.777
106,0.454,1.531,0.385,9.753
107,0.467,1.519,0.385,9.767
108,0.479,1.471,0.379,9.837
109,0.463,1.516,0.375,9.914
110,0.45,1.563,0.366,10.097
111,0.483,1.476,0.397,9.478
112,0.484,1.484,0.38,9.737
113,0.463,1.504,0.385,9.783
114,0.499,1.446,0.37,9.976
115,0.483,1.482,0.397,9.56
116,0.489,1.467,0.35,10.349
117,0.465,1.512,0.408,9.352
118,0.481,1.491,0.421,9.186
119,0.496,1.425,0.387,9.682
