,acc,loss,val_acc,val_loss
0,0.114,2.309,0.123,13.904
1,0.138,2.285,0.153,13.209
2,0.159,2.273,0.189,12.495
3,0.161,2.263,0.166,12.825
4,0.162,2.255,0.18,12.64
5,0.173,2.238,0.253,11.573
6,0.19,2.218,0.215,12.268
7,0.192,2.2,0.219,12.319
8,0.212,2.195,0.245,11.74
9,0.196,2.209,0.222,12.144
10,0.221,2.165,0.236,12.002
11,0.223,2.148,0.202,12.687
12,0.224,2.14,0.223,12.27
13,0.213,2.166,0.222,12.314
14,0.232,2.121,0.261,11.684
15,0.235,2.123,0.272,11.353
16,0.231,2.126,0.209,12.432
17,0.245,2.13,0.225,12.259
18,0.26,2.088,0.22,12.395
19,0.253,2.089,0.242,11.889
20,0.253,2.09,0.237,12.228
21,0.251,2.084,0.223,12.244
22,0.259,2.092,0.264,11.583
23,0.255,2.096,0.3,11.002
24,0.271,2.073,0.269,11.56
25,0.266,2.073,0.276,11.332
26,0.272,2.091,0.273,11.449
27,0.268,2.071,0.262,11.605
28,0.286,2.04,0.252,11.849
29,0.307,1.978,0.275,11.427
30,0.309,1.998,0.244,11.982
31,0.302,1.98,0.265,11.696
32,0.296,2.014,0.281,11.278
33,0.297,2.008,0.251,11.898
34,0.302,2.003,0.289,11.227
35,0.311,1.997,0.307,10.992
36,0.298,1.991,0.262,11.615
37,0.298,1.992,0.303,11.063
38,0.317,1.952,0.261,11.742
39,0.304,1.958,0.268,11.642
40,0.304,1.959,0.235,12.141
41,0.301,1.973,0.288,11.281
42,0.304,1.972,0.264,11.729
43,0.319,1.918,0.282,11.378
44,0.323,1.946,0.297,11.133
45,0.319,1.925,0.296,11.153
46,0.322,1.918,0.277,11.387
47,0.324,1.919,0.295,11.155
48,0.303,1.971,0.314,10.876
49,0.329,1.916,0.348,10.288
50,0.341,1.883,0.35,10.253
51,0.335,1.896,0.328,10.531
52,0.339,1.875,0.333,10.49
53,0.35,1.882,0.358,10.108
54,0.345,1.859,0.355,10.21
55,0.329,1.908,0.304,10.986
56,0.349,1.883,0.33,10.472
57,0.336,1.874,0.324,10.631
58,0.358,1.835,0.322,10.699
59,0.357,1.829,0.351,10.234
60,0.356,1.84,0.31,10.899
61,0.356,1.849,0.366,10.028
62,0.382,1.784,0.358,10.066
63,0.36,1.832,0.349,10.276
64,0.365,1.829,0.351,10.168
65,0.368,1.798,0.338,10.55
66,0.369,1.8,0.374,9.886
67,0.377,1.782,0.352,10.227
68,0.38,1.782,0.349,10.354
69,0.369,1.776,0.342,10.429
70,0.374,1.773,0.375,9.929
71,0.392,1.779,0.364,10.04
72,0.408,1.713,0.38,9.769
73,0.379,1.758,0.384,9.757
74,0.403,1.723,0.379,9.798
75,0.385,1.731,0.364,10.055
76,0.395,1.727,0.366,10.017
77,0.396,1.732,0.371,9.927
78,0.367,1.778,0.384,9.718
79,0.384,1.733,0.383,9.731
80,0.403,1.71,0.386,9.686
81,0.406,1.694,0.388,9.638
82,0.421,1.656,0.393,9.575
83,0.388,1.765,0.353,10.191
84,0.412,1.698,0.384,9.8
85,0.419,1.656,0.391,9.641
86,0.398,1.732,0.387,9.761
87,0.414,1.687,0.397,9.508
88,0.413,1.671,0.396,9.566
89,0.42,1.674,0.361,10.138
90,0.435,1.62,0.396,9.551
91,0.425,1.666,0.408,9.33
92,0.419,1.666,0.413,9.274
93,0.442,1.599,0.401,9.434
94,0.42,1.669,0.407,9.425
95,0.435,1.603,0.414,9.311
96,0.451,1.592,0.407,9.428
97,0.438,1.581,0.416,9.299
98,0.437,1.617,0.417,9.191
99,0.436,1.629,0.421,9.158
100,0.446,1.606,0.438,8.851
101,0.434,1.591,0.431,8.975
102,0.471,1.534,0.405,9.4
103,0.439,1.612,0.419,9.135
104,0.443,1.571,0.428,9.072
105,0.442,1.578,0.426,9.138
106,0.449,1.569,0.371,9.979
107,0.466,1.535,0.412,9.34
108,0.453,1.593,0.431,9.001
109,0.468,1.559,0.437,8.922
110,0.48,1.52,0.43,9.002
111,0.454,1.528,0.435,8.876
112,0.46,1.567,0.433,8.915
113,0.463,1.532,0.438,8.87
114,0.464,1.529,0.437,8.977
115,0.456,1.543,0.434,8.953
116,0.462,1.568,0.439,8.868
117,0.455,1.549,0.409,9.35
118,0.484,1.499,0.434,8.973
119,0.475,1.521,0.453,8.657
