,acc,loss,val_acc,val_loss
0,0.093,2.31,0.117,13.495
1,0.12,2.298,0.107,14.29
2,0.131,2.289,0.118,14.01
3,0.136,2.288,0.126,13.808
4,0.142,2.281,0.135,13.687
5,0.144,2.275,0.147,13.566
6,0.157,2.268,0.173,13.075
7,0.159,2.253,0.158,13.312
8,0.157,2.249,0.172,13.079
9,0.169,2.232,0.173,13.14
10,0.181,2.215,0.18,12.709
11,0.193,2.21,0.181,12.837
12,0.189,2.2,0.151,13.452
13,0.199,2.172,0.178,12.965
14,0.192,2.176,0.185,12.974
15,0.215,2.139,0.166,13.264
16,0.199,2.157,0.192,12.727
17,0.211,2.143,0.204,12.587
18,0.202,2.131,0.217,12.405
19,0.212,2.139,0.189,12.805
20,0.211,2.143,0.169,13.192
21,0.208,2.153,0.224,12.277
22,0.236,2.11,0.204,12.579
23,0.236,2.111,0.231,12.117
24,0.23,2.124,0.225,12.363
25,0.224,2.117,0.279,11.463
26,0.242,2.107,0.228,12.286
27,0.236,2.099,0.302,10.91
28,0.238,2.085,0.255,11.789
29,0.239,2.096,0.224,12.346
30,0.244,2.086,0.272,11.479
31,0.23,2.101,0.253,11.9
32,0.255,2.051,0.272,11.482
33,0.247,2.061,0.276,11.446
34,0.259,2.052,0.251,11.895
35,0.268,2.017,0.289,11.199
36,0.249,2.067,0.257,11.698
37,0.254,2.059,0.268,11.536
38,0.25,2.068,0.276,11.474
39,0.251,2.068,0.308,10.889
40,0.259,2.032,0.312,10.748
41,0.28,2.005,0.283,11.321
42,0.285,1.993,0.301,11.074
43,0.271,2.025,0.311,10.82
44,0.276,1.991,0.259,11.731
45,0.284,2.012,0.281,11.317
46,0.291,1.969,0.321,10.779
47,0.295,1.977,0.318,10.738
48,0.285,1.976,0.31,10.953
49,0.294,1.993,0.299,11.067
50,0.316,1.92,0.336,10.445
51,0.28,2.003,0.365,9.927
52,0.295,1.988,0.324,10.649
53,0.312,1.936,0.298,11.056
54,0.299,1.976,0.353,10.254
55,0.295,1.967,0.343,10.331
56,0.302,1.954,0.325,10.63
57,0.293,1.973,0.307,10.94
58,0.284,1.982,0.334,10.541
59,0.309,1.959,0.318,10.778
60,0.31,1.931,0.305,11.018
61,0.333,1.902,0.343,10.306
62,0.302,1.966,0.363,10.029
63,0.318,1.93,0.354,10.194
64,0.308,1.928,0.333,10.462
65,0.301,1.945,0.352,10.273
66,0.322,1.921,0.326,10.604
67,0.31,1.943,0.365,10.087
68,0.335,1.898,0.323,10.738
69,0.295,1.954,0.33,10.559
70,0.337,1.87,0.34,10.511
71,0.325,1.888,0.328,10.614
72,0.338,1.871,0.372,9.964
73,0.313,1.93,0.364,9.982
74,0.332,1.885,0.352,10.21
75,0.331,1.887,0.338,10.518
76,0.332,1.87,0.347,10.333
77,0.332,1.878,0.36,10.057
78,0.33,1.876,0.333,10.676
79,0.347,1.843,0.353,10.248
80,0.316,1.907,0.351,10.263
81,0.317,1.912,0.336,10.513
82,0.343,1.869,0.361,10.104
83,0.345,1.842,0.344,10.357
84,0.352,1.826,0.349,10.322
85,0.341,1.864,0.367,10.006
86,0.341,1.843,0.34,10.405
87,0.349,1.815,0.315,10.863
88,0.336,1.877,0.358,10.174
89,0.331,1.89,0.339,10.505
90,0.365,1.816,0.376,9.897
91,0.339,1.859,0.368,9.99
92,0.341,1.866,0.349,10.317
93,0.358,1.812,0.312,10.925
94,0.36,1.813,0.343,10.38
95,0.355,1.825,0.331,10.548
96,0.33,1.873,0.343,10.397
97,0.354,1.813,0.342,10.337
98,0.355,1.809,0.337,10.445
99,0.363,1.808,0.37,9.983
100,0.349,1.865,0.347,10.328
101,0.371,1.777,0.352,10.258
102,0.366,1.776,0.368,10.021
103,0.377,1.789,0.375,9.903
104,0.396,1.722,0.353,10.285
105,0.397,1.724,0.386,9.734
106,0.365,1.798,0.38,9.828
107,0.36,1.815,0.349,10.331
108,0.373,1.783,0.365,9.997
109,0.381,1.769,0.355,10.229
110,0.373,1.756,0.388,9.704
111,0.38,1.749,0.368,9.897
112,0.371,1.785,0.383,9.729
113,0.384,1.744,0.403,9.482
114,0.363,1.783,0.384,9.806
115,0.401,1.716,0.386,9.77
116,0.369,1.778,0.387,9.688
117,0.376,1.77,0.371,9.992
118,0.4,1.743,0.339,10.504
119,0.386,1.743,0.397,9.44
