,acc,loss,val_acc,val_loss
0,0.117,2.31,0.126,13.628
1,0.116,2.297,0.105,14.289
2,0.135,2.291,0.114,13.964
3,0.136,2.284,0.119,13.846
4,0.152,2.281,0.131,13.635
5,0.145,2.277,0.142,13.432
6,0.167,2.267,0.109,14.177
7,0.176,2.259,0.127,13.816
8,0.16,2.277,0.126,13.948
9,0.177,2.259,0.122,13.943
10,0.192,2.234,0.116,14.104
11,0.194,2.235,0.114,14.213
12,0.201,2.214,0.142,13.49
13,0.199,2.202,0.122,13.965
14,0.205,2.2,0.124,13.949
15,0.207,2.173,0.119,14.103
16,0.207,2.204,0.119,14.104
17,0.203,2.218,0.156,13.379
18,0.224,2.175,0.122,13.985
19,0.182,2.26,0.146,13.465
20,0.228,2.174,0.146,13.627
21,0.222,2.161,0.125,14.018
22,0.232,2.164,0.162,13.221
23,0.209,2.199,0.16,13.342
24,0.237,2.14,0.156,13.448
25,0.225,2.178,0.139,13.748
26,0.207,2.211,0.168,12.959
27,0.224,2.172,0.15,13.55
28,0.217,2.174,0.15,13.422
29,0.235,2.143,0.158,13.33
30,0.248,2.131,0.133,13.852
31,0.235,2.132,0.154,13.51
32,0.238,2.127,0.158,13.361
33,0.215,2.174,0.173,13.012
34,0.225,2.145,0.179,12.778
35,0.241,2.126,0.171,13.137
36,0.248,2.115,0.165,13.237
37,0.239,2.121,0.155,13.458
38,0.237,2.112,0.158,13.47
39,0.241,2.114,0.189,12.826
40,0.237,2.136,0.189,12.817
41,0.279,2.061,0.164,13.277
42,0.254,2.073,0.224,12.206
43,0.259,2.079,0.186,12.891
44,0.26,2.077,0.213,12.411
45,0.258,2.068,0.195,12.723
46,0.238,2.113,0.218,12.281
47,0.273,2.043,0.221,12.279
48,0.289,1.99,0.216,12.388
49,0.256,2.07,0.188,12.899
50,0.235,2.094,0.207,12.503
51,0.296,1.973,0.226,12.255
52,0.266,2.049,0.198,12.737
53,0.257,2.054,0.21,12.545
54,0.277,2.034,0.248,11.879
55,0.284,2.012,0.211,12.53
56,0.274,2.008,0.212,12.416
57,0.277,2.029,0.247,11.883
58,0.27,2.032,0.239,12.085
59,0.29,2.013,0.246,11.894
60,0.263,2.03,0.27,11.579
61,0.309,1.951,0.243,12.052
62,0.264,2.036,0.252,11.886
63,0.276,2.009,0.261,11.736
64,0.293,1.982,0.271,11.512
65,0.305,1.939,0.268,11.622
66,0.3,1.979,0.253,11.875
67,0.319,1.923,0.239,12.107
68,0.317,1.933,0.236,12.174
69,0.309,1.96,0.253,11.771
70,0.292,1.985,0.282,11.372
71,0.293,1.983,0.261,11.69
72,0.286,1.991,0.278,11.334
73,0.297,1.975,0.263,11.734
74,0.3,1.957,0.275,11.578
75,0.287,1.991,0.285,11.268
76,0.321,1.93,0.275,11.528
77,0.309,1.923,0.261,11.751
78,0.305,1.929,0.286,11.319
79,0.315,1.919,0.261,11.737
80,0.301,1.956,0.294,11.198
81,0.28,1.98,0.287,11.387
82,0.297,1.974,0.303,11.015
83,0.324,1.908,0.305,10.905
84,0.317,1.915,0.295,11.199
85,0.284,1.962,0.308,10.978
86,0.32,1.9,0.268,11.577
87,0.329,1.878,0.304,11.031
88,0.326,1.886,0.298,11.181
89,0.306,1.935,0.284,11.305
90,0.322,1.914,0.275,11.517
91,0.335,1.879,0.305,11.092
92,0.35,1.803,0.296,11.196
93,0.325,1.886,0.314,10.948
94,0.336,1.836,0.304,11.072
95,0.323,1.91,0.301,11.111
96,0.338,1.857,0.313,10.927
97,0.312,1.908,0.303,11.149
98,0.334,1.879,0.325,10.657
99,0.33,1.883,0.287,11.364
100,0.338,1.819,0.294,11.296
101,0.316,1.925,0.317,10.851
102,0.345,1.86,0.31,11.003
103,0.331,1.867,0.299,11.136
104,0.349,1.81,0.293,11.241
105,0.35,1.825,0.323,10.69
106,0.321,1.903,0.302,11.084
107,0.318,1.913,0.301,11.061
108,0.305,1.9,0.333,10.6
109,0.35,1.82,0.323,10.724
110,0.348,1.848,0.326,10.772
111,0.355,1.825,0.311,10.882
112,0.344,1.849,0.323,10.727
113,0.353,1.796,0.314,10.86
114,0.37,1.771,0.318,10.887
115,0.356,1.813,0.304,11.125
116,0.355,1.817,0.319,10.859
117,0.365,1.786,0.324,10.784
118,0.354,1.808,0.318,10.852
119,0.342,1.847,0.329,10.597
