,acc,loss,val_acc,val_loss
0,0.103,2.31,0.116,13.504
1,0.118,2.297,0.147,12.89
2,0.124,2.29,0.158,13.068
3,0.135,2.283,0.157,13.089
4,0.138,2.279,0.175,12.851
5,0.154,2.27,0.184,12.607
6,0.157,2.254,0.166,13.15
7,0.154,2.258,0.159,13.233
8,0.159,2.241,0.227,11.917
9,0.166,2.246,0.224,11.856
10,0.174,2.237,0.187,12.812
11,0.191,2.215,0.178,12.959
12,0.177,2.219,0.176,12.985
13,0.188,2.221,0.171,13.072
14,0.196,2.203,0.188,12.758
15,0.216,2.196,0.223,12.108
16,0.208,2.187,0.209,12.473
17,0.212,2.172,0.209,12.433
18,0.226,2.165,0.186,12.888
19,0.222,2.165,0.219,12.206
20,0.235,2.162,0.214,12.359
21,0.221,2.148,0.199,12.612
22,0.242,2.114,0.219,12.215
23,0.245,2.115,0.221,12.301
24,0.235,2.147,0.209,12.462
25,0.236,2.113,0.174,13.05
26,0.241,2.103,0.271,11.346
27,0.248,2.11,0.19,12.892
28,0.241,2.108,0.241,12.009
29,0.238,2.122,0.232,12.02
30,0.245,2.112,0.228,12.137
31,0.259,2.068,0.232,12.065
32,0.25,2.108,0.252,11.612
33,0.271,2.055,0.224,12.106
34,0.26,2.066,0.218,12.356
35,0.277,2.037,0.219,12.426
36,0.267,2.081,0.244,11.897
37,0.283,2.041,0.288,11.176
38,0.266,2.064,0.298,11.0
39,0.266,2.042,0.299,10.992
40,0.283,2.028,0.334,10.404
41,0.278,2.047,0.29,11.115
42,0.279,2.052,0.284,11.34
43,0.274,2.017,0.292,11.047
44,0.268,2.056,0.316,10.726
45,0.279,2.046,0.31,10.827
46,0.277,2.042,0.27,11.35
47,0.306,1.98,0.259,11.649
48,0.302,1.999,0.338,10.407
49,0.295,1.988,0.329,10.373
50,0.292,2.01,0.32,10.695
51,0.301,2.009,0.303,11.034
52,0.306,1.986,0.338,10.387
53,0.313,1.979,0.308,10.874
54,0.287,2.002,0.297,10.994
55,0.302,1.994,0.344,10.163
56,0.313,1.957,0.293,11.115
57,0.298,1.984,0.335,10.373
58,0.318,1.939,0.314,10.82
59,0.316,1.946,0.351,10.207
60,0.303,1.952,0.337,10.433
61,0.318,1.941,0.355,10.102
62,0.297,1.98,0.362,9.894
63,0.327,1.911,0.352,10.152
64,0.306,1.964,0.337,10.386
65,0.316,1.942,0.341,10.332
66,0.354,1.869,0.33,10.608
67,0.339,1.897,0.352,10.241
68,0.314,1.935,0.335,10.506
69,0.334,1.926,0.337,10.317
70,0.314,1.961,0.342,10.291
71,0.348,1.876,0.359,9.96
72,0.319,1.962,0.356,10.093
73,0.354,1.856,0.386,9.635
74,0.32,1.899,0.347,10.213
75,0.329,1.898,0.353,10.139
76,0.343,1.836,0.349,10.203
77,0.345,1.843,0.358,10.06
78,0.345,1.866,0.402,9.302
79,0.331,1.903,0.366,9.976
80,0.364,1.785,0.385,9.687
81,0.352,1.833,0.359,10.048
82,0.344,1.888,0.383,9.691
83,0.334,1.9,0.383,9.75
84,0.369,1.803,0.393,9.525
85,0.349,1.878,0.363,10.016
86,0.346,1.861,0.364,10.135
87,0.346,1.841,0.358,10.161
88,0.347,1.836,0.367,9.928
89,0.369,1.804,0.396,9.503
90,0.359,1.801,0.384,9.69
91,0.376,1.786,0.396,9.461
92,0.369,1.788,0.389,9.619
93,0.362,1.82,0.413,9.259
94,0.353,1.817,0.411,9.251
95,0.363,1.831,0.38,9.756
96,0.372,1.777,0.4,9.456
97,0.367,1.795,0.384,9.694
98,0.371,1.8,0.403,9.291
99,0.365,1.798,0.395,9.539
100,0.369,1.802,0.384,9.696
101,0.37,1.789,0.38,9.742
102,0.357,1.805,0.408,9.33
103,0.374,1.784,0.389,9.605
104,0.372,1.788,0.397,9.467
105,0.38,1.772,0.4,9.451
106,0.393,1.731,0.394,9.608
107,0.395,1.716,0.396,9.462
108,0.393,1.757,0.401,9.468
109,0.383,1.752,0.392,9.568
110,0.4,1.704,0.403,9.463
111,0.382,1.738,0.397,9.539
112,0.407,1.682,0.405,9.355
113,0.4,1.701,0.403,9.351
114,0.415,1.693,0.408,9.386
115,0.402,1.71,0.414,9.178
116,0.411,1.681,0.391,9.641
117,0.398,1.715,0.43,8.935
118,0.414,1.675,0.394,9.556
119,0.391,1.733,0.431,8.905
