,acc,loss,val_acc,val_loss
0,0.113,2.305,0.133,13.4
1,0.133,2.287,0.177,12.345
2,0.144,2.276,0.166,13.086
3,0.165,2.259,0.177,12.945
4,0.183,2.24,0.175,13.057
5,0.184,2.217,0.181,12.78
6,0.195,2.206,0.175,13.02
7,0.212,2.167,0.163,13.318
8,0.215,2.159,0.172,13.158
9,0.235,2.126,0.202,12.603
10,0.227,2.13,0.162,13.32
11,0.241,2.091,0.169,13.233
12,0.236,2.125,0.184,12.965
13,0.253,2.075,0.195,12.839
14,0.237,2.104,0.199,12.749
15,0.245,2.088,0.186,12.945
16,0.26,2.075,0.185,13.019
17,0.248,2.067,0.193,12.874
18,0.259,2.055,0.165,13.357
19,0.276,2.034,0.196,12.794
20,0.256,2.055,0.214,12.463
21,0.265,2.054,0.208,12.649
22,0.282,2.008,0.226,12.335
23,0.285,2.012,0.196,12.785
24,0.274,2.029,0.238,12.092
25,0.264,2.032,0.223,12.391
26,0.29,2.004,0.211,12.587
27,0.285,1.998,0.225,12.363
28,0.291,1.987,0.189,12.857
29,0.304,1.979,0.217,12.485
30,0.302,1.986,0.193,12.776
31,0.298,1.97,0.225,12.42
32,0.302,1.984,0.212,12.489
33,0.32,1.942,0.238,12.115
34,0.299,1.986,0.243,12.055
35,0.315,1.947,0.222,12.408
36,0.315,1.938,0.244,12.008
37,0.318,1.932,0.242,12.084
38,0.322,1.92,0.229,12.24
39,0.33,1.876,0.254,11.896
40,0.335,1.889,0.232,12.258
41,0.321,1.911,0.256,11.836
42,0.332,1.896,0.286,11.321
43,0.334,1.907,0.213,12.535
44,0.334,1.893,0.239,12.177
45,0.334,1.887,0.283,11.327
46,0.343,1.881,0.258,11.859
47,0.331,1.896,0.224,12.362
48,0.358,1.858,0.253,11.919
49,0.332,1.87,0.242,12.07
50,0.348,1.851,0.29,11.318
51,0.333,1.883,0.267,11.648
52,0.37,1.799,0.274,11.573
53,0.35,1.845,0.29,11.284
54,0.347,1.834,0.27,11.66
55,0.342,1.899,0.246,11.952
56,0.355,1.841,0.274,11.552
57,0.362,1.814,0.304,11.005
58,0.346,1.875,0.281,11.4
59,0.35,1.828,0.276,11.548
60,0.357,1.829,0.27,11.603
61,0.37,1.771,0.286,11.403
62,0.345,1.849,0.28,11.43
63,0.367,1.815,0.257,11.843
64,0.379,1.791,0.286,11.376
65,0.379,1.767,0.289,11.269
66,0.364,1.809,0.277,11.529
67,0.38,1.758,0.267,11.654
68,0.385,1.744,0.287,11.345
69,0.388,1.728,0.281,11.521
70,0.377,1.783,0.305,11.104
71,0.373,1.779,0.27,11.652
72,0.373,1.772,0.296,11.23
73,0.379,1.771,0.29,11.35
74,0.388,1.741,0.287,11.373
75,0.373,1.775,0.285,11.402
76,0.387,1.723,0.283,11.433
77,0.401,1.7,0.271,11.653
78,0.398,1.721,0.306,11.04
79,0.383,1.742,0.28,11.42
80,0.39,1.728,0.273,11.577
81,0.411,1.703,0.284,11.389
82,0.411,1.663,0.295,11.284
83,0.397,1.723,0.339,10.478
84,0.405,1.69,0.306,11.068
85,0.422,1.648,0.297,11.206
86,0.421,1.655,0.333,10.634
87,0.415,1.665,0.316,10.894
88,0.408,1.698,0.295,11.244
89,0.4,1.715,0.317,10.906
90,0.392,1.724,0.308,10.977
91,0.422,1.644,0.311,10.927
92,0.404,1.673,0.326,10.732
93,0.411,1.685,0.322,10.81
94,0.426,1.641,0.316,10.882
95,0.417,1.664,0.338,10.527
96,0.424,1.642,0.307,11.033
97,0.452,1.563,0.296,11.28
98,0.403,1.663,0.32,10.834
99,0.455,1.551,0.329,10.704
100,0.435,1.588,0.334,10.607
101,0.44,1.594,0.321,10.818
102,0.457,1.571,0.3,11.145
103,0.447,1.567,0.28,11.455
104,0.449,1.582,0.328,10.753
105,0.432,1.604,0.304,11.073
106,0.445,1.583,0.317,10.862
107,0.466,1.52,0.348,10.387
108,0.425,1.636,0.316,10.92
109,0.423,1.615,0.331,10.706
110,0.451,1.556,0.32,10.864
111,0.43,1.605,0.341,10.479
112,0.445,1.542,0.343,10.487
113,0.453,1.568,0.295,11.23
114,0.468,1.527,0.337,10.606
115,0.433,1.597,0.34,10.498
116,0.467,1.496,0.344,10.441
117,0.474,1.496,0.358,10.231
118,0.448,1.571,0.337,10.592
119,0.475,1.488,0.316,10.936
