,acc,loss,val_acc,val_loss
0,0.12,2.307,0.107,14.231
1,0.138,2.283,0.141,13.322
2,0.154,2.263,0.161,12.896
3,0.173,2.248,0.138,13.63
4,0.191,2.22,0.136,13.69
5,0.195,2.205,0.129,13.884
6,0.204,2.179,0.144,13.575
7,0.21,2.16,0.212,12.428
8,0.218,2.148,0.168,13.135
9,0.226,2.135,0.177,13.038
10,0.226,2.139,0.197,12.707
11,0.235,2.112,0.235,12.092
12,0.244,2.106,0.175,13.089
13,0.241,2.104,0.203,12.527
14,0.242,2.094,0.24,11.952
15,0.264,2.078,0.214,12.436
16,0.261,2.085,0.285,11.31
17,0.265,2.048,0.289,11.196
18,0.267,2.037,0.234,12.148
19,0.277,2.024,0.302,10.997
20,0.27,2.034,0.283,11.271
21,0.277,2.033,0.281,11.288
22,0.276,2.019,0.279,11.32
23,0.282,2.026,0.333,10.473
24,0.291,2.009,0.298,11.038
25,0.293,1.988,0.346,10.281
26,0.291,2.022,0.295,11.101
27,0.295,2.001,0.337,10.363
28,0.3,1.987,0.327,10.692
29,0.301,1.984,0.291,11.075
30,0.297,1.97,0.3,11.082
31,0.304,1.976,0.259,11.575
32,0.3,1.958,0.302,10.993
33,0.311,1.959,0.341,10.403
34,0.314,1.95,0.33,10.542
35,0.31,1.956,0.344,10.364
36,0.305,1.944,0.334,10.484
37,0.314,1.945,0.335,10.528
38,0.328,1.93,0.304,10.961
39,0.34,1.894,0.348,10.299
40,0.329,1.908,0.355,10.239
41,0.324,1.915,0.337,10.497
42,0.334,1.901,0.357,10.115
43,0.323,1.904,0.344,10.363
44,0.34,1.889,0.364,10.058
45,0.335,1.898,0.347,10.281
46,0.332,1.892,0.323,10.727
47,0.349,1.863,0.369,9.942
48,0.348,1.847,0.375,9.879
49,0.346,1.858,0.325,10.694
50,0.346,1.856,0.377,9.795
51,0.357,1.843,0.384,9.689
52,0.35,1.867,0.373,9.83
53,0.353,1.849,0.392,9.641
54,0.352,1.828,0.373,9.858
55,0.363,1.837,0.375,9.898
56,0.364,1.818,0.383,9.841
57,0.384,1.773,0.371,9.976
58,0.366,1.796,0.402,9.497
59,0.369,1.812,0.374,9.872
60,0.378,1.782,0.408,9.427
61,0.363,1.79,0.381,9.707
62,0.383,1.759,0.403,9.398
63,0.371,1.793,0.399,9.48
64,0.388,1.731,0.392,9.557
65,0.385,1.739,0.416,9.073
66,0.382,1.745,0.383,9.727
67,0.392,1.775,0.407,9.445
68,0.391,1.772,0.375,9.825
69,0.406,1.716,0.419,9.109
70,0.404,1.715,0.406,9.38
71,0.396,1.741,0.405,9.37
72,0.403,1.748,0.417,9.157
73,0.421,1.701,0.399,9.483
74,0.415,1.713,0.427,8.967
75,0.42,1.688,0.397,9.42
76,0.406,1.696,0.421,9.136
77,0.423,1.682,0.419,9.187
78,0.402,1.701,0.406,9.424
79,0.419,1.682,0.428,9.003
80,0.43,1.656,0.437,8.907
81,0.422,1.669,0.423,9.114
82,0.419,1.675,0.423,9.112
83,0.431,1.621,0.422,9.122
84,0.438,1.613,0.416,9.19
85,0.435,1.624,0.43,9.072
86,0.43,1.64,0.421,9.139
87,0.418,1.688,0.425,9.079
88,0.428,1.653,0.424,9.137
89,0.432,1.625,0.431,9.045
90,0.437,1.609,0.434,8.978
91,0.459,1.576,0.432,8.948
92,0.454,1.592,0.418,9.195
93,0.445,1.586,0.424,9.052
94,0.443,1.611,0.44,8.88
95,0.451,1.606,0.437,8.79
96,0.458,1.58,0.415,9.095
97,0.457,1.578,0.428,8.98
98,0.475,1.519,0.456,8.579
99,0.456,1.575,0.431,8.99
100,0.459,1.586,0.435,9.01
101,0.464,1.552,0.448,8.753
102,0.458,1.554,0.404,9.464
103,0.447,1.571,0.436,8.757
104,0.461,1.529,0.423,9.137
105,0.472,1.52,0.458,8.6
106,0.466,1.508,0.441,8.819
107,0.473,1.546,0.449,8.714
108,0.485,1.495,0.442,8.725
109,0.48,1.506,0.458,8.531
110,0.483,1.491,0.447,8.699
111,0.472,1.525,0.47,8.375
112,0.49,1.479,0.46,8.553
113,0.474,1.5,0.453,8.542
114,0.477,1.509,0.446,8.769
115,0.483,1.46,0.455,8.528
116,0.491,1.488,0.463,8.495
117,0.492,1.481,0.469,8.395
118,0.511,1.413,0.471,8.348
119,0.506,1.43,0.455,8.624
