,acc,loss,val_acc,val_loss
0,0.113,2.307,0.156,11.804
1,0.13,2.292,0.134,12.933
2,0.151,2.277,0.137,13.443
3,0.154,2.266,0.151,13.276
4,0.161,2.256,0.178,12.799
5,0.187,2.238,0.15,13.252
6,0.188,2.225,0.187,12.58
7,0.21,2.211,0.172,12.998
8,0.198,2.204,0.213,12.274
9,0.204,2.209,0.187,12.826
10,0.216,2.173,0.186,12.851
11,0.223,2.171,0.192,12.766
12,0.225,2.172,0.195,12.759
13,0.237,2.139,0.204,12.561
14,0.241,2.147,0.158,13.419
15,0.243,2.122,0.18,13.025
16,0.236,2.152,0.172,13.175
17,0.254,2.118,0.167,13.313
18,0.254,2.11,0.19,12.851
19,0.263,2.071,0.155,13.516
20,0.261,2.118,0.185,12.935
21,0.262,2.088,0.2,12.704
22,0.262,2.088,0.2,12.706
23,0.272,2.098,0.187,12.935
24,0.276,2.061,0.258,11.696
25,0.279,2.083,0.201,12.706
26,0.269,2.078,0.198,12.753
27,0.277,2.055,0.22,12.342
28,0.29,2.028,0.226,12.295
29,0.298,2.017,0.226,12.292
30,0.28,2.055,0.239,12.046
31,0.292,2.021,0.19,12.909
32,0.296,2.017,0.275,11.409
33,0.302,2.005,0.237,12.044
34,0.292,2.024,0.235,12.096
35,0.302,1.988,0.236,12.146
36,0.311,1.973,0.236,12.106
37,0.31,2.002,0.261,11.741
38,0.294,2.016,0.272,11.457
39,0.312,1.967,0.296,11.147
40,0.316,1.985,0.245,11.904
41,0.321,1.928,0.292,11.173
42,0.309,1.952,0.259,11.668
43,0.342,1.9,0.276,11.444
44,0.338,1.91,0.252,11.844
45,0.324,1.923,0.288,11.293
46,0.342,1.899,0.284,11.36
47,0.335,1.939,0.264,11.631
48,0.345,1.884,0.269,11.645
49,0.318,1.955,0.309,10.942
50,0.331,1.913,0.288,11.294
51,0.333,1.906,0.33,10.667
52,0.335,1.9,0.287,11.291
53,0.356,1.837,0.296,11.241
54,0.359,1.857,0.329,10.718
55,0.352,1.878,0.295,11.25
56,0.354,1.864,0.328,10.696
57,0.344,1.858,0.305,11.082
58,0.363,1.835,0.325,10.792
59,0.357,1.856,0.348,10.318
60,0.342,1.889,0.3,11.025
61,0.376,1.795,0.31,10.926
62,0.355,1.848,0.332,10.523
63,0.377,1.775,0.339,10.411
64,0.349,1.876,0.345,10.37
65,0.371,1.811,0.337,10.567
66,0.37,1.787,0.332,10.604
67,0.371,1.812,0.316,10.872
68,0.396,1.73,0.33,10.666
69,0.379,1.766,0.354,10.237
70,0.385,1.771,0.332,10.671
71,0.398,1.714,0.328,10.704
72,0.39,1.749,0.336,10.507
73,0.383,1.767,0.344,10.378
74,0.406,1.693,0.341,10.441
75,0.395,1.73,0.343,10.451
76,0.397,1.715,0.356,10.146
77,0.398,1.729,0.345,10.423
78,0.388,1.755,0.356,10.266
79,0.423,1.647,0.341,10.461
80,0.407,1.675,0.357,10.2
81,0.414,1.671,0.349,10.386
82,0.436,1.624,0.371,9.964
83,0.412,1.709,0.357,10.134
84,0.399,1.683,0.364,10.102
85,0.41,1.671,0.351,10.345
86,0.413,1.683,0.335,10.56
87,0.408,1.68,0.355,10.219
88,0.446,1.611,0.334,10.534
89,0.442,1.619,0.366,10.052
90,0.414,1.663,0.366,9.94
91,0.429,1.641,0.365,9.978
92,0.427,1.645,0.347,10.341
93,0.434,1.617,0.389,9.707
94,0.453,1.584,0.373,9.904
95,0.426,1.638,0.374,9.942
96,0.45,1.565,0.358,10.282
97,0.429,1.597,0.372,9.933
98,0.466,1.536,0.382,9.883
99,0.448,1.597,0.37,9.938
100,0.456,1.565,0.384,9.806
101,0.451,1.55,0.378,9.908
102,0.451,1.551,0.376,9.91
103,0.466,1.539,0.375,9.965
104,0.454,1.554,0.38,9.912
105,0.467,1.508,0.392,9.622
106,0.451,1.554,0.384,9.762
107,0.482,1.476,0.372,10.032
108,0.484,1.487,0.385,9.774
109,0.465,1.538,0.377,9.897
110,0.438,1.585,0.401,9.502
111,0.488,1.474,0.368,10.016
112,0.466,1.528,0.385,9.84
113,0.452,1.546,0.398,9.614
114,0.476,1.507,0.381,9.816
115,0.479,1.469,0.345,10.388
116,0.467,1.531,0.362,10.174
117,0.471,1.527,0.372,10.008
118,0.48,1.502,0.402,9.456
119,0.466,1.527,0.394,9.644
