,acc,loss,val_acc,val_loss
0,0.116,2.31,0.122,13.487
1,0.141,2.284,0.139,13.608
2,0.151,2.267,0.18,12.602
3,0.167,2.25,0.145,13.578
4,0.183,2.224,0.186,12.716
5,0.19,2.207,0.17,13.055
6,0.199,2.179,0.225,12.058
7,0.212,2.15,0.185,12.896
8,0.214,2.14,0.238,11.784
9,0.225,2.124,0.212,12.434
10,0.23,2.119,0.194,12.757
11,0.242,2.076,0.248,11.893
12,0.254,2.07,0.258,11.608
13,0.243,2.075,0.206,12.538
14,0.249,2.086,0.243,11.919
15,0.253,2.065,0.273,11.426
16,0.266,2.041,0.229,12.241
17,0.275,2.02,0.225,12.274
18,0.268,2.025,0.267,11.502
19,0.286,1.994,0.216,12.484
20,0.28,1.986,0.24,12.068
21,0.303,1.964,0.266,11.642
22,0.285,1.999,0.23,12.246
23,0.287,1.977,0.259,11.737
24,0.292,1.973,0.269,11.429
25,0.325,1.897,0.226,12.305
26,0.299,1.948,0.274,11.446
27,0.287,1.983,0.259,11.744
28,0.32,1.909,0.25,11.911
29,0.302,1.951,0.238,12.082
30,0.298,1.947,0.329,10.594
31,0.31,1.943,0.267,11.599
32,0.313,1.935,0.338,10.467
33,0.323,1.903,0.28,11.372
34,0.332,1.879,0.285,11.275
35,0.33,1.872,0.299,11.106
36,0.323,1.879,0.332,10.549
37,0.335,1.857,0.333,10.58
38,0.333,1.856,0.29,11.291
39,0.346,1.857,0.298,11.155
40,0.354,1.835,0.308,10.959
41,0.347,1.835,0.345,10.386
42,0.362,1.8,0.304,10.984
43,0.352,1.835,0.335,10.444
44,0.347,1.828,0.356,10.187
45,0.334,1.871,0.328,10.657
46,0.394,1.698,0.316,10.827
47,0.366,1.775,0.326,10.662
48,0.321,1.873,0.353,10.216
49,0.371,1.785,0.308,11.036
50,0.342,1.839,0.385,9.744
51,0.379,1.751,0.372,9.892
52,0.35,1.827,0.347,10.294
53,0.363,1.809,0.37,10.031
54,0.394,1.742,0.345,10.377
55,0.383,1.715,0.356,10.19
56,0.411,1.661,0.344,10.388
57,0.409,1.684,0.349,10.378
58,0.394,1.7,0.353,10.203
59,0.41,1.656,0.352,10.313
60,0.391,1.694,0.369,10.024
61,0.402,1.67,0.328,10.637
62,0.392,1.725,0.378,9.89
63,0.42,1.664,0.352,10.284
64,0.396,1.706,0.363,10.063
65,0.418,1.66,0.379,9.851
66,0.416,1.649,0.37,9.954
67,0.404,1.703,0.378,9.777
68,0.417,1.649,0.378,9.843
69,0.406,1.689,0.378,9.811
70,0.426,1.62,0.377,9.899
71,0.438,1.611,0.371,9.978
72,0.458,1.55,0.394,9.56
73,0.431,1.631,0.39,9.64
74,0.398,1.725,0.389,9.7
75,0.435,1.601,0.383,9.754
76,0.45,1.587,0.377,9.802
77,0.43,1.616,0.395,9.591
78,0.47,1.532,0.377,9.808
79,0.447,1.589,0.382,9.735
80,0.424,1.635,0.41,9.295
81,0.454,1.557,0.412,9.336
82,0.449,1.559,0.399,9.553
83,0.435,1.594,0.365,10.089
84,0.468,1.556,0.404,9.475
85,0.468,1.521,0.39,9.745
86,0.468,1.502,0.368,10.073
87,0.446,1.565,0.401,9.458
88,0.459,1.529,0.404,9.44
89,0.484,1.477,0.406,9.423
90,0.454,1.551,0.419,9.238
91,0.486,1.487,0.398,9.583
92,0.455,1.552,0.402,9.381
93,0.452,1.562,0.399,9.536
94,0.452,1.552,0.394,9.614
95,0.488,1.488,0.411,9.356
96,0.514,1.377,0.418,9.228
97,0.485,1.437,0.433,8.977
98,0.473,1.477,0.417,9.113
99,0.501,1.416,0.382,9.807
100,0.479,1.474,0.386,9.777
101,0.479,1.497,0.399,9.477
102,0.482,1.481,0.418,9.181
103,0.478,1.45,0.416,9.258
104,0.509,1.435,0.402,9.497
105,0.521,1.369,0.426,9.069
106,0.472,1.51,0.425,9.068
107,0.5,1.455,0.406,9.377
108,0.522,1.375,0.412,9.359
109,0.506,1.421,0.418,9.301
110,0.506,1.422,0.442,8.813
111,0.525,1.357,0.397,9.562
112,0.507,1.408,0.416,9.165
113,0.538,1.346,0.405,9.426
114,0.533,1.348,0.409,9.32
115,0.489,1.465,0.415,9.345
116,0.533,1.355,0.404,9.374
117,0.538,1.3,0.404,9.48
118,0.52,1.363,0.419,9.193
119,0.534,1.332,0.422,9.168
