,acc,loss,val_acc,val_loss
0,0.112,2.306,0.122,13.591
1,0.123,2.293,0.131,13.25
2,0.142,2.278,0.134,13.697
3,0.155,2.27,0.144,13.396
4,0.167,2.246,0.155,13.142
5,0.178,2.226,0.163,13.082
6,0.201,2.195,0.144,13.579
7,0.214,2.166,0.159,13.355
8,0.23,2.139,0.165,13.291
9,0.22,2.141,0.156,13.445
10,0.239,2.101,0.151,13.573
11,0.243,2.093,0.163,13.285
12,0.242,2.078,0.25,11.893
13,0.253,2.071,0.169,13.291
14,0.239,2.079,0.216,12.429
15,0.265,2.059,0.18,13.074
16,0.263,2.048,0.193,12.875
17,0.253,2.041,0.222,12.346
18,0.271,2.021,0.182,13.089
19,0.272,2.024,0.273,11.538
20,0.291,1.997,0.25,11.845
21,0.285,2.006,0.233,12.14
22,0.281,1.987,0.222,12.368
23,0.285,1.996,0.261,11.754
24,0.28,1.981,0.29,11.273
25,0.297,1.967,0.217,12.454
26,0.299,1.972,0.203,12.622
27,0.299,1.951,0.278,11.418
28,0.281,1.983,0.248,11.916
29,0.3,1.951,0.253,11.828
30,0.303,1.938,0.269,11.45
31,0.304,1.927,0.281,11.317
32,0.324,1.9,0.237,12.107
33,0.317,1.91,0.254,11.917
34,0.297,1.929,0.285,11.383
35,0.305,1.92,0.287,11.348
36,0.308,1.926,0.283,11.437
37,0.333,1.877,0.29,11.266
38,0.342,1.853,0.302,11.047
39,0.334,1.868,0.273,11.609
40,0.318,1.898,0.289,11.205
41,0.335,1.85,0.284,11.375
42,0.349,1.838,0.305,11.018
43,0.347,1.845,0.302,11.083
44,0.347,1.86,0.285,11.376
45,0.366,1.821,0.315,10.876
46,0.331,1.857,0.307,11.002
47,0.361,1.8,0.311,10.921
48,0.351,1.823,0.328,10.671
49,0.362,1.79,0.328,10.663
50,0.36,1.806,0.324,10.695
51,0.372,1.766,0.338,10.472
52,0.367,1.773,0.308,10.971
53,0.373,1.786,0.337,10.467
54,0.368,1.781,0.341,10.377
55,0.361,1.774,0.348,10.383
56,0.367,1.762,0.332,10.675
57,0.377,1.761,0.33,10.623
58,0.367,1.773,0.377,9.872
59,0.376,1.739,0.336,10.47
60,0.394,1.721,0.304,11.04
61,0.389,1.732,0.343,10.455
62,0.389,1.716,0.332,10.596
63,0.385,1.735,0.377,9.913
64,0.402,1.713,0.348,10.419
65,0.394,1.698,0.364,10.1
66,0.396,1.696,0.358,10.189
67,0.402,1.698,0.33,10.553
68,0.395,1.695,0.376,9.935
69,0.397,1.709,0.357,10.225
70,0.399,1.674,0.39,9.644
71,0.409,1.675,0.392,9.661
72,0.397,1.671,0.395,9.582
73,0.407,1.666,0.389,9.709
74,0.418,1.63,0.397,9.473
75,0.406,1.666,0.403,9.445
76,0.433,1.615,0.363,10.099
77,0.422,1.623,0.37,9.996
78,0.409,1.666,0.38,9.857
79,0.426,1.621,0.39,9.656
80,0.423,1.621,0.372,9.989
81,0.425,1.644,0.399,9.52
82,0.409,1.646,0.394,9.587
83,0.425,1.612,0.373,10.005
84,0.428,1.617,0.384,9.769
85,0.436,1.582,0.403,9.474
86,0.421,1.614,0.412,9.36
87,0.425,1.627,0.381,9.806
88,0.425,1.609,0.424,9.091
89,0.43,1.602,0.42,9.187
90,0.439,1.579,0.409,9.339
91,0.434,1.62,0.399,9.495
92,0.455,1.54,0.369,10.008
93,0.439,1.573,0.416,9.18
94,0.438,1.568,0.417,9.219
95,0.45,1.555,0.395,9.64
96,0.456,1.529,0.384,9.755
97,0.467,1.509,0.389,9.652
98,0.459,1.52,0.416,9.289
99,0.458,1.526,0.384,9.698
100,0.451,1.556,0.425,9.15
101,0.46,1.521,0.418,9.266
102,0.463,1.498,0.439,8.831
103,0.48,1.482,0.43,9.017
104,0.457,1.542,0.412,9.322
105,0.445,1.556,0.414,9.244
106,0.484,1.465,0.42,9.217
107,0.461,1.515,0.428,9.046
108,0.476,1.487,0.409,9.321
109,0.474,1.497,0.427,9.111
110,0.485,1.476,0.429,9.042
111,0.474,1.489,0.426,9.095
112,0.493,1.456,0.431,8.926
113,0.467,1.505,0.422,9.188
114,0.48,1.485,0.444,8.796
115,0.501,1.416,0.421,9.156
116,0.47,1.494,0.438,8.948
117,0.488,1.464,0.432,9.003
118,0.485,1.436,0.43,9.076
119,0.484,1.433,0.419,9.179
