,acc,loss,val_acc,val_loss
0,0.108,2.306,0.11,13.92
1,0.133,2.289,0.117,13.832
2,0.129,2.287,0.131,13.268
3,0.136,2.283,0.139,13.427
4,0.149,2.273,0.145,13.227
5,0.148,2.268,0.173,12.702
6,0.164,2.265,0.156,13.165
7,0.171,2.25,0.163,12.952
8,0.161,2.257,0.159,13.105
9,0.176,2.234,0.148,13.452
10,0.176,2.235,0.164,13.096
11,0.181,2.238,0.165,13.149
12,0.179,2.241,0.179,12.752
13,0.198,2.201,0.15,13.369
14,0.19,2.211,0.161,13.105
15,0.189,2.204,0.184,12.723
16,0.204,2.194,0.151,13.375
17,0.191,2.222,0.163,13.263
18,0.212,2.19,0.146,13.529
19,0.213,2.184,0.15,13.528
20,0.208,2.178,0.168,13.085
21,0.216,2.19,0.179,12.862
22,0.205,2.203,0.168,13.016
23,0.231,2.144,0.172,13.064
24,0.227,2.169,0.154,13.421
25,0.226,2.165,0.151,13.508
26,0.221,2.17,0.163,13.211
27,0.232,2.142,0.148,13.495
28,0.234,2.141,0.179,12.818
29,0.249,2.119,0.175,12.955
30,0.225,2.161,0.172,12.905
31,0.248,2.1,0.176,12.987
32,0.26,2.083,0.177,12.945
33,0.236,2.119,0.163,13.113
34,0.253,2.108,0.199,12.541
35,0.26,2.079,0.169,13.135
36,0.268,2.075,0.214,12.368
37,0.259,2.086,0.182,12.936
38,0.271,2.057,0.185,12.88
39,0.259,2.044,0.206,12.422
40,0.262,2.067,0.191,12.75
41,0.263,2.06,0.205,12.463
42,0.271,2.051,0.213,12.382
43,0.268,2.06,0.199,12.639
44,0.274,2.054,0.199,12.702
45,0.263,2.066,0.22,12.326
46,0.264,2.062,0.213,12.365
47,0.285,2.013,0.208,12.503
48,0.281,2.026,0.208,12.532
49,0.273,2.035,0.222,12.247
50,0.282,2.009,0.213,12.495
51,0.286,2.003,0.267,11.552
52,0.291,1.999,0.249,11.924
53,0.284,2.003,0.24,12.022
54,0.301,1.972,0.254,11.75
55,0.295,1.977,0.247,11.974
56,0.299,1.973,0.242,12.092
57,0.286,1.989,0.255,11.757
58,0.284,1.993,0.267,11.5
59,0.303,1.963,0.238,12.075
60,0.299,1.961,0.246,11.92
61,0.3,1.96,0.265,11.596
62,0.315,1.945,0.26,11.698
63,0.3,1.931,0.266,11.683
64,0.318,1.9,0.266,11.673
65,0.311,1.932,0.259,11.735
66,0.325,1.919,0.268,11.613
67,0.316,1.938,0.28,11.401
68,0.321,1.901,0.259,11.75
69,0.309,1.907,0.296,11.175
70,0.321,1.888,0.291,11.205
71,0.324,1.895,0.281,11.435
72,0.314,1.885,0.307,10.988
73,0.331,1.872,0.304,11.037
74,0.327,1.891,0.299,11.084
75,0.34,1.874,0.286,11.356
76,0.323,1.917,0.304,11.046
77,0.332,1.883,0.294,11.177
78,0.332,1.871,0.296,11.195
79,0.325,1.875,0.329,10.59
80,0.335,1.849,0.309,10.952
81,0.337,1.848,0.282,11.383
82,0.335,1.86,0.295,11.149
83,0.345,1.826,0.303,11.068
84,0.337,1.856,0.309,10.956
85,0.359,1.824,0.299,11.084
86,0.358,1.822,0.312,10.898
87,0.348,1.833,0.305,10.967
88,0.338,1.851,0.317,10.832
89,0.36,1.818,0.315,10.902
90,0.355,1.826,0.303,11.084
91,0.357,1.823,0.304,11.058
92,0.356,1.821,0.305,10.995
93,0.356,1.823,0.316,10.922
94,0.352,1.827,0.328,10.711
95,0.357,1.791,0.307,10.965
96,0.37,1.787,0.325,10.696
97,0.371,1.79,0.322,10.745
98,0.366,1.779,0.318,10.85
99,0.37,1.76,0.324,10.795
100,0.364,1.788,0.348,10.344
101,0.364,1.768,0.31,10.991
102,0.39,1.753,0.343,10.448
103,0.367,1.785,0.31,10.916
104,0.376,1.757,0.325,10.733
105,0.372,1.764,0.316,10.854
106,0.369,1.763,0.316,10.811
107,0.364,1.789,0.325,10.719
108,0.383,1.77,0.332,10.619
109,0.388,1.727,0.347,10.317
110,0.379,1.734,0.338,10.483
111,0.386,1.73,0.344,10.384
112,0.383,1.735,0.335,10.494
113,0.386,1.718,0.322,10.758
114,0.377,1.757,0.313,10.905
115,0.386,1.741,0.348,10.367
116,0.38,1.729,0.335,10.574
117,0.389,1.723,0.332,10.639
118,0.408,1.692,0.325,10.676
119,0.386,1.721,0.339,10.443
