,acc,loss,val_acc,val_loss
0,0.122,2.295,0.104,14.304
1,0.131,2.284,0.123,13.934
2,0.15,2.269,0.135,13.59
3,0.16,2.25,0.152,13.393
4,0.174,2.226,0.139,13.682
5,0.192,2.2,0.166,13.291
6,0.204,2.181,0.18,12.975
7,0.216,2.152,0.14,13.744
8,0.211,2.146,0.147,13.66
9,0.222,2.129,0.167,13.283
10,0.231,2.113,0.141,13.721
11,0.222,2.115,0.165,13.294
12,0.234,2.093,0.15,13.554
13,0.236,2.089,0.151,13.539
14,0.24,2.085,0.153,13.502
15,0.247,2.077,0.161,13.387
16,0.241,2.076,0.159,13.42
17,0.243,2.072,0.168,13.277
18,0.245,2.067,0.177,13.126
19,0.258,2.05,0.158,13.475
20,0.253,2.057,0.194,12.879
21,0.248,2.053,0.197,12.799
22,0.263,2.026,0.205,12.656
23,0.274,2.025,0.162,13.352
24,0.268,2.021,0.197,12.739
25,0.261,2.03,0.164,13.398
26,0.279,2.005,0.182,12.976
27,0.282,2.014,0.183,13.091
28,0.281,1.995,0.213,12.631
29,0.274,1.984,0.195,12.769
30,0.283,1.998,0.183,13.028
31,0.273,1.993,0.181,13.119
32,0.27,1.996,0.182,13.077
33,0.302,1.953,0.188,13.037
34,0.282,1.976,0.209,12.578
35,0.278,1.978,0.285,11.276
36,0.287,1.964,0.202,12.769
37,0.291,1.972,0.24,12.029
38,0.287,1.969,0.209,12.609
39,0.302,1.955,0.218,12.564
40,0.294,1.958,0.216,12.493
41,0.288,1.955,0.187,12.995
42,0.319,1.914,0.193,12.888
43,0.293,1.934,0.209,12.625
44,0.287,1.94,0.212,12.603
45,0.307,1.927,0.227,12.308
46,0.323,1.903,0.24,12.118
47,0.295,1.939,0.205,12.721
48,0.313,1.921,0.233,12.211
49,0.304,1.912,0.21,12.588
50,0.316,1.904,0.265,11.626
51,0.321,1.889,0.251,11.943
52,0.307,1.931,0.237,12.198
53,0.313,1.905,0.245,12.007
54,0.322,1.9,0.23,12.291
55,0.317,1.909,0.237,12.154
56,0.333,1.873,0.223,12.391
57,0.319,1.885,0.232,12.312
58,0.309,1.894,0.217,12.418
59,0.325,1.88,0.243,12.113
60,0.326,1.872,0.235,12.256
61,0.332,1.867,0.238,12.211
62,0.33,1.869,0.248,12.045
63,0.334,1.846,0.27,11.684
64,0.34,1.848,0.247,11.974
65,0.32,1.885,0.246,12.009
66,0.322,1.876,0.239,12.169
67,0.34,1.831,0.263,11.801
68,0.352,1.814,0.244,12.113
69,0.338,1.847,0.259,11.811
70,0.345,1.823,0.243,12.11
71,0.336,1.837,0.264,11.742
72,0.361,1.824,0.256,11.917
73,0.332,1.857,0.248,12.02
74,0.325,1.857,0.237,12.236
75,0.341,1.819,0.273,11.636
76,0.336,1.817,0.278,11.544
77,0.342,1.825,0.261,11.798
78,0.345,1.818,0.27,11.656
79,0.345,1.814,0.257,11.779
80,0.348,1.815,0.238,12.206
81,0.354,1.799,0.267,11.713
82,0.347,1.818,0.27,11.605
83,0.356,1.778,0.268,11.693
84,0.35,1.807,0.286,11.398
85,0.353,1.809,0.248,12.002
86,0.361,1.775,0.258,11.876
87,0.364,1.773,0.265,11.774
88,0.368,1.764,0.287,11.328
89,0.389,1.736,0.278,11.488
90,0.36,1.76,0.27,11.671
91,0.368,1.768,0.276,11.559
92,0.38,1.742,0.258,11.832
93,0.352,1.774,0.278,11.505
94,0.395,1.719,0.291,11.286
95,0.365,1.756,0.291,11.329
96,0.37,1.764,0.296,11.266
97,0.367,1.762,0.259,11.841
98,0.37,1.746,0.278,11.582
99,0.367,1.755,0.288,11.307
100,0.362,1.779,0.27,11.645
101,0.37,1.726,0.3,11.226
102,0.371,1.758,0.27,11.64
103,0.394,1.709,0.29,11.305
104,0.382,1.732,0.281,11.517
105,0.37,1.75,0.285,11.409
106,0.387,1.713,0.249,11.984
107,0.365,1.768,0.287,11.347
108,0.386,1.692,0.301,11.145
109,0.38,1.73,0.293,11.31
110,0.383,1.723,0.284,11.386
111,0.382,1.718,0.284,11.435
112,0.383,1.72,0.298,11.246
113,0.392,1.692,0.269,11.678
114,0.383,1.719,0.279,11.507
115,0.395,1.697,0.307,11.075
116,0.396,1.687,0.281,11.44
117,0.384,1.691,0.289,11.379
118,0.398,1.669,0.294,11.272
119,0.398,1.661,0.297,11.149
