,acc,loss,val_acc,val_loss
0,0.102,2.306,0.162,10.978
1,0.122,2.294,0.128,12.993
2,0.136,2.284,0.129,13.103
3,0.144,2.281,0.142,13.168
4,0.152,2.271,0.131,13.424
5,0.165,2.258,0.161,12.793
6,0.164,2.244,0.145,13.469
7,0.178,2.23,0.141,13.537
8,0.192,2.203,0.151,13.469
9,0.188,2.212,0.153,13.375
10,0.185,2.2,0.151,13.246
11,0.202,2.184,0.165,13.049
12,0.214,2.173,0.171,12.918
13,0.209,2.181,0.149,13.47
14,0.207,2.196,0.179,12.894
15,0.226,2.138,0.157,13.408
16,0.219,2.183,0.154,13.435
17,0.22,2.14,0.173,13.099
18,0.229,2.128,0.186,12.926
19,0.241,2.125,0.182,13.017
20,0.234,2.147,0.159,13.354
21,0.243,2.117,0.18,12.948
22,0.236,2.098,0.196,12.686
23,0.239,2.128,0.242,11.935
24,0.245,2.098,0.185,12.981
25,0.255,2.082,0.182,12.849
26,0.267,2.077,0.192,12.831
27,0.253,2.118,0.217,12.219
28,0.267,2.096,0.196,12.842
29,0.258,2.079,0.216,12.465
30,0.262,2.076,0.181,12.983
31,0.275,2.04,0.215,12.447
32,0.267,2.066,0.193,12.787
33,0.268,2.059,0.228,12.11
34,0.266,2.068,0.196,12.775
35,0.279,2.058,0.241,11.943
36,0.294,1.998,0.252,11.851
37,0.289,2.035,0.214,12.552
38,0.285,2.019,0.234,12.087
39,0.274,2.04,0.211,12.471
40,0.273,2.035,0.249,11.921
41,0.277,2.042,0.261,11.636
42,0.29,2.002,0.234,12.168
43,0.288,2.011,0.214,12.467
44,0.288,1.993,0.222,12.283
45,0.285,2.031,0.23,12.264
46,0.29,1.98,0.238,12.103
47,0.303,1.977,0.246,11.989
48,0.303,1.997,0.242,12.013
49,0.305,1.981,0.226,12.263
50,0.308,1.958,0.228,12.31
51,0.315,1.954,0.277,11.388
52,0.318,1.935,0.232,12.249
53,0.312,1.938,0.263,11.708
54,0.282,1.981,0.263,11.728
55,0.309,1.958,0.264,11.666
56,0.303,1.941,0.284,11.336
57,0.317,1.95,0.288,11.189
58,0.31,1.937,0.275,11.456
59,0.325,1.913,0.29,11.232
60,0.319,1.911,0.288,11.3
61,0.334,1.907,0.283,11.323
62,0.332,1.889,0.271,11.543
63,0.329,1.911,0.288,11.316
64,0.328,1.884,0.304,11.02
65,0.307,1.923,0.298,11.099
66,0.33,1.889,0.288,11.347
67,0.32,1.879,0.298,11.122
68,0.337,1.871,0.276,11.553
69,0.333,1.872,0.271,11.638
70,0.322,1.898,0.344,10.374
71,0.346,1.863,0.303,11.058
72,0.322,1.875,0.332,10.551
73,0.342,1.865,0.315,10.865
74,0.341,1.832,0.277,11.528
75,0.332,1.858,0.32,10.814
76,0.341,1.854,0.305,11.006
77,0.342,1.856,0.319,10.759
78,0.343,1.84,0.28,11.521
79,0.355,1.813,0.318,10.795
80,0.353,1.825,0.349,10.323
81,0.336,1.86,0.309,10.953
82,0.349,1.823,0.303,11.158
83,0.345,1.852,0.301,11.121
84,0.361,1.806,0.351,10.337
85,0.358,1.784,0.292,11.262
86,0.369,1.775,0.287,11.259
87,0.361,1.8,0.316,10.898
88,0.352,1.814,0.32,10.798
89,0.356,1.788,0.336,10.631
90,0.353,1.816,0.313,10.855
91,0.357,1.799,0.319,10.843
92,0.366,1.765,0.29,11.29
93,0.378,1.756,0.304,11.084
94,0.371,1.767,0.335,10.498
95,0.373,1.772,0.339,10.472
96,0.352,1.821,0.317,10.85
97,0.376,1.782,0.325,10.69
98,0.377,1.758,0.33,10.615
99,0.373,1.766,0.347,10.423
100,0.376,1.787,0.301,11.147
101,0.38,1.766,0.335,10.576
102,0.362,1.758,0.325,10.733
103,0.382,1.757,0.318,10.82
104,0.394,1.745,0.335,10.541
105,0.364,1.753,0.323,10.761
106,0.389,1.725,0.347,10.358
107,0.372,1.747,0.342,10.411
108,0.41,1.684,0.299,11.137
109,0.382,1.732,0.345,10.407
110,0.377,1.757,0.33,10.698
111,0.407,1.69,0.347,10.439
112,0.4,1.718,0.343,10.421
113,0.393,1.707,0.34,10.51
114,0.394,1.724,0.357,10.232
115,0.382,1.738,0.319,10.891
116,0.396,1.69,0.331,10.639
117,0.384,1.719,0.348,10.32
118,0.392,1.721,0.326,10.782
119,0.383,1.721,0.335,10.608
