,acc,loss,val_acc,val_loss
0,0.114,2.303,0.112,13.791
1,0.136,2.284,0.15,13.077
2,0.156,2.274,0.121,13.9
3,0.166,2.256,0.164,13.053
4,0.193,2.224,0.213,12.289
5,0.185,2.226,0.158,13.355
6,0.205,2.181,0.181,12.91
7,0.205,2.176,0.185,12.859
8,0.221,2.152,0.196,12.701
9,0.218,2.164,0.171,13.087
10,0.226,2.145,0.149,13.56
11,0.228,2.126,0.154,13.498
12,0.232,2.115,0.215,12.314
13,0.245,2.094,0.197,12.727
14,0.237,2.117,0.177,13.056
15,0.257,2.072,0.181,13.006
16,0.242,2.081,0.225,12.185
17,0.268,2.053,0.203,12.674
18,0.265,2.069,0.196,12.809
19,0.267,2.064,0.204,12.693
20,0.279,2.044,0.198,12.745
21,0.286,2.011,0.205,12.662
22,0.279,2.022,0.196,12.811
23,0.286,2.015,0.225,12.296
24,0.292,2.002,0.223,12.315
25,0.28,2.012,0.227,12.316
26,0.302,1.984,0.272,11.522
27,0.294,2.001,0.189,12.912
28,0.287,1.996,0.29,11.23
29,0.307,1.971,0.246,11.957
30,0.315,1.946,0.221,12.32
31,0.323,1.912,0.271,11.498
32,0.312,1.933,0.277,11.521
33,0.295,1.945,0.26,11.752
34,0.308,1.949,0.287,11.237
35,0.322,1.922,0.235,12.138
36,0.323,1.913,0.238,12.137
37,0.341,1.891,0.247,11.98
38,0.319,1.913,0.313,10.898
39,0.334,1.9,0.307,10.954
40,0.327,1.899,0.26,11.779
41,0.353,1.845,0.275,11.592
42,0.357,1.84,0.318,10.77
43,0.338,1.86,0.306,10.958
44,0.345,1.806,0.291,11.283
45,0.35,1.85,0.278,11.606
46,0.332,1.887,0.31,10.916
47,0.343,1.861,0.309,10.926
48,0.345,1.854,0.293,11.294
49,0.362,1.81,0.301,11.162
50,0.371,1.766,0.286,11.442
51,0.376,1.775,0.299,11.183
52,0.353,1.845,0.306,10.973
53,0.367,1.777,0.315,10.919
54,0.37,1.786,0.313,10.942
55,0.372,1.781,0.332,10.639
56,0.365,1.768,0.312,10.91
57,0.364,1.786,0.321,10.821
58,0.377,1.753,0.318,10.823
59,0.381,1.733,0.35,10.285
60,0.387,1.727,0.329,10.67
61,0.39,1.739,0.342,10.374
62,0.399,1.689,0.32,10.847
63,0.393,1.722,0.342,10.506
64,0.391,1.729,0.363,10.1
65,0.404,1.692,0.339,10.475
66,0.417,1.668,0.344,10.501
67,0.41,1.671,0.332,10.693
68,0.423,1.633,0.357,10.165
69,0.432,1.617,0.342,10.518
70,0.428,1.618,0.36,10.205
71,0.422,1.647,0.326,10.706
72,0.404,1.669,0.348,10.406
73,0.417,1.656,0.353,10.339
74,0.412,1.658,0.344,10.494
75,0.429,1.632,0.361,10.123
76,0.433,1.602,0.355,10.302
77,0.415,1.642,0.359,10.23
78,0.443,1.579,0.381,9.795
79,0.449,1.591,0.379,9.827
80,0.442,1.589,0.389,9.683
81,0.438,1.577,0.34,10.556
82,0.433,1.598,0.362,10.081
83,0.46,1.519,0.38,9.836
84,0.437,1.583,0.383,9.787
85,0.45,1.564,0.33,10.567
86,0.458,1.544,0.339,10.52
87,0.459,1.54,0.342,10.468
88,0.464,1.514,0.378,9.873
89,0.466,1.498,0.383,9.819
90,0.448,1.541,0.371,9.998
91,0.471,1.514,0.399,9.566
92,0.466,1.498,0.38,9.863
93,0.471,1.507,0.404,9.455
94,0.448,1.567,0.396,9.629
95,0.484,1.481,0.386,9.786
96,0.472,1.497,0.403,9.399
97,0.508,1.429,0.388,9.766
98,0.468,1.523,0.409,9.424
99,0.492,1.478,0.394,9.636
100,0.478,1.483,0.393,9.678
101,0.484,1.462,0.398,9.582
102,0.481,1.483,0.388,9.702
103,0.506,1.407,0.418,9.235
104,0.482,1.5,0.396,9.565
105,0.508,1.412,0.403,9.453
106,0.512,1.409,0.402,9.555
107,0.513,1.381,0.398,9.551
108,0.504,1.402,0.441,8.817
109,0.506,1.429,0.432,9.044
110,0.507,1.399,0.402,9.487
111,0.492,1.433,0.433,9.01
112,0.514,1.407,0.42,9.22
113,0.488,1.455,0.414,9.347
114,0.51,1.41,0.402,9.528
115,0.529,1.333,0.405,9.455
116,0.494,1.426,0.412,9.376
117,0.51,1.384,0.445,8.768
118,0.52,1.377,0.378,9.887
119,0.507,1.422,0.399,9.504
