,acc,loss,val_acc,val_loss
0,0.108,2.307,0.121,13.841
1,0.136,2.285,0.13,13.589
2,0.14,2.271,0.136,13.576
3,0.164,2.259,0.151,13.282
4,0.159,2.247,0.184,12.559
5,0.176,2.216,0.156,13.183
6,0.201,2.196,0.17,13.063
7,0.21,2.162,0.164,13.21
8,0.204,2.159,0.148,13.45
9,0.218,2.135,0.169,13.089
10,0.225,2.128,0.162,13.213
11,0.218,2.138,0.158,13.402
12,0.222,2.125,0.168,13.212
13,0.237,2.102,0.183,12.952
14,0.239,2.097,0.185,12.864
15,0.243,2.107,0.242,11.777
16,0.237,2.102,0.211,12.481
17,0.265,2.061,0.166,13.228
18,0.251,2.065,0.248,11.919
19,0.245,2.091,0.217,12.31
20,0.254,2.058,0.193,12.825
21,0.259,2.047,0.259,11.603
22,0.264,2.046,0.242,11.928
23,0.255,2.051,0.221,12.322
24,0.276,2.025,0.233,12.053
25,0.264,2.041,0.269,11.58
26,0.274,2.029,0.264,11.613
27,0.273,2.027,0.221,12.283
28,0.274,2.01,0.224,12.341
29,0.26,2.056,0.25,11.928
30,0.285,1.997,0.224,12.367
31,0.283,1.998,0.237,12.038
32,0.26,2.046,0.253,11.831
33,0.292,1.983,0.247,11.868
34,0.295,2.002,0.267,11.613
35,0.29,1.988,0.204,12.585
36,0.289,1.978,0.211,12.427
37,0.29,1.979,0.277,11.417
38,0.29,1.974,0.274,11.471
39,0.287,1.964,0.243,11.97
40,0.301,1.954,0.248,11.968
41,0.296,1.981,0.233,12.155
42,0.286,1.978,0.258,11.737
43,0.309,1.948,0.269,11.488
44,0.303,1.938,0.233,12.175
45,0.313,1.918,0.241,12.06
46,0.308,1.925,0.242,12.015
47,0.317,1.925,0.278,11.43
48,0.301,1.942,0.268,11.492
49,0.316,1.915,0.254,11.843
50,0.31,1.923,0.262,11.694
51,0.32,1.906,0.234,12.17
52,0.314,1.92,0.255,11.836
53,0.327,1.896,0.254,11.761
54,0.329,1.879,0.304,11.017
55,0.324,1.894,0.283,11.374
56,0.33,1.885,0.216,12.58
57,0.326,1.889,0.241,12.006
58,0.335,1.877,0.282,11.358
59,0.343,1.856,0.257,11.82
60,0.338,1.856,0.271,11.638
61,0.325,1.904,0.282,11.421
62,0.339,1.868,0.287,11.305
63,0.321,1.872,0.312,10.839
64,0.332,1.889,0.271,11.604
65,0.331,1.864,0.295,11.159
66,0.334,1.837,0.3,11.115
67,0.345,1.83,0.294,11.229
68,0.349,1.836,0.313,10.904
69,0.353,1.817,0.305,11.01
70,0.343,1.848,0.287,11.34
71,0.337,1.85,0.307,11.024
72,0.333,1.87,0.31,11.029
73,0.348,1.822,0.303,11.063
74,0.357,1.814,0.306,11.023
75,0.359,1.793,0.34,10.394
76,0.361,1.782,0.329,10.57
77,0.356,1.808,0.317,10.843
78,0.376,1.754,0.326,10.707
79,0.364,1.777,0.319,10.829
80,0.335,1.84,0.321,10.73
81,0.372,1.78,0.327,10.677
82,0.371,1.778,0.296,11.204
83,0.358,1.797,0.316,10.842
84,0.361,1.802,0.337,10.524
85,0.381,1.746,0.327,10.685
86,0.386,1.728,0.364,10.147
87,0.378,1.747,0.314,10.952
88,0.373,1.768,0.322,10.728
89,0.387,1.725,0.335,10.507
90,0.376,1.76,0.337,10.533
91,0.378,1.745,0.318,10.851
92,0.372,1.756,0.352,10.282
93,0.383,1.729,0.346,10.36
94,0.391,1.71,0.363,10.144
95,0.382,1.738,0.362,10.158
96,0.386,1.721,0.328,10.703
97,0.39,1.715,0.346,10.415
98,0.402,1.697,0.335,10.501
99,0.392,1.708,0.326,10.711
100,0.383,1.733,0.357,10.277
101,0.379,1.718,0.353,10.182
102,0.396,1.712,0.348,10.284
103,0.408,1.672,0.365,10.11
104,0.4,1.682,0.344,10.378
105,0.396,1.7,0.376,9.884
106,0.41,1.661,0.373,9.935
107,0.407,1.667,0.349,10.358
108,0.409,1.663,0.346,10.405
109,0.396,1.688,0.345,10.394
110,0.4,1.688,0.331,10.63
111,0.418,1.659,0.379,9.875
112,0.406,1.66,0.381,9.84
113,0.421,1.626,0.373,9.952
114,0.412,1.661,0.379,9.788
115,0.414,1.653,0.343,10.513
116,0.422,1.636,0.382,9.792
117,0.416,1.65,0.365,10.024
118,0.429,1.605,0.351,10.393
119,0.423,1.634,0.358,10.172
