,acc,loss,val_acc,val_loss
0,0.109,2.306,0.113,13.764
1,0.116,2.3,0.108,14.066
2,0.121,2.299,0.113,13.949
3,0.118,2.296,0.113,14.039
4,0.123,2.295,0.117,13.852
5,0.133,2.29,0.118,13.817
6,0.13,2.29,0.116,13.861
7,0.142,2.288,0.12,13.781
8,0.138,2.286,0.117,13.927
9,0.146,2.283,0.128,13.612
10,0.155,2.28,0.125,13.765
11,0.151,2.283,0.133,13.31
12,0.148,2.283,0.135,13.393
13,0.146,2.28,0.127,13.822
14,0.154,2.279,0.129,13.691
15,0.174,2.265,0.126,13.846
16,0.16,2.269,0.122,13.982
17,0.16,2.272,0.126,13.789
18,0.166,2.261,0.135,13.479
19,0.184,2.248,0.124,13.914
20,0.166,2.26,0.123,13.941
21,0.163,2.27,0.12,14.069
22,0.165,2.27,0.12,14.041
23,0.19,2.242,0.12,14.13
24,0.173,2.256,0.122,13.942
25,0.172,2.264,0.158,13.163
26,0.178,2.245,0.129,13.79
27,0.185,2.239,0.126,13.881
28,0.182,2.227,0.125,13.884
29,0.175,2.248,0.136,13.671
30,0.196,2.221,0.127,13.894
31,0.189,2.231,0.123,13.979
32,0.186,2.224,0.12,14.133
33,0.197,2.197,0.12,14.054
34,0.179,2.242,0.132,13.818
35,0.192,2.228,0.136,13.728
36,0.184,2.231,0.134,13.783
37,0.209,2.197,0.132,13.814
38,0.188,2.222,0.131,13.825
39,0.189,2.22,0.141,13.556
40,0.2,2.189,0.137,13.803
41,0.191,2.208,0.129,13.916
42,0.192,2.22,0.144,13.63
43,0.207,2.19,0.16,13.362
44,0.207,2.19,0.146,13.63
45,0.208,2.181,0.142,13.649
46,0.204,2.185,0.159,13.387
47,0.188,2.204,0.171,13.011
48,0.187,2.201,0.176,12.956
49,0.211,2.171,0.153,13.491
50,0.2,2.19,0.171,13.119
51,0.201,2.176,0.155,13.461
52,0.209,2.167,0.148,13.578
53,0.206,2.191,0.177,13.057
54,0.196,2.187,0.165,13.122
55,0.208,2.166,0.192,12.678
56,0.19,2.197,0.166,13.15
57,0.216,2.172,0.171,13.067
58,0.202,2.172,0.195,12.737
59,0.195,2.183,0.213,12.317
60,0.22,2.145,0.175,13.036
61,0.213,2.147,0.195,12.631
62,0.228,2.134,0.179,12.996
63,0.206,2.157,0.198,12.537
64,0.231,2.122,0.192,12.725
65,0.219,2.152,0.183,12.938
66,0.227,2.124,0.165,13.146
67,0.211,2.151,0.203,12.515
68,0.223,2.133,0.203,12.615
69,0.232,2.13,0.198,12.631
70,0.219,2.148,0.203,12.49
71,0.228,2.126,0.211,12.377
72,0.243,2.109,0.178,13.08
73,0.232,2.12,0.212,12.522
74,0.229,2.114,0.218,12.345
75,0.235,2.107,0.212,12.439
76,0.258,2.074,0.191,12.853
77,0.231,2.125,0.238,12.06
78,0.236,2.106,0.222,12.139
79,0.235,2.094,0.231,12.128
80,0.232,2.104,0.235,12.077
81,0.247,2.087,0.206,12.6
82,0.243,2.076,0.255,11.762
83,0.249,2.072,0.217,12.389
84,0.256,2.068,0.224,12.317
85,0.251,2.079,0.234,12.13
86,0.255,2.053,0.246,11.912
87,0.256,2.058,0.224,12.215
88,0.242,2.086,0.248,11.846
89,0.246,2.077,0.243,12.0
90,0.255,2.067,0.269,11.411
91,0.251,2.065,0.268,11.57
92,0.259,2.055,0.277,11.455
93,0.253,2.052,0.271,11.518
94,0.27,2.042,0.279,11.341
95,0.274,2.035,0.257,11.709
96,0.258,2.06,0.243,11.94
97,0.268,2.035,0.271,11.494
98,0.247,2.051,0.267,11.536
99,0.258,2.043,0.297,11.103
100,0.265,2.031,0.236,12.122
101,0.267,2.027,0.253,11.844
102,0.257,2.05,0.287,11.254
103,0.262,2.039,0.288,11.207
104,0.284,2.001,0.26,11.692
105,0.257,2.048,0.294,11.136
106,0.267,2.024,0.294,11.152
107,0.261,2.038,0.29,11.231
108,0.267,2.003,0.302,11.056
109,0.286,1.98,0.3,11.064
110,0.284,1.983,0.284,11.365
111,0.279,2.015,0.294,11.137
112,0.275,1.98,0.294,11.045
113,0.284,1.974,0.261,11.683
114,0.295,1.966,0.274,11.483
115,0.283,1.983,0.31,10.882
116,0.279,1.997,0.288,11.29
117,0.3,1.964,0.305,10.982
118,0.279,1.987,0.294,11.162
119,0.29,1.967,0.311,10.923
