,acc,loss,val_acc,val_loss
0,0.113,2.31,0.122,13.817
1,0.134,2.286,0.154,13.114
2,0.143,2.278,0.142,13.519
3,0.161,2.264,0.142,13.61
4,0.156,2.255,0.165,13.193
5,0.18,2.236,0.162,13.205
6,0.182,2.226,0.174,13.119
7,0.195,2.207,0.172,13.108
8,0.2,2.198,0.192,12.771
9,0.218,2.164,0.164,13.277
10,0.207,2.178,0.161,13.335
11,0.217,2.154,0.172,13.178
12,0.242,2.109,0.174,13.2
13,0.235,2.107,0.187,12.947
14,0.236,2.115,0.154,13.499
15,0.234,2.115,0.154,13.518
16,0.251,2.085,0.157,13.516
17,0.245,2.098,0.242,11.989
18,0.249,2.079,0.175,13.192
19,0.243,2.086,0.203,12.669
20,0.265,2.054,0.169,13.221
21,0.256,2.065,0.235,12.109
22,0.271,2.046,0.172,13.29
23,0.252,2.056,0.176,13.102
24,0.26,2.065,0.206,12.654
25,0.274,2.036,0.18,13.097
26,0.281,2.022,0.193,12.806
27,0.279,2.039,0.202,12.668
28,0.274,2.028,0.196,12.713
29,0.273,2.024,0.183,13.082
30,0.278,2.035,0.19,12.901
31,0.272,2.036,0.174,13.134
32,0.292,1.997,0.199,12.774
33,0.277,2.017,0.211,12.532
34,0.286,2.0,0.218,12.471
35,0.292,1.971,0.216,12.513
36,0.3,1.965,0.226,12.352
37,0.297,1.97,0.19,12.935
38,0.271,2.013,0.225,12.372
39,0.308,1.955,0.217,12.452
40,0.314,1.952,0.227,12.233
41,0.301,1.959,0.186,13.002
42,0.314,1.961,0.21,12.589
43,0.307,1.963,0.233,12.215
44,0.308,1.942,0.231,12.286
45,0.298,1.965,0.244,12.053
46,0.309,1.934,0.233,12.23
47,0.334,1.901,0.218,12.432
48,0.321,1.912,0.261,11.732
49,0.323,1.922,0.206,12.609
50,0.303,1.947,0.215,12.525
51,0.326,1.909,0.233,12.181
52,0.323,1.909,0.243,12.089
53,0.331,1.903,0.209,12.629
54,0.34,1.872,0.261,11.777
55,0.337,1.868,0.24,12.071
56,0.334,1.879,0.267,11.706
57,0.338,1.872,0.252,11.826
58,0.333,1.878,0.235,12.207
59,0.351,1.848,0.26,11.687
60,0.353,1.856,0.279,11.427
61,0.345,1.867,0.273,11.567
62,0.34,1.867,0.273,11.542
63,0.351,1.83,0.293,11.222
64,0.326,1.9,0.289,11.259
65,0.343,1.855,0.276,11.442
66,0.361,1.836,0.261,11.756
67,0.346,1.839,0.311,10.897
68,0.356,1.83,0.306,11.103
69,0.361,1.83,0.259,11.78
70,0.36,1.828,0.291,11.179
71,0.355,1.829,0.3,11.147
72,0.369,1.781,0.31,10.952
73,0.351,1.826,0.326,10.628
74,0.373,1.762,0.307,11.012
75,0.364,1.786,0.306,10.987
76,0.373,1.779,0.297,11.109
77,0.384,1.765,0.348,10.292
78,0.354,1.797,0.295,11.204
79,0.386,1.752,0.333,10.571
80,0.365,1.766,0.337,10.493
81,0.381,1.744,0.342,10.41
82,0.368,1.77,0.343,10.396
83,0.394,1.737,0.351,10.283
84,0.374,1.753,0.324,10.776
85,0.413,1.68,0.325,10.676
86,0.382,1.752,0.339,10.541
87,0.388,1.719,0.334,10.582
88,0.386,1.741,0.355,10.254
89,0.415,1.678,0.325,10.733
90,0.38,1.752,0.342,10.402
91,0.39,1.717,0.362,10.12
92,0.403,1.69,0.36,10.121
93,0.388,1.722,0.355,10.234
94,0.413,1.658,0.369,9.987
95,0.396,1.713,0.358,10.236
96,0.406,1.672,0.35,10.296
97,0.404,1.674,0.353,10.232
98,0.434,1.602,0.381,9.784
99,0.405,1.69,0.37,9.99
100,0.407,1.68,0.37,10.006
101,0.398,1.682,0.345,10.421
102,0.432,1.618,0.351,10.329
103,0.408,1.671,0.361,10.174
104,0.414,1.664,0.363,10.072
105,0.4,1.688,0.372,9.978
106,0.414,1.667,0.376,9.878
107,0.45,1.591,0.366,10.055
108,0.416,1.647,0.366,10.107
109,0.432,1.606,0.397,9.584
110,0.429,1.633,0.36,10.143
111,0.411,1.693,0.389,9.718
112,0.438,1.581,0.387,9.767
113,0.433,1.623,0.374,9.96
114,0.474,1.517,0.377,9.943
115,0.421,1.639,0.395,9.648
116,0.425,1.624,0.37,10.079
117,0.449,1.58,0.403,9.525
118,0.448,1.556,0.379,9.826
119,0.468,1.512,0.405,9.453
