,acc,loss,val_acc,val_loss
0,0.123,2.3,0.139,13.118
1,0.128,2.293,0.161,12.846
2,0.141,2.277,0.176,12.753
3,0.16,2.269,0.165,12.923
4,0.16,2.254,0.205,12.46
5,0.168,2.242,0.195,12.494
6,0.181,2.244,0.202,12.477
7,0.177,2.244,0.233,11.762
8,0.196,2.215,0.204,12.375
9,0.191,2.222,0.215,12.171
10,0.195,2.215,0.24,11.816
11,0.186,2.208,0.241,11.585
12,0.195,2.197,0.209,12.386
13,0.208,2.192,0.223,12.175
14,0.218,2.173,0.2,12.546
15,0.232,2.155,0.22,12.274
16,0.237,2.135,0.214,12.494
17,0.23,2.146,0.208,12.521
18,0.237,2.125,0.258,11.533
19,0.237,2.118,0.196,12.756
20,0.237,2.119,0.192,12.827
21,0.258,2.094,0.202,12.592
22,0.264,2.088,0.192,12.785
23,0.244,2.096,0.195,12.749
24,0.268,2.078,0.212,12.401
25,0.262,2.057,0.186,13.009
26,0.254,2.072,0.22,12.39
27,0.254,2.065,0.226,12.163
28,0.277,2.046,0.26,11.635
29,0.247,2.082,0.193,12.841
30,0.244,2.071,0.221,12.377
31,0.26,2.064,0.209,12.572
32,0.255,2.066,0.245,11.926
33,0.271,2.046,0.209,12.595
34,0.288,2.001,0.197,12.756
35,0.284,2.025,0.229,12.207
36,0.269,2.028,0.221,12.296
37,0.275,2.024,0.239,12.037
38,0.294,2.004,0.196,12.744
39,0.296,1.986,0.203,12.629
40,0.275,2.026,0.236,12.131
41,0.282,2.012,0.264,11.679
42,0.293,1.988,0.241,11.983
43,0.316,1.945,0.233,12.151
44,0.29,1.994,0.235,12.064
45,0.317,1.939,0.224,12.288
46,0.298,1.978,0.262,11.634
47,0.315,1.943,0.255,11.8
48,0.297,1.974,0.244,11.953
49,0.304,1.954,0.239,12.056
50,0.295,1.957,0.283,11.309
51,0.315,1.925,0.239,12.143
52,0.32,1.938,0.297,11.062
53,0.343,1.888,0.26,11.722
54,0.334,1.897,0.274,11.471
55,0.318,1.912,0.291,11.292
56,0.327,1.91,0.267,11.582
57,0.333,1.873,0.316,10.776
58,0.318,1.899,0.275,11.478
59,0.329,1.892,0.262,11.643
60,0.343,1.869,0.283,11.312
61,0.333,1.878,0.276,11.49
62,0.335,1.885,0.308,10.966
63,0.324,1.881,0.286,11.237
64,0.335,1.872,0.327,10.653
65,0.333,1.877,0.293,11.174
66,0.362,1.833,0.29,11.209
67,0.351,1.834,0.317,10.795
68,0.356,1.822,0.288,11.313
69,0.362,1.807,0.357,10.084
70,0.339,1.874,0.311,10.924
71,0.373,1.803,0.346,10.326
72,0.372,1.795,0.349,10.256
73,0.356,1.828,0.365,9.903
74,0.348,1.821,0.355,10.199
75,0.369,1.788,0.3,11.113
76,0.393,1.751,0.343,10.341
77,0.381,1.745,0.338,10.392
78,0.376,1.769,0.358,10.166
79,0.371,1.784,0.359,10.206
80,0.378,1.76,0.351,10.2
81,0.374,1.757,0.378,9.874
82,0.371,1.776,0.366,9.971
83,0.38,1.77,0.351,10.267
84,0.369,1.772,0.365,10.07
85,0.384,1.75,0.356,10.142
86,0.389,1.733,0.384,9.765
87,0.4,1.725,0.368,10.043
88,0.398,1.702,0.372,9.987
89,0.391,1.715,0.374,9.965
90,0.414,1.669,0.383,9.755
91,0.388,1.73,0.357,10.204
92,0.385,1.725,0.395,9.621
93,0.406,1.69,0.376,9.864
94,0.393,1.716,0.378,9.846
95,0.403,1.689,0.372,9.921
96,0.395,1.703,0.369,10.062
97,0.399,1.682,0.396,9.605
98,0.411,1.668,0.351,10.297
99,0.436,1.625,0.375,9.881
100,0.395,1.673,0.364,10.042
101,0.408,1.684,0.39,9.691
102,0.411,1.673,0.392,9.605
103,0.423,1.637,0.374,9.947
104,0.443,1.6,0.382,9.835
105,0.43,1.632,0.362,10.079
106,0.441,1.622,0.392,9.663
107,0.44,1.605,0.39,9.674
108,0.444,1.598,0.388,9.672
109,0.416,1.628,0.378,9.885
110,0.444,1.593,0.414,9.285
111,0.433,1.611,0.386,9.742
112,0.446,1.567,0.396,9.591
113,0.443,1.582,0.412,9.378
114,0.438,1.589,0.371,9.984
115,0.469,1.541,0.388,9.702
116,0.444,1.574,0.4,9.514
117,0.421,1.612,0.391,9.551
118,0.464,1.521,0.402,9.453
119,0.457,1.523,0.41,9.375
