,acc,loss,val_acc,val_loss
0,0.097,2.315,0.128,12.381
1,0.117,2.304,0.155,12.052
2,0.111,2.301,0.161,11.549
3,0.119,2.297,0.139,12.697
4,0.124,2.294,0.17,11.235
5,0.133,2.291,0.163,11.965
6,0.133,2.29,0.171,11.427
7,0.141,2.286,0.194,11.362
8,0.136,2.283,0.191,11.402
9,0.142,2.283,0.203,11.56
10,0.146,2.277,0.217,11.636
11,0.145,2.274,0.186,12.26
12,0.156,2.27,0.218,11.695
13,0.161,2.26,0.192,12.385
14,0.162,2.261,0.229,11.314
15,0.167,2.248,0.251,10.899
16,0.158,2.254,0.255,10.906
17,0.168,2.244,0.247,11.233
18,0.182,2.237,0.25,11.063
19,0.169,2.247,0.243,11.189
20,0.178,2.225,0.243,11.505
21,0.174,2.232,0.279,10.784
22,0.177,2.233,0.29,10.507
23,0.201,2.212,0.234,11.699
24,0.186,2.22,0.292,10.896
25,0.182,2.228,0.232,11.694
26,0.185,2.211,0.279,11.16
27,0.19,2.197,0.3,10.596
28,0.186,2.209,0.271,11.284
29,0.192,2.206,0.312,10.457
30,0.208,2.192,0.305,10.425
31,0.204,2.175,0.322,10.326
32,0.208,2.174,0.272,11.3
33,0.213,2.176,0.261,11.459
34,0.215,2.166,0.323,10.379
35,0.211,2.18,0.289,10.835
36,0.194,2.186,0.344,10.09
37,0.221,2.163,0.336,10.285
38,0.212,2.164,0.286,11.051
39,0.225,2.143,0.347,9.998
40,0.218,2.152,0.345,10.089
41,0.222,2.143,0.346,10.053
42,0.242,2.111,0.331,10.285
43,0.22,2.142,0.346,10.203
44,0.251,2.101,0.335,10.363
45,0.223,2.13,0.339,10.254
46,0.23,2.123,0.35,9.936
47,0.239,2.095,0.35,9.976
48,0.241,2.1,0.343,10.128
49,0.257,2.079,0.364,9.74
50,0.271,2.05,0.348,10.075
51,0.261,2.077,0.353,9.927
52,0.25,2.068,0.356,9.937
53,0.261,2.061,0.352,10.075
54,0.271,2.035,0.351,10.098
55,0.267,2.044,0.365,9.813
56,0.267,2.037,0.344,10.201
57,0.266,2.048,0.354,9.925
58,0.262,2.048,0.381,9.574
59,0.277,2.018,0.385,9.55
60,0.288,2.001,0.362,9.937
61,0.269,2.027,0.367,9.865
62,0.285,2.007,0.355,10.02
63,0.279,2.008,0.374,9.76
64,0.294,1.975,0.375,9.72
65,0.29,2.008,0.358,9.967
66,0.289,2.0,0.39,9.42
67,0.304,1.973,0.384,9.621
68,0.304,1.955,0.35,10.102
69,0.282,1.978,0.37,9.724
70,0.279,1.987,0.383,9.578
71,0.299,1.959,0.385,9.655
72,0.308,1.964,0.371,9.786
73,0.291,1.972,0.393,9.468
74,0.309,1.941,0.368,9.895
75,0.31,1.947,0.389,9.464
76,0.29,1.961,0.39,9.518
77,0.335,1.881,0.39,9.528
78,0.316,1.922,0.405,9.308
79,0.325,1.907,0.391,9.586
80,0.328,1.891,0.388,9.644
81,0.323,1.903,0.386,9.604
82,0.336,1.876,0.394,9.47
83,0.328,1.898,0.393,9.389
84,0.335,1.873,0.363,9.901
85,0.333,1.881,0.407,9.344
86,0.344,1.846,0.4,9.418
87,0.337,1.868,0.34,10.364
88,0.332,1.865,0.406,9.252
89,0.338,1.866,0.406,9.328
90,0.336,1.865,0.401,9.437
91,0.352,1.837,0.395,9.475
92,0.352,1.808,0.411,9.254
93,0.358,1.821,0.405,9.312
94,0.358,1.823,0.418,9.106
95,0.36,1.8,0.377,9.711
96,0.351,1.833,0.416,9.13
97,0.352,1.834,0.422,9.033
98,0.369,1.797,0.428,8.944
99,0.354,1.83,0.43,8.939
100,0.349,1.835,0.425,8.964
101,0.37,1.771,0.431,8.86
102,0.364,1.799,0.378,9.671
103,0.364,1.786,0.419,9.147
104,0.352,1.801,0.408,9.26
105,0.38,1.776,0.429,8.948
106,0.388,1.749,0.428,8.887
107,0.377,1.758,0.404,9.349
108,0.386,1.752,0.422,9.008
109,0.39,1.732,0.434,8.816
110,0.388,1.724,0.425,9.047
111,0.392,1.728,0.429,8.854
112,0.383,1.729,0.418,9.086
113,0.409,1.681,0.414,9.122
114,0.398,1.711,0.421,9.117
115,0.371,1.763,0.424,9.028
116,0.399,1.692,0.44,8.797
117,0.422,1.665,0.37,9.908
118,0.408,1.694,0.44,8.783
119,0.389,1.715,0.417,9.224
