,acc,loss,val_acc,val_loss
0,0.113,2.311,0.137,13.275
1,0.128,2.289,0.13,13.716
2,0.139,2.277,0.154,12.68
3,0.154,2.271,0.136,13.541
4,0.161,2.258,0.132,13.883
5,0.169,2.238,0.139,13.77
6,0.174,2.233,0.136,13.707
7,0.201,2.195,0.177,12.858
8,0.204,2.184,0.143,13.598
9,0.197,2.188,0.147,13.517
10,0.222,2.144,0.135,13.832
11,0.224,2.142,0.192,12.817
12,0.215,2.129,0.135,13.807
13,0.228,2.115,0.153,13.525
14,0.239,2.113,0.148,13.63
15,0.242,2.112,0.157,13.373
16,0.242,2.087,0.149,13.532
17,0.238,2.102,0.151,13.611
18,0.244,2.085,0.181,13.011
19,0.244,2.091,0.161,13.391
20,0.259,2.056,0.157,13.458
21,0.263,2.056,0.147,13.689
22,0.25,2.088,0.169,13.241
23,0.254,2.078,0.151,13.575
24,0.258,2.062,0.155,13.494
25,0.265,2.047,0.161,13.452
26,0.289,2.012,0.169,13.291
27,0.269,2.038,0.157,13.475
28,0.274,2.037,0.163,13.359
29,0.279,2.026,0.203,12.607
30,0.261,2.046,0.177,13.143
31,0.279,2.023,0.188,12.96
32,0.275,2.018,0.196,12.798
33,0.286,2.003,0.179,13.067
34,0.275,2.012,0.181,13.074
35,0.259,2.042,0.198,12.74
36,0.29,2.009,0.193,12.901
37,0.291,1.987,0.213,12.41
38,0.274,2.024,0.184,13.011
39,0.293,2.001,0.169,13.26
40,0.294,1.977,0.184,13.07
41,0.289,1.994,0.18,13.061
42,0.302,1.967,0.224,12.319
43,0.289,1.961,0.199,12.871
44,0.293,1.977,0.207,12.662
45,0.3,1.946,0.212,12.485
46,0.294,1.974,0.227,12.324
47,0.296,1.936,0.234,12.196
48,0.285,1.988,0.228,12.265
49,0.318,1.904,0.205,12.649
50,0.293,1.968,0.19,12.92
51,0.318,1.943,0.215,12.478
52,0.323,1.894,0.219,12.495
53,0.321,1.914,0.217,12.497
54,0.306,1.934,0.203,12.699
55,0.319,1.923,0.224,12.324
56,0.328,1.895,0.21,12.652
57,0.336,1.887,0.266,11.704
58,0.326,1.879,0.228,12.241
59,0.33,1.87,0.204,12.679
60,0.337,1.871,0.229,12.306
61,0.326,1.889,0.23,12.216
62,0.339,1.845,0.239,12.161
63,0.333,1.872,0.26,11.749
64,0.328,1.879,0.237,12.192
65,0.318,1.899,0.249,11.963
66,0.322,1.879,0.255,11.878
67,0.343,1.84,0.273,11.63
68,0.325,1.893,0.21,12.601
69,0.347,1.826,0.253,11.986
70,0.334,1.848,0.244,12.043
71,0.333,1.865,0.25,11.975
72,0.347,1.831,0.229,12.309
73,0.337,1.868,0.232,12.281
74,0.335,1.848,0.24,12.189
75,0.34,1.854,0.238,12.147
76,0.335,1.851,0.269,11.666
77,0.354,1.811,0.254,11.912
78,0.345,1.828,0.254,11.902
79,0.358,1.799,0.27,11.681
80,0.34,1.85,0.246,12.084
81,0.351,1.796,0.249,12.006
82,0.363,1.781,0.25,12.026
83,0.333,1.846,0.26,11.876
84,0.37,1.765,0.251,11.998
85,0.376,1.771,0.227,12.369
86,0.37,1.759,0.249,12.021
87,0.363,1.807,0.285,11.394
88,0.375,1.753,0.256,11.864
89,0.363,1.769,0.251,12.045
90,0.375,1.751,0.288,11.403
91,0.355,1.787,0.291,11.337
92,0.38,1.744,0.254,11.97
93,0.366,1.77,0.293,11.313
94,0.369,1.744,0.261,11.819
95,0.384,1.739,0.256,11.877
96,0.368,1.755,0.273,11.624
97,0.366,1.766,0.265,11.741
98,0.383,1.722,0.246,12.033
99,0.387,1.731,0.273,11.583
100,0.387,1.734,0.279,11.487
101,0.389,1.72,0.279,11.477
102,0.366,1.739,0.292,11.344
103,0.386,1.707,0.301,11.148
104,0.385,1.71,0.298,11.203
105,0.37,1.757,0.295,11.228
106,0.374,1.742,0.277,11.58
107,0.388,1.714,0.274,11.615
108,0.394,1.702,0.282,11.468
109,0.384,1.714,0.291,11.277
110,0.381,1.727,0.293,11.231
111,0.378,1.738,0.276,11.563
112,0.389,1.714,0.298,11.237
113,0.405,1.677,0.297,11.266
114,0.401,1.678,0.268,11.66
115,0.391,1.677,0.288,11.354
116,0.414,1.676,0.29,11.271
117,0.373,1.712,0.292,11.277
118,0.404,1.678,0.326,10.747
119,0.417,1.662,0.319,10.906
